Idx,X,Y,x_light,y_light,elevation,azimuth,adc0,adc1,adc2,adc3,adcSum,adc0_percent,adc1_percent,adc2_percent,adc3_percent,min_adc
1,-0.0311584,-0.0311584,-0.0350956,-0.0160184,2.52554,225.0,274.516,255.781,264.234,283.328,1077.859,25.469,23.73,24.515,26.286,23.73
2,0.0311593,0.0311593,-0.0481283,-0.0299994,2.52561,45.0,270.016,245.812,260.375,287.359,1063.562,25.388,23.112,24.481,27.019,23.112
3,-0.0311593,0.0311594,-0.0347861,-0.0295025,2.52561,135.0,265.828,247.906,263.031,281.938,1058.703,25.109,23.416,24.845,26.631,23.416
4,0.0311594,-0.0311593,-0.0479981,-0.0184268,2.52561,315.0,272.578,247.625,256.906,282.828,1059.937,25.716,23.362,24.238,26.683,23.362
5,0.0934769,0.031159,-0.0613808,-0.031418,5.65472,18.4349,270.078,239.562,254.312,288.391,1052.343,25.664,22.765,24.166,27.405,22.765
6,0.031159,0.0934769,-0.0486306,-0.0436322,5.65472,71.565,263.203,239.047,260.578,287.5,1050.328,25.059,22.759,24.809,27.372,22.759
7,-0.0311589,0.0934769,-0.0353477,-0.0426969,5.65472,108.435,260.297,242.422,264.156,283.406,1050.281,24.784,23.082,25.151,26.984,23.082
8,-0.0934769,0.031159,-0.0224833,-0.0290855,5.65472,161.565,260.766,249.344,264.234,276.438,1050.782,24.816,23.729,25.146,26.308,23.729
9,-0.0934769,-0.0311589,-0.0222446,-0.0156393,5.65472,198.435,265.5,253.766,262.016,273.75,1055.032,25.165,24.053,24.835,25.947,24.053
10,-0.0311589,-0.0934769,-0.0356666,-0.00314792,5.65472,251.565,271.859,252.625,254.75,273.047,1052.281,25.835,24.007,24.209,25.948,24.007
11,0.031159,-0.0934769,-0.0489944,-0.00443785,5.65472,288.435,275.031,249.0,251.578,277.125,1052.734,26.125,23.653,23.898,26.324,23.653
12,0.0934769,-0.0311589,-0.0617112,-0.0187752,5.65472,341.565,274.938,243.188,252.266,285.688,1056.08,26.034,23.027,23.887,27.052,23.027
13,0.0934768,0.0934768,-0.0615161,-0.0436987,7.59652,45.0,267.109,236.906,257.719,292.359,1054.093,25.34,22.475,24.449,27.736,22.475
14,-0.0934768,0.0934769,-0.0235385,-0.0429459,7.59652,135.0,257.562,245.594,267.766,280.547,1051.469,24.495,23.357,25.466,26.681,23.357
15,-0.0934768,-0.0934768,-0.0225261,-0.00289176,7.59652,225.0,268.859,256.438,258.516,269.828,1053.641,25.517,24.338,24.535,25.609,24.338
16,0.0934768,-0.0934768,-0.0609235,-0.0056594,7.59652,315.0,278.844,246.875,249.625,282.078,1057.422,26.37,23.347,23.607,26.676,23.347
17,0.155794,0.0311589,-0.0757953,-0.0306268,9.14188,11.3099,273.984,236.391,250.203,292.422,1053.0,26.019,22.449,23.761,27.77,22.449
18,0.0311589,0.155794,-0.0486141,-0.0566099,9.14188,78.6901,260.062,235.844,264.266,291.156,1051.328,24.737,22.433,25.136,27.694,22.433
19,-0.0311588,0.155794,-0.036098,-0.0563391,9.14188,101.31,257.297,238.781,267.938,287.375,1051.391,24.472,22.711,25.484,27.333,22.711
