id,X,Y,azimuth,elevation,x_light,y_light,new_indexes
27,0.10348,-0.89814,276.5724,64.6999,-0.0768,0.1792,0
28,-0.0003,-0.89899,269.9809,64.0256,-0.0512,0.1792,1
29,-0.11172,-0.89632,262.8951,64.5894,-0.0256,0.1792,2
30,-0.2205,-0.88327,255.9831,65.5575,-0.0,0.1792,3
44,0.30405,-0.79072,291.0329,57.9044,-0.128,0.1536,4
45,0.20278,-0.79325,284.3395,54.9607,-0.1024,0.1536,5
334,-0.21461,0.84694,104.2192,60.8924,-0.0,-0.2304,6
335,-0.3352,0.84108,111.729,64.8791,0.0256,-0.2304,7
26,0.20086,-0.89331,282.6722,66.293,-0.1024,0.1792,8
118,0.56962,-0.32867,330.0151,41.1202,-0.1792,0.0512,9
117,0.65315,-0.33197,333.0576,47.1109,-0.2048,0.0512,10
31,-0.33395,-0.85642,248.6973,66.8133,0.0256,0.1792,11
43,0.40835,-0.79746,297.1153,63.6283,-0.1536,0.1536,12
46,0.10808,-0.79681,277.7245,53.5241,-0.0768,0.1536,13
47,0.01154,-0.79436,270.8323,52.6028,-0.0512,0.1536,14
331,0.07994,0.85053,84.6306,58.6801,-0.0768,-0.2304,15
332,-0.01975,0.85647,91.321,58.9478,-0.0512,-0.2304,16
333,-0.11323,0.85502,97.5438,59.5967,-0.0256,-0.2304,17
120,0.3683,-0.34286,317.0487,30.2111,-0.128,0.0512,18
119,0.47294,-0.32923,325.1569,35.1873,-0.1536,0.0512,19
116,0.7588,-0.32626,336.7338,55.6867,-0.2304,0.0512,20
111,-0.76189,-0.45562,210.88,62.5895,0.128,0.0768,21
50,-0.32373,-0.80411,248.0706,60.0923,0.0256,0.1536,22
49,-0.2111,-0.81296,255.4436,57.1318,-0.0,0.1536,23
48,-0.10546,-0.8091,262.5738,54.6808,-0.0256,0.1536,24
67,-0.08733,-0.67837,262.6644,43.1545,-0.0256,0.128,25
330,0.16818,0.84872,78.7916,59.9081,-0.1024,-0.2304,26
138,0.48483,-0.22102,335.4931,32.197,-0.1536,0.0256,27
137,0.57582,-0.22237,338.8845,38.1167,-0.1792,0.0256,28
136,0.66268,-0.22324,341.3826,44.3686,-0.2048,0.0256,29
121,0.2545,-0.3469,306.2653,25.483,-0.1024,0.0512,30
125,-0.19563,-0.34668,240.5642,23.4575,-0.0,0.0512,31
126,-0.31597,-0.33726,226.8667,27.5258,0.0256,0.0512,32
110,-0.67517,-0.45647,214.0619,54.587,0.1024,0.0768,33
51,-0.4433,-0.77492,240.2279,63.2218,0.0512,0.1536,34
64,0.22212,-0.67494,288.2162,45.2797,-0.1024,0.128,35
65,0.12352,-0.68331,280.2465,43.9782,-0.0768,0.128,36
66,0.0269,-0.68081,272.2627,42.9485,-0.0512,0.128,37
68,-0.19619,-0.6788,253.8794,44.9576,-0.0,0.128,38
329,0.2624,0.84353,72.7205,62.0553,-0.128,-0.2304,39
139,0.37736,-0.23263,328.3475,26.3148,-0.128,0.0256,40
140,0.26302,-0.23501,318.219,20.6536,-0.1024,0.0256,41
141,0.15436,-0.24034,302.7109,16.5971,-0.0768,0.0256,42
135,0.76467,-0.22338,343.7155,52.8095,-0.2304,0.0256,43
122,0.14896,-0.3572,292.6372,22.7689,-0.0768,0.0512,44
124,-0.08371,-0.34976,256.5403,21.078,-0.0256,0.0512,45
127,-0.42094,-0.33106,218.1843,32.3798,0.0512,0.0512,46
109,-0.52425,-0.43474,219.6676,42.9262,0.0768,0.0768,47
61,0.51685,-0.68285,307.1221,58.9146,-0.1792,0.128,48
63,0.33162,-0.67008,296.3306,48.3871,-0.128,0.128,49
103,0.13912,-0.47,286.4888,29.3509,-0.0768,0.0768,50
102,0.24423,-0.4602,297.9551,31.3988,-0.1024,0.0768,51
69,-0.30611,-0.68086,245.7916,48.2888,0.0256,0.128,52
70,-0.43357,-0.68455,237.6513,54.1256,0.0512,0.128,53
328,0.38289,0.83611,65.395,66.8693,-0.1536,-0.2304,54
317,-0.43813,0.75656,120.0755,60.9582,0.0512,-0.2048,55
316,-0.30357,0.77035,111.5078,55.8944,0.0256,-0.2048,56
315,-0.19168,0.77079,103.965,52.586,-0.0,-0.2048,57
142,0.04147,-0.23664,279.9399,13.9011,-0.0512,0.0256,58
