Idx,X,Y,x_light,y_light,elevation,azimuth,adc0,adc1,adc2,adc3,adcSum,adc0_percent,adc1_percent,adc2_percent,adc3_percent,min_adc
1,0.30472,-0.74907,-0.127794,0.20587,53.967,292.136,188.453,144.094,96.4375,122.562,551.546,34.168,26.125,17.485,22.222,17.485
2,0.20681,-0.75642,-0.102636,0.205938,51.6451,285.291,196.125,157.375,105.672,127.094,586.266,33.453,26.844,18.025,21.679,18.025
3,0.10085,-0.76195,-0.0770267,0.205346,50.2279,277.54,204.984,172.656,116.516,132.453,626.609,32.713,27.554,18.595,21.138,18.595
4,-0.00334013,-0.76188,-0.0511483,0.20552,49.6309,269.749,204.625,181.688,122.375,132.219,640.907,31.927,28.349,19.094,20.63,19.094
5,-0.10593,-0.7633,-0.0257057,0.205374,50.4092,262.099,197.094,183.531,124.125,126.797,631.547,31.208,29.061,19.654,20.077,19.654
6,-0.20948,-0.75923,-0.000384172,0.206403,51.9617,254.575,185.953,182.047,122.875,119.203,610.078,30.48,29.84,20.141,19.539,19.539
7,-0.317331,-0.76542,0.026206,0.20514,55.9545,247.482,165.0,169.125,115.391,104.984,554.5,29.757,30.5,20.81,18.933,18.933
8,0.51927,-0.636209,-0.18051,0.178573,55.2072,309.221,196.984,135.797,95.5938,136.344,564.719,34.882,24.047,16.928,24.144,16.928
9,-0.30432,0.77448,0.0246677,-0.152987,56.3175,111.452,108.094,116.438,155.188,150.453,530.173,20.388,21.962,29.271,28.378,20.388
10,0.40794,-0.74144,-0.155458,0.204547,57.8067,298.82,183.781,133.297,89.0156,120.375,526.469,34.908,25.319,16.908,22.865,16.908
11,-0.64843,-0.3133,0.101867,0.102588,46.067,205.788,173.109,209.359,172.859,138.438,693.765,24.952,30.177,24.916,19.955,19.955
12,-0.54921,-0.32334,0.0765442,0.103068,39.5925,210.487,198.281,228.641,188.016,159.125,774.063,25.616,29.538,24.289,20.557,20.557
13,-0.4485,-0.33335,0.0504726,0.102813,33.9739,216.622,220.078,241.156,198.188,177.047,836.469,26.31,28.83,23.693,21.166,21.166
14,0.65157,-0.32981,-0.205059,0.103733,46.9104,333.152,229.453,150.266,123.219,185.125,688.063,33.348,21.839,17.908,26.905,17.908
15,0.74124,-0.316399,-0.230979,0.102782,53.7015,336.885,198.562,123.484,101.094,160.922,584.062,33.997,21.142,17.309,27.552,17.309
16,0.11728,-0.46825,-0.0767817,0.12842,28.8628,284.061,275.062,233.344,182.609,210.078,901.093,30.525,25.896,20.265,23.314,20.265
17,0.23151,-0.467211,-0.102834,0.128949,31.4278,296.359,274.016,220.438,172.5,209.0,875.954,31.282,25.165,19.693,23.86,19.693
18,0.4227,-0.647279,-0.154544,0.180158,50.6309,303.146,217.391,157.688,111.016,149.547,635.642,34.2,24.808,17.465,23.527,17.465
19,-0.19485,0.77204,-0.000998843,-0.153401,52.7734,104.165,124.859,126.766,170.156,172.656,594.437,21.005,21.325,28.625,29.045,21.005
20,0.248361,-0.24139,-0.103364,0.0769687,20.2637,315.815,298.156,240.547,207.953,253.75,1000.406,29.803,24.045,20.787,25.365,20.787
21,0.36227,-0.235641,-0.128182,0.0761331,25.605,326.958,284.562,218.109,189.125,242.422,934.218,30.46,23.347,20.244,25.949,20.244
22,-0.75423,-0.31123,0.128592,0.103133,54.6785,202.423,138.156,174.625,145.375,108.922,567.078,24.363,30.794,25.636,19.208,19.208
23,0.74856,-0.214479,-0.230143,0.0772167,51.1399,344.012,206.578,128.562,110.953,176.141,622.234,33.199,20.661,17.831,28.308,17.831
24,-0.34322,-0.339619,0.0256734,0.102658,28.8715,224.698,240.656,251.25,206.312,194.0,892.218,26.973,28.16,23.123,21.744,21.744
25,0.559,-0.33474,-0.179054,0.102927,40.6594,329.086,251.531,173.828,142.781,203.188,771.328,32.61,22.536,18.511,26.343,18.511
26,-0.642401,-0.42619,0.101562,0.128524,50.4365,213.562,163.25,195.797,154.672,122.594,636.313,25.656,30.771,24.308,19.266,19.266
27,0.00480998,-0.466921,-0.052141,0.127365,27.8362,270.59,272.844,243.031,190.703,208.609,915.187,29.813,26.555,20.838,22.794,20.838
28,0.34373,-0.457811,-0.129196,0.127785,34.9238,306.9,269.141,205.375,161.016,205.969,841.501,31.983,24.406,19.134,24.476,19.134
29,0.318329,-0.65712,-0.127943,0.17958,46.9002,295.847,231.906,177.141,125.266,159.234,693.547,33.438,25.541,18.062,22.959,18.062
30,0.213339,-0.66294,-0.102574,0.179405,44.1406,287.839,242.781,194.953,138.125,166.438,742.297,32.707,26.263,18.608,22.422,18.608
31,0.120019,0.76878,-0.0761169,-0.151911,51.0862,81.1268,142.844,123.953,166.688,195.688,629.173,22.703,19.701,26.493,31.102,19.701
32,0.0207101,0.77375,-0.0521362,-0.152892,50.7169,88.4668,139.859,127.344,171.641,192.016,630.86,22.17,20.186,27.207,30.437,20.186
33,-0.0896507,0.77413,-0.0250545,-0.15276,51.1969,96.6059,134.359,129.562,174.141,184.953,623.015,21.566,20.796,27.951,29.687,20.796
34,0.12749,-0.241121,-0.0770928,0.0764277,15.828,297.867,300.516,255.812,221.172,256.156,1033.656,29.073,24.748,21.397,24.782,21.397
35,0.46979,-0.23237,-0.154175,0.0762439,31.6088,333.682,285.625,207.656,180.016,243.375,916.672,31.159,22.653,19.638,26.55,19.638
36,0.66416,-0.22076,-0.205564,0.0768436,44.418,341.614,246.109,160.938,139.359,209.594,756.0,32.554,21.288,18.434,27.724,18.434
37,-0.22964,-0.34991,-0.000383215,0.102318,24.7421,236.724,270.922,268.422,220.672,218.547,978.563,27.686,27.43,22.551,22.333,22.333
38,0.46071,-0.34294,-0.154643,0.101214,35.0531,323.337,279.156,202.625,167.219,226.0,875.0,31.904,23.157,19.111,25.829,19.111
39,-0.54247,-0.42983,0.0760991,0.127961,43.798,218.392,193.812,222.484,174.672,147.172,738.14,26.257,30.141,23.664,19.938,19.938
40,-0.10904,-0.46501,-0.0257669,0.128327,28.5303,256.803,268.391,252.297,197.281,204.969,922.938,29.08,27.336,21.375,22.208,21.375
41,0.44551,-0.44963,-0.153042,0.127984,39.2693,314.736,263.094,191.281,149.891,201.375,805.641,32.656,23.743,18.605,24.996,18.605
42,0.546761,-0.44293,-0.179785,0.127297,44.7212,320.989,246.0,169.453,132.828,188.797,737.078,33.375,22.99,18.021,25.614,18.021
43,0.000619661,-0.66744,-0.0520481,0.178922,41.8698,270.053,241.016,214.297,151.812,165.297,772.422,31.203,27.744,19.654,21.4,19.654
44,0.10668,-0.6668,-0.0772816,0.179438,42.4759,279.09,244.328,206.484,146.203,167.438,764.453,31.961,27.011,19.125,21.903,19.125
45,0.221509,0.76354,-0.103023,-0.154014,52.6573,73.8221,139.766,114.281,155.078,191.469,600.594,23.271,19.028,25.821,31.88,19.028
46,0.33109,0.75395,-0.129957,-0.15385,55.4311,66.2918,133.141,102.578,139.797,181.641,557.157,23.896,18.411,25.091,32.601,18.411
47,-0.41927,0.67163,0.0510866,-0.129558,52.3497,121.975,123.156,139.078,177.578,162.719,602.531,20.44,23.082,29.472,27.006,20.44
48,-0.30842,0.67152,0.0247499,-0.127704,47.6429,114.669,141.953,151.016,193.156,185.594,671.719,21.133,22.482,28.755,27.63,21.133
49,0.0087,-0.24278,-0.0520242,0.076499,14.0599,272.052,293.078,262.219,226.781,249.594,1031.672,28.408,25.417,21.982,24.193,21.982
50,0.56919,-0.2281,-0.179502,0.0764781,37.8208,338.162,261.516,180.438,156.422,222.734,821.11,31.849,21.975,19.05,27.126,19.05
51,-0.11282,-0.35496,-0.025311,0.101867,21.8673,252.368,277.578,261.484,215.359,224.031,978.452,28.369,26.724,22.01,22.896,22.01
52,0.35259,-0.35197,-0.128318,0.102531,29.8809,315.05,284.078,217.625,179.031,229.359,910.093,31.214,23.912,19.672,25.202,19.672
53,-0.44129,-0.43825,0.0499504,0.127841,38.4574,224.802,216.688,236.484,185.391,165.047,803.61,26.964,29.428,23.07,20.538,20.538
54,-0.22444,-0.45705,-0.000453388,0.127821,30.6095,243.846,253.984,251.297,196.516,194.234,896.031,28.345,28.046,21.932,21.677,21.677
55,0.6374,-0.43176,-0.204081,0.127604,50.342,325.887,221.547,145.453,113.594,170.344,650.938,34.035,22.345,17.451,26.169,17.451
56,-0.21452,-0.6585,-0.000105474,0.178736,43.8332,251.956,220.125,216.422,153.891,150.266,740.704,29.718,29.218,20.776,20.287,20.287
57,-0.10747,-0.66515,-0.0259095,0.17973,42.3592,260.822,232.891,217.812,154.328,159.047,764.078,30.48,28.507,20.198,20.816,20.198
58,0.43355,-0.550829,-0.153773,0.153305,44.506,308.206,245.344,178.234,132.562,178.406,734.546,33.401,24.265,18.047,24.288,18.047
59,0.33207,-0.55757,-0.128439,0.153343,40.4636,300.777,256.875,196.109,146.203,186.328,785.515,32.701,24.966,18.612,23.72,18.612
60,0.23043,0.666699,-0.102193,-0.128318,44.8617,70.9334,170.344,139.328,179.625,221.219,710.516,23.975,19.609,25.281,31.135,19.609
61,0.12432,0.67539,-0.0766264,-0.128525,43.3723,79.5702,170.422,147.312,189.344,222.109,729.187,23.372,20.202,25.966,30.46,20.202
62,0.0184297,0.67894,-0.0507173,-0.127833,42.7804,88.4451,168.094,153.0,196.484,218.734,736.312,22.829,20.779,26.685,29.707,20.779
63,-0.0889195,0.68091,-0.0257079,-0.128839,43.3688,97.4401,162.594,155.891,200.297,212.391,731.173,22.237,21.321,27.394,29.048,21.321
64,-0.20142,0.676949,0.000177258,-0.128335,44.933,106.57,152.969,154.375,198.281,199.562,705.187,21.692,21.891,28.118,28.299,21.692
65,-0.11175,-0.239019,-0.0259888,0.0762787,15.2988,244.942,282.094,265.984,230.016,240.375,1018.469,27.698,26.116,22.584,23.602,22.584
66,0.00480995,-0.359991,-0.052088,0.102619,21.1016,270.766,286.391,255.719,210.328,230.875,983.313,29.125,26.006,21.39,23.479,21.39
67,0.240161,-0.35633,-0.102759,0.10164,25.449,303.979,289.328,233.469,192.328,234.0,949.125,30.484,24.598,20.264,24.654,20.264
68,-0.33756,-0.44774,0.026116,0.128269,34.1063,232.987,235.562,245.062,192.047,179.297,851.968,27.649,28.764,22.542,21.045,21.045
69,0.727351,-0.424,-0.231607,0.128541,57.3425,329.76,186.594,116.234,89.9531,143.891,536.672,34.769,21.658,16.761,26.812,16.761
70,-0.32343,-0.650789,0.0255894,0.178992,46.6128,243.574,202.734,209.047,149.156,137.594,698.531,29.023,29.927,21.353,19.698,19.698
71,-0.42782,-0.65216,0.0513137,0.180561,51.2572,236.735,179.656,193.844,138.766,120.484,632.75,28.393,30.635,21.931,19.041,19.041
72,0.6228,-0.531621,-0.204905,0.153253,54.9689,319.516,200.828,131.984,97.4688,146.891,577.172,34.795,22.867,16.887,25.45,16.887
73,0.5349,-0.54205,-0.180254,0.154195,49.5997,314.62,224.953,154.984,114.859,163.562,658.358,34.169,23.541,17.446,24.844,17.446
74,0.22363,-0.56361,-0.103129,0.153147,37.3264,291.642,261.469,210.078,156.672,189.625,817.844,31.971,25.687,19.157,23.186,19.157
75,0.43929,0.6445,-0.153159,-0.128613,51.258,55.7217,154.344,113.016,146.812,199.469,613.641,25.152,18.417,23.925,32.506,18.417
76,0.33885,0.65692,-0.129127,-0.127902,47.6602,62.7146,163.109,125.984,162.703,211.188,662.984,24.602,19.003,24.541,31.854,19.003
