Idx,elevation,azimuth,X,Y,x_light,y_light
101,65.1085,0,0.907107,0,-0.277626,0.0278395
102,65.1085,0,0.907107,0,-0.277213,0.0279467
103,65.1085,0,0.907107,0,-0.275707,0.0271716
104,65.1085,0,0.907107,0,-0.276771,0.0263571
105,65.1085,0,0.907107,0,-0.277898,0.0272083
106,66.5067,0,0.917107,0,-0.280787,0.0278747
107,66.5067,0,0.917107,0,-0.27831,0.026411
108,66.5067,0,0.917107,0,-0.280452,0.0269831
109,66.5067,0,0.917107,0,-0.278591,0.0259259
110,66.5067,0,0.917107,0,-0.280162,0.0269465
111,67.9882,0,0.927107,0,-0.284935,0.0269928
112,67.9882,0,0.927107,0,-0.283879,0.0275506
113,67.9882,0,0.927107,0,-0.282742,0.0274186
114,67.9882,0,0.927107,0,-0.285326,0.0268828
115,67.9882,0,0.927107,0,-0.282878,0.0254867
116,69.5712,0,0.937107,0,-0.288205,0.0283925
117,69.5712,0,0.937107,0,-0.288084,0.0286576
118,69.5712,0,0.937107,0,-0.286204,0.028049
119,69.5712,0,0.937107,0,-0.286572,0.0274194
120,69.5712,0,0.937107,0,-0.285586,0.0275793
121,71.2815,0,0.947107,0,-0.29065,0.0278656
122,71.2815,0,0.947107,0,-0.292851,0.0287765
123,71.2815,0,0.947107,0,-0.28948,0.028626
124,71.2815,0,0.947107,0,-0.291535,0.0289328
125,71.2815,0,0.947107,0,-0.291791,0.030025
126,73.1578,0,0.957107,0,-0.297312,0.0286451
127,73.1578,0,0.957107,0,-0.296825,0.030016
128,73.1578,0,0.957107,0,-0.29457,0.0285752
129,73.1578,0,0.957107,0,-0.292869,0.0309784
130,73.1578,0,0.957107,0,-0.294086,0.0294688
131,45,90,-3.09086e-08,0.707107,-0.0467012,-0.134988
132,45,90,-3.09086e-08,0.707107,-0.0466987,-0.135298
133,45,90,-3.09086e-08,0.707107,-0.0463709,-0.134912
134,45,90,-3.09086e-08,0.707107,-0.047204,-0.134905
135,45,90,-3.09086e-08,0.707107,-0.0466066,-0.135257
136,45.8161,90,-3.13457e-08,0.717107,-0.0471998,-0.137567
137,45.8161,90,-3.13457e-08,0.717107,-0.0464594,-0.137295
138,45.8161,90,-3.13457e-08,0.717107,-0.0463355,-0.138127
139,45.8161,90,-3.13457e-08,0.717107,-0.0468121,-0.137612
140,45.8161,90,-3.13457e-08,0.717107,-0.0470594,-0.137846
141,46.6444,90,-3.17828e-08,0.727107,-0.046357,-0.140857
142,46.6444,90,-3.17828e-08,0.727107,-0.0469865,-0.140208
143,46.6444,90,-3.17828e-08,0.727107,-0.0466448,-0.140075
144,46.6444,90,-3.17828e-08,0.727107,-0.0472905,-0.139853
145,46.6444,90,-3.17828e-08,0.727107,-0.0466163,-0.139849
