Idx,X,Y,x_light,y_light,elevation,azimuth,adc0,adc1,adc2,adc3,adcSum,adc0_percent,adc1_percent,adc2_percent,adc3_percent,min_adc
1,0.176789,-0.89634,-0.050363,0.205044,66.0089,281.158,129.672,116.703,77.4531,85.0781,408.906,31.712,28.54,18.942,20.806,18.942
2,0.0843203,-0.90251,-0.0259697,0.205304,65.018,275.338,132.094,124.984,82.7656,86.7344,426.578,30.966,29.299,19.402,20.333,19.402
3,-0.00617985,-0.90559,0.000219074,0.206003,64.9057,269.609,129.312,128.734,85.2812,84.6094,427.937,30.218,30.082,19.928,19.771,19.771
4,-0.0932705,-0.89641,0.0268153,0.202949,64.3228,264.06,128.688,135.219,90.0469,84.8125,438.766,29.33,30.818,20.523,19.33,19.33
5,-0.182471,-0.89728,0.051272,0.204932,66.2976,258.505,114.859,126.391,84.0938,75.0938,400.438,28.683,31.563,21.0,18.753,18.753
6,-0.27081,-0.89198,0.0759026,0.204648,68.7778,253.111,98.0469,113.359,75.4531,64.125,350.984,27.935,32.297,21.498,18.27,18.27
7,0.46563,-0.79327,-0.127215,0.179364,66.9013,300.412,129.531,100.859,69.6406,90.6719,390.702,33.153,25.815,17.824,23.207,17.824
8,-0.0799097,0.89175,0.0246839,-0.255162,63.55,95.1206,80.1719,84.1406,141.906,134.984,441.202,18.171,19.071,32.163,30.595,18.171
9,-0.172499,0.89936,0.0514511,-0.256934,66.313,100.858,68.3438,76.0781,128.281,116.016,388.719,17.582,19.571,33.001,29.846,17.582
10,0.27073,-0.88994,-0.0779452,0.204481,68.4673,286.92,116.641,100.062,65.8281,77.2969,359.828,32.416,27.808,18.294,21.482,18.294
11,-0.00923976,-0.35957,-0.000332708,0.0507834,21.0811,268.528,271.656,271.172,245.25,245.109,1033.187,26.293,26.246,23.737,23.724,23.724
12,0.0969399,-0.359799,-0.0258836,0.0504289,21.8779,285.079,277.062,262.562,237.859,249.953,1027.436,26.966,25.555,23.151,24.328,23.151
13,0.20529,-0.3571,-0.0515541,0.0508096,24.3245,299.894,278.656,250.656,227.094,251.031,1007.437,27.66,24.881,22.542,24.918,22.542
14,0.31017,-0.3479,-0.076624,0.0500811,27.7808,311.719,275.375,235.219,213.766,248.125,972.485,28.317,24.187,21.981,25.515,21.981
15,0.41281,-0.34429,-0.102458,0.0509153,32.5162,320.171,267.359,216.562,196.734,240.297,920.952,29.031,23.515,21.362,26.092,21.362
16,0.36849,-0.80032,-0.101923,0.177574,61.7726,294.723,158.391,129.094,90.1562,110.625,488.266,32.439,26.439,18.465,22.657,18.465
17,0.27534,-0.80613,-0.0776295,0.177618,58.4141,288.858,173.953,148.641,104.031,121.25,547.875,31.75,27.13,18.988,22.131,18.988
18,0.17521,-0.81499,-0.0515891,0.179257,56.4715,282.133,180.234,162.109,113.219,125.047,580.609,31.042,27.921,19.5,21.537,19.5
19,0.00450057,0.89256,0.00125918,-0.255404,63.1982,89.7111,83.375,82.9375,140.703,139.703,446.718,18.664,18.566,31.497,31.273,18.566
20,-0.63698,-0.21627,0.153209,0.0257189,42.2753,198.754,171.984,234.312,222.484,163.438,792.218,21.709,29.577,28.084,20.63,20.63
21,-0.54369,-0.22667,0.127737,0.0256906,36.0895,202.632,194.922,252.672,239.453,185.719,872.766,22.334,28.951,27.436,21.279,21.279
22,-0.44691,-0.2337,0.10187,0.0255217,30.2866,207.606,216.328,265.547,252.203,205.688,939.766,23.019,28.257,26.837,21.887,21.887
23,-0.11873,-0.359141,0.0249977,0.0508882,22.2258,251.706,260.078,273.297,246.938,234.781,1015.094,25.621,26.923,24.327,23.129,23.129
24,-0.22738,-0.35483,0.0503459,0.0508196,24.9251,237.348,246.781,273.062,246.547,223.016,989.406,24.942,27.599,24.919,22.54,22.54
25,0.69492,-0.30926,-0.179165,0.0507632,49.5196,336.009,212.688,147.125,133.953,191.094,684.86,31.056,21.482,19.559,27.903,19.559
26,0.60472,-0.3206,-0.153787,0.0511149,43.1923,332.069,236.078,171.984,156.531,211.844,776.437,30.405,22.15,20.16,27.284,20.16
27,0.509481,-0.33326,-0.127933,0.0512247,37.5025,326.811,253.156,194.797,176.812,227.484,852.249,29.704,22.857,20.747,26.692,20.747
28,0.59446,-0.42243,-0.153934,0.0775152,46.8249,324.602,226.344,165.156,142.25,192.922,726.672,31.148,22.728,19.576,26.549,19.576
29,0.68435,-0.412629,-0.179869,0.0768393,53.0465,328.912,200.828,139.016,119.812,171.531,631.187,31.818,22.025,18.982,27.176,18.982
30,0.78471,-0.401721,-0.206047,0.0776368,61.8312,332.891,156.391,103.109,88.0781,134.031,481.609,32.473,21.409,18.288,27.83,18.288
31,0.0827102,-0.81879,-0.0261061,0.177972,55.3819,275.768,180.453,170.656,119.625,125.391,596.125,30.271,28.628,20.067,21.034,20.067
32,0.0947592,0.89538,-0.0254866,-0.255821,64.2081,83.9588,81.6406,76.6719,130.641,136.516,425.469,19.188,18.021,30.705,32.086,18.021
33,-0.72087,-0.20722,0.178031,0.0260932,48.5958,196.038,146.875,210.422,199.781,139.344,696.422,21.09,30.215,28.687,20.009,20.009
34,0.613321,-0.22153,-0.15387,0.0256064,40.7003,340.14,240.453,175.094,167.734,227.062,810.343,29.673,21.607,20.699,28.02,20.699
35,0.518149,-0.23007,-0.127374,0.0250101,34.5365,336.058,257.156,197.828,189.516,243.266,887.766,28.967,22.284,21.348,27.402,21.348
