id,X,Y,x_light,y_light,Extrapolated
0,0.7751855850219727,-0.7544796466827393,-0.3072,0.2816,True
1,0.7237920761108398,-0.781224250793457,-0.2816,0.2816,True
2,0.6701297760009766,-0.8123092651367188,-0.256,0.2816,True
3,0.6096420288085938,-0.8440132141113281,-0.2304,0.2816,True
4,0.5468220710754395,-0.869847297668457,-0.2048,0.2816,True
5,0.47601318359375,-0.8930644989013672,-0.1792,0.2816,True
6,0.4037895202636719,-0.9138720035552979,-0.1536,0.2816,True
7,0.32555389404296875,-0.9304046630859375,-0.128,0.2816,True
8,0.2385101318359375,-0.943756103515625,-0.1024,0.2816,True
9,0.1630203142305047,-0.95,-0.0768,0.2816,True
10,0.08153825123530517,-0.95,-0.0512,0.2816,True
11,0.004551829534185018,-0.95,-0.0256,0.2816,True
12,-0.07324849388653862,-0.95,0.0,0.2816,True
13,-0.1537354338002019,-0.95,0.0256,0.2816,True
14,-0.23538541793823242,-0.9473285675048828,0.0512,0.2816,True
15,-0.31557273864746094,-0.9365997314453125,0.0768,0.2816,True
16,-0.3956377930530701,-0.9219143022676641,0.1024,0.2816,True
17,-0.4774284362792969,-0.9027519226074219,0.128,0.2816,True
18,-0.5576190948486328,-0.8763008117675781,0.1536,0.2816,True
19,-0.6243896484375,-0.851318359375,0.1792,0.2816,True
20,-0.6934604644775391,-0.8277084827423096,0.2048,0.2816,True
21,-0.7518119812011719,-0.7990016937255859,0.2304,0.2816,True
22,-0.8120040893554688,-0.7684516906738281,0.256,0.2816,True
23,0.7990226745605469,-0.7039356231689453,-0.3072,0.256,True
24,0.7541313171386719,-0.7388567924499512,-0.2816,0.256,True
25,0.69652613079262,-0.7634513485411203,-0.256,0.256,True
26,0.63629150390625,-0.79248046875,-0.2304,0.256,True
27,0.57025146484375,-0.818878173828125,-0.2048,0.256,True
28,0.5002517700195312,-0.84185791015625,-0.1792,0.256,True
29,0.42390000098971276,-0.8607324286050049,-0.1536,0.256,True
30,0.33628,-0.87852,-0.128,0.256,False
31,0.25424,-0.89223,-0.1024,0.256,False
32,0.16936,-0.90355,-0.0768,0.256,False
33,0.08923,-0.90566,-0.0512,0.256,False
34,0.00723,-0.90949,-0.0256,0.256,False
35,-0.07089,-0.90901,0.0,0.256,False
36,-0.15514,-0.90564,0.0256,0.256,False
37,-0.23916,-0.89626,0.0512,0.256,False
38,-0.32206,-0.88082,0.0768,0.256,False
39,-0.40533447265625,-0.869903564453125,0.1024,0.256,True
40,-0.490325927734375,-0.849151611328125,0.128,0.256,True
41,-0.5669861189815947,-0.824788905935903,0.1536,0.256,True
42,-0.6405759725641087,-0.8038709964464856,0.1792,0.256,True
43,-0.7058486938476562,-0.7787322998046875,0.2048,0.256,True
44,-0.7716573636842016,-0.7512655528734886,0.2304,0.256,True
45,-0.8238294006661622,-0.7228250246418506,0.256,0.256,True
46,0.8228130340576172,-0.6540055274963379,-0.3072,0.2304,True
47,0.7765655517578125,-0.6821441650390625,-0.2816,0.2304,True
48,0.7242431640625,-0.7132511138916016,-0.256,0.2304,True
49,0.6605205535888672,-0.7356414794921875,-0.2304,0.2304,True
50,0.5934181213378906,-0.7615165710449219,-0.2048,0.2304,True
51,0.51482,-0.7828,-0.1792,0.2304,False
52,0.44143,-0.80285,-0.1536,0.2304,False
53,0.36391,-0.81743,-0.128,0.2304,False
54,0.27856,-0.82973,-0.1024,0.2304,False
55,0.18987,-0.84046,-0.0768,0.2304,False
56,0.09961,-0.84762,-0.0512,0.2304,False
57,0.01644,-0.85,-0.0256,0.2304,False
58,-0.06914,-0.84852,0.0,0.2304,False
59,-0.15467,-0.84336,0.0256,0.2304,False
60,-0.24051,-0.83571,0.0512,0.2304,False
61,-0.32597,-0.82643,0.0768,0.2304,False
62,-0.41909,-0.81003,0.1024,0.2304,False
63,-0.49996,-0.78424,0.128,0.2304,False
64,-0.5794503146712873,-0.7703098955322352,0.1536,0.2304,True
65,-0.6523105012060062,-0.7484628108590875,0.1792,0.2304,True
66,-0.7236275672912598,-0.724078893661499,0.2048,0.2304,True
67,-0.7834262847900391,-0.6983261108398438,0.2304,0.2304,True
68,-0.8408279418945312,-0.670867919921875,0.256,0.2304,True
69,0.8452129364013672,-0.6041631698608398,-0.3072,0.2048,True
70,0.7983798980712891,-0.6265649795532227,-0.2816,0.2048,True
71,0.7444000244140625,-0.6499786376953125,-0.256,0.2048,True
72,0.6851348876953125,-0.6775360107421875,-0.2304,0.2048,True
73,0.61008,-0.69818,-0.2048,0.2048,False
74,0.54197,-0.71845,-0.1792,0.2048,False
75,0.46336,-0.73643,-0.1536,0.2048,False
76,0.38109,-0.75305,-0.128,0.2048,False
77,0.29352,-0.7625,-0.1024,0.2048,False
78,0.20432,-0.77009,-0.0768,0.2048,False
79,0.11318,-0.77908,-0.0512,0.2048,False
80,0.02469,-0.78057,-0.0256,0.2048,False
81,-0.06556,-0.78237,0.0,0.2048,False
82,-0.15585,-0.77987,0.0256,0.2048,False
83,-0.24538,-0.77046,0.0512,0.2048,False
84,-0.33533,-0.75995,0.0768,0.2048,False
85,-0.42708,-0.74412,0.1024,0.2048,False
86,-0.51077,-0.72824,0.128,0.2048,False
87,-0.58426,-0.70471,0.1536,0.2048,False
88,-0.668426513671875,-0.6873245239257812,0.1792,0.2048,True
89,-0.7353687286376953,-0.6640739440917969,0.2048,0.2048,True
90,-0.800140380859375,-0.6383285522460938,0.2304,0.2048,True
91,-0.8604051281208625,-0.6143399681681871,0.256,0.2048,True
92,0.8723738048638565,-0.5422333736527356,-0.3072,0.1792,True
93,0.8189582824707031,-0.5684471130371094,-0.2816,0.1792,True
