id,X,Y,x_light,y_light,Extrapolated
0,0.847198486328125,-0.7698159217834473,-0.256,0.1536,True
1,0.753662109375,-0.792755126953125,-0.2304,0.1536,True
2,0.6478786468505859,-0.805262565612793,-0.2048,0.1536,True
3,0.5466156005859375,-0.817138671875,-0.1792,0.1536,True
4,0.44519615173339844,-0.8333954811096191,-0.1536,0.1536,True
5,0.34010901809968175,-0.8407036830348864,-0.128,0.1536,True
6,0.23398208618164062,-0.8485355377197266,-0.1024,0.1536,True
7,0.1262044906616211,-0.8530495166778564,-0.0768,0.1536,True
8,0.01778871795788537,-0.8544000688537424,-0.0512,0.1536,True
9,-0.08252936508313166,-0.8536530187274384,-0.0256,0.1536,True
10,-0.1870347384003183,-0.8501787698815045,0.0,0.1536,True
11,-0.2900040552710041,-0.8416315391798339,0.0256,0.1536,True
12,-0.39397430419921875,-0.8276519775390625,0.0512,0.1536,True
13,-0.4883403778076172,-0.8139206171035767,0.0768,0.1536,True
14,-0.5833044052124023,-0.797365665435791,0.1024,0.1536,True
15,-0.6769779869355261,-0.77399140316993,0.128,0.1536,True
16,-0.7618845105171204,-0.7526106834411621,0.1536,0.1536,True
17,0.8502044677734375,-0.6899795532226562,-0.256,0.128,True
18,0.7636051177978516,-0.7039258480072021,-0.2304,0.128,True
19,0.6661338806152344,-0.7228449583053589,-0.2048,0.128,True
20,0.5586102618402202,-0.7328086133290322,-0.1792,0.128,True
21,0.4550402495261032,-0.7451783799029978,-0.1536,0.128,True
22,0.35011,-0.75864,-0.128,0.128,False
23,0.23952,-0.75798,-0.1024,0.128,False
24,0.12967,-0.76625,-0.0768,0.128,False
25,0.02413,-0.7647,-0.0512,0.128,False
26,-0.08267,-0.76496,-0.0256,0.128,False
27,-0.19259,-0.75853,0.0,0.128,False
28,-0.29879,-0.74924,0.0256,0.128,False
29,-0.40337,-0.74174,0.0512,0.128,False
30,-0.5010832548780484,-0.7275799522734986,0.0768,0.128,True
31,-0.5992357001612161,-0.7078973974903747,0.1024,0.128,True
32,-0.6911692418668195,-0.6889181840974767,0.128,0.128,True
33,-0.7763582620169522,-0.6734247843051095,0.1536,0.128,True
34,0.8640213012695312,-0.5991554260253906,-0.256,0.1024,True
35,0.7678070068359375,-0.617152214050293,-0.2304,0.1024,True
36,0.6749305725097656,-0.6296062469482422,-0.2048,0.1024,True
37,0.5728943104291564,-0.6441913640749568,-0.1792,0.1024,True
38,0.46433,-0.65064,-0.1536,0.1024,False
39,0.35547,-0.65907,-0.128,0.1024,False
40,0.24336,-0.66392,-0.1024,0.1024,False
41,0.13872,-0.6712,-0.0768,0.1024,False
42,0.02303,-0.67112,-0.0512,0.1024,False
43,-0.08686,-0.6725,-0.0256,0.1024,False
44,-0.19639,-0.66348,0.0,0.1024,False
45,-0.3082,-0.65646,0.0256,0.1024,False
46,-0.41158,-0.64276,0.0512,0.1024,False
47,-0.51404,-0.63386,0.0768,0.1024,False
48,-0.61443,-0.62257,0.1024,0.1024,False
49,-0.7034069147826425,-0.6023462192400982,0.128,0.1024,True
50,-0.7898848363721922,-0.5849655198035961,0.1536,0.1024,True
51,0.8813018798828125,-0.5052032470703125,-0.256,0.0768,True
52,0.7809119666979459,-0.5219790493953018,-0.2304,0.0768,True
53,0.6803474426269531,-0.5360956192016602,-0.2048,0.0768,True
54,0.57721,-0.54771,-0.1792,0.0768,False
55,0.47162,-0.55404,-0.1536,0.0768,False
56,0.36309,-0.56134,-0.128,0.0768,False
57,0.25366,-0.56721,-0.1024,0.0768,False
58,0.13984,-0.57431,-0.0768,0.0768,False
59,0.02698,-0.57564,-0.0512,0.0768,False
60,-0.08825,-0.57574,-0.0256,0.0768,False
61,-0.20075,-0.56807,0.0,0.0768,False
62,-0.3121,-0.55742,0.0256,0.0768,False
63,-0.41875,-0.546,0.0512,0.0768,False
64,-0.52281,-0.53276,0.0768,0.0768,False
65,-0.6218,-0.52296,0.1024,0.0768,False
66,-0.7151334816258806,-0.5078608118329957,0.128,0.0768,True
67,-0.8029722238178743,-0.48962523043722456,0.1536,0.0768,True
68,0.8926932889282455,-0.4077478210975174,-0.256,0.0512,True
69,0.7952925131866435,-0.4218018996668489,-0.2304,0.0512,True
70,0.69957,-0.43745,-0.2048,0.0512,False
71,0.58399,-0.44596,-0.1792,0.0512,False
72,0.47902,-0.45507,-0.1536,0.0512,False
73,0.3726,-0.46055,-0.128,0.0512,False
74,0.2637,-0.46925,-0.1024,0.0512,False
75,0.14954,-0.47411,-0.0768,0.0512,False
76,0.03408,-0.47436,-0.0512,0.0512,False
77,-0.08566,-0.47406,-0.0256,0.0512,False
78,-0.20224,-0.4682,0.0,0.0512,False
79,-0.3148,-0.45764,0.0256,0.0512,False
80,-0.42447,-0.44646,0.0512,0.0512,False
81,-0.52801,-0.4357,0.0768,0.0512,False
82,-0.62942,-0.42105,0.1024,0.0512,False
83,-0.7245,-0.40768,0.128,0.0512,False
84,-0.8159272430055929,-0.3918362923754289,0.1536,0.0512,True
85,0.902099609375,-0.308197021484375,-0.256,0.0256,True
86,0.803466796875,-0.32027435302734375,-0.2304,0.0256,True
87,0.69878,-0.33272,-0.2048,0.0256,False
88,0.59105,-0.34253,-0.1792,0.0256,False
89,0.48673,-0.35198,-0.1536,0.0256,False
90,0.38145,-0.3564,-0.128,0.0256,False
91,0.26943,-0.36334,-0.1024,0.0256,False
92,0.15598,-0.36628,-0.0768,0.0256,False
93,0.03799,-0.36851,-0.0512,0.0256,False
94,-0.08425,-0.36606,-0.0256,0.0256,False
95,-0.20374,-0.36011,0.0,0.0256,False
96,-0.32229,-0.35228,0.0256,0.0256,False
97,-0.43234,-0.33909,0.0512,0.0256,False
98,-0.53807,-0.32944,0.0768,0.0256,False
99,-0.63587,-0.31675,0.1024,0.0256,False
100,-0.73447,-0.30134,0.128,0.0256,False
101,-0.8309942576545623,-0.28576711917055636,0.1536,0.0256,True
102,0.90728759765625,-0.208221435546875,-0.256,0.0,True
103,0.83502,-0.21559,-0.2304,0.0,False
104,0.70471,-0.22776,-0.2048,0.0,False
105,0.59946,-0.23256,-0.1792,0.0,False
106,0.49859,-0.23984,-0.1536,0.0,False
107,0.39158,-0.24614,-0.128,0.0,False
108,0.28037,-0.2502,-0.1024,0.0,False
109,0.16162,-0.25259,-0.0768,0.0,False
110,0.03841,-0.25347,-0.0512,0.0,False
111,-0.08241,-0.25076,-0.0256,0.0,False
112,-0.20551,-0.24597,0.0,0.0,False
113,-0.32519,-0.24022,0.0256,0.0,False
114,-0.43573,-0.22752,0.0512,0.0,False
115,-0.54372,-0.2211,0.0768,0.0,False
116,-0.64138,-0.20862,0.1024,0.0,False
117,-0.73899,-0.19934,0.128,0.0,False
118,-0.8329862167519555,-0.185492722644092,0.1536,0.0,True
119,0.9111299514770508,-0.10906982421875,-0.256,-0.0256,True
120,0.83752,-0.11097,-0.2304,-0.0256,False
121,0.70854,-0.12011,-0.2048,-0.0256,False
122,0.60557,-0.12187,-0.1792,-0.0256,False
123,0.50348,-0.12559,-0.1536,-0.0256,False
124,0.39757,-0.12861,-0.128,-0.0256,False
125,0.28593,-0.1288,-0.1024,-0.0256,False
126,0.16444,-0.13273,-0.0768,-0.0256,False
127,0.04097,-0.12882,-0.0512,-0.0256,False
128,-0.08297,-0.12812,-0.0256,-0.0256,False
129,-0.20667,-0.12787,0.0,-0.0256,False
130,-0.32771,-0.12012,0.0256,-0.0256,False
131,-0.43797,-0.11479,0.0512,-0.0256,False
132,-0.54482,-0.10549,0.0768,-0.0256,False
133,-0.64422,-0.09816,0.1024,-0.0256,False
134,-0.74138,-0.09285,0.128,-0.0256,False
135,-0.8362559838801072,-0.08210954927443999,0.1536,-0.0256,True
136,0.9151522891818791,-0.012285827047234757,-0.256,-0.0512,True
137,0.83384,-0.0093,-0.2304,-0.0512,False
138,0.71671,-0.00937,-0.2048,-0.0512,False
139,0.61153,-0.01055,-0.1792,-0.0512,False
140,0.50849,-0.00944,-0.1536,-0.0512,False
141,0.40457,-0.00808,-0.128,-0.0512,False
142,0.29073,-0.00889,-0.1024,-0.0512,False
143,0.16926,-0.00773,-0.0768,-0.0512,False
144,0.04423,-0.00538,-0.0512,-0.0512,False
145,-0.07876,-0.00603,-0.0256,-0.0512,False
146,-0.20703,-0.00203,0.0,-0.0512,False
147,-0.32647,0.00089,0.0256,-0.0512,False
148,-0.44011,0.00523,0.0512,-0.0512,False
149,-0.54599,0.00752,0.0768,-0.0512,False
150,-0.64621,0.01224,0.1024,-0.0512,False
151,-0.74597,0.01572,0.128,-0.0512,False
152,-0.8395308799690558,0.021994466972573127,0.1536,-0.0512,True
153,0.915191650390625,0.08847999572753906,-0.256,-0.0768,True
154,0.8353,0.0943,-0.2304,-0.0768,False
155,0.71503,0.09717,-0.2048,-0.0768,False
156,0.61151,0.09961,-0.1792,-0.0768,False
157,0.51224,0.10574,-0.1536,-0.0768,False
158,0.40534,0.11139,-0.128,-0.0768,False
