Idx,X,Y,X_interp,Y_interp,azimuth,elevation,azimuth_interp,elevation_interp,x_light,y_light
1,-4.26295e-17,-0,0.0036,0.0012,0,-2.44249e-15,18.4349,0.217606,-0.0417596,-0.0518897
2,0,0,0.0036,0.0012,60,0,18.4349,0.217606,-0.0420517,-0.0527817
3,-0,0,-0.0059,0.0016,120,0,164.827,0.349986,-0.0414315,-0.0530298
4,-0,-0,-0.0014,0.0054,180,0,104.534,0.319594,-0.0413817,-0.0527717
5,-0,-0,-0.0004,0.0064,240,0,93.5763,0.367441,-0.0417734,-0.0533849
6,0,-0,-0.0004,0.0064,300,0,93.5763,0.367441,-0.0414558,-0.0529454
7,0.0174524,1.08216e-18,0.0143,0.0027,3.55271e-15,1,10.6922,0.833922,-0.0449319,-0.052566
8,0.0087262,0.0151142,0.006,0.022,60,1,74.7449,1.30671,-0.0435217,-0.0561615
9,-0.0087262,0.0151142,-0.0087,0.0173,120,1,116.697,1.10959,-0.0403357,-0.0560893
10,-0.0174524,-1.52574e-09,-0.0241,0.0025,180,1,174.078,1.38833,-0.0378626,-0.0527645
11,-0.0087262,-0.0151142,-0.0055,-0.0164,240,1,251.46,0.991106,-0.0404329,-0.0494145
12,0.0087262,-0.0151142,0.0094,-0.0106,300,1,311.566,0.811806,-0.0441554,-0.049753
13,0.0348995,2.164e-18,0.0396,-0.0004,3.55271e-15,2,359.421,2.26961,-0.0493098,-0.0524436
14,0.0174497,0.0302239,0.0171,0.0324,60,2,62.1759,2.09956,-0.045152,-0.0592502
15,-0.0174497,0.0302239,-0.0165,0.0287,120,2,119.895,1.89713,-0.0381672,-0.05872
16,-0.0348995,-3.05101e-09,-0.0372,-0.0003,180,2,180.462,2.13194,-0.0342674,-0.0527819
17,-0.0174497,-0.0302239,-0.0184,-0.0289,240,2,237.516,1.96334,-0.0377376,-0.0469442
18,0.0174497,-0.0302239,0.0163,-0.0225,300,2,305.921,1.59213,-0.0456218,-0.0465693
19,0.052336,3.24517e-18,0.0585,-0.0016,3.55271e-15,3,358.433,3.35497,-0.0528998,-0.0521673
20,0.026168,0.0453243,0.0218,0.0475,60,3,65.3474,2.99585,-0.0468997,-0.0622934
21,-0.026168,0.0453243,-0.0281,0.0482,120,3,120.242,3.19837,-0.0362278,-0.0618512
22,-0.052336,-4.57535e-09,-0.0535,0.0043,180,3,175.405,3.0767,-0.0310064,-0.0526484
23,-0.026168,-0.0453243,-0.0308,-0.04,240,3,232.404,2.89374,-0.0362065,-0.0436491
24,0.026168,-0.0453243,0.0238,-0.0441,300,3,298.355,2.87242,-0.0470551,-0.0430218
25,0.0697565,4.32536e-18,0.0714,0.0008,3.55271e-15,4,0.641943,4.09467,-0.0564703,-0.0522254
26,0.0348782,0.0604109,0.0394,0.0638,60,4,58.3024,4.30038,-0.048885,-0.0655172
27,-0.0348782,0.0604109,-0.0372,0.0592,120,4,122.144,4.00927,-0.0343854,-0.0651284
28,-0.0697565,-6.0983e-09,-0.0685,0,180,4,180,3.92785,-0.0274759,-0.0521304
29,-0.0348782,-0.0604109,-0.0346,-0.0525,240,4,236.613,3.60489,-0.0346364,-0.0402558
30,0.0348782,-0.0604109,0.0317,-0.0552,300,4,299.868,3.64964,-0.0495387,-0.0402482
31,0.0871557,5.40423e-18,0.0857,0.0043,3.55271e-15,5,2.87241,4.92247,-0.0600763,-0.0529557
32,0.0435779,0.0754791,0.0503,0.0736,60,5,55.6504,5.1145,-0.0508169,-0.068442
33,-0.0435779,0.0754791,-0.0431,0.0808,120,5,118.076,5.2543,-0.0322252,-0.0686994
34,-0.0871557,-7.6194e-09,-0.0851,0.002,180,5,178.654,4.88311,-0.0236318,-0.0525098
35,-0.0435779,-0.0754791,-0.0479,-0.0759,240,5,237.744,5.14929,-0.0329642,-0.0373362
36,0.0435779,-0.0754791,0.0443,-0.0716,300,5,301.746,4.82982,-0.0512833,-0.0367212
37,0.104528,6.48145e-18,0.1099,-0.0003,3.55271e-15,6,359.844,6.30957,-0.0633737,-0.0524358
38,0.0522642,0.0905243,0.0508,0.0904,60,6,60.6663,5.95203,-0.0519824,-0.0717118
39,-0.0522642,0.0905243,-0.0549,0.0866,120,6,122.373,5.8852,-0.0306984,-0.0714409
40,-0.104528,-9.13817e-09,-0.1063,0.0007,180,6,179.623,6.1022,-0.0200952,-0.0521784
41,-0.0522642,-0.0905243,-0.0599,-0.0874,240,6,235.575,6.08228,-0.0311918,-0.0337898
42,0.0522642,-0.0905243,0.0509,-0.093,300,6,298.692,6.08583,-0.0530237,-0.0334606
43,0.121869,7.5567e-18,0.1237,0.003,3.55271e-15,7,1.38928,7.10779,-0.0670851,-0.0530247
44,0.0609347,0.105542,0.0696,0.1073,60,7,57.0306,7.34804,-0.0546253,-0.0747883
45,-0.0609347,0.105542,-0.06,0.1097,120,7,118.676,7.18286,-0.0286564,-0.0745381
46,-0.121869,-1.06542e-08,-0.1269,0.0004,180,7,179.819,7.29051,-0.0162683,-0.0519334
47,-0.0609347,-0.105542,-0.0586,-0.1046,240,7,240.741,6.88612,-0.0296029,-0.030924
48,0.0609347,-0.105542,0.0606,-0.1103,300,7,298.785,7.2299,-0.0549346,-0.030673
49,0.139173,8.62964e-18,0.1363,-0.0032,3.55271e-15,8,358.655,7.83597,-0.0702441,-0.052804
50,0.0695865,0.120527,0.0695,0.1163,60,8,59.1378,7.78661,-0.0553409,-0.0780592
51,-0.0695866,0.120527,-0.0699,0.1196,120,8,120.304,7.96272,-0.0268983,-0.0769665
52,-0.139173,-1.21669e-08,-0.1369,0.0012,180,8,179.498,7.86881,-0.0136381,-0.0523577
53,-0.0695865,-0.120527,-0.0756,-0.1208,240,8,237.961,8.1929,-0.027941,-0.0275649
54,0.0695865,-0.120527,0.0657,-0.1172,300,8,299.274,7.72156,-0.0565967,-0.0277176
55,0.156434,9.69996e-18,0.1607,-0.0005,3.55271e-15,9,359.822,9.24758,-0.0743349,-0.053128
56,0.0782172,0.135476,0.0774,0.1362,60,9,60.3912,9.01286,-0.0568858,-0.0813696
57,-0.0782172,0.135476,-0.0834,0.1289,120,9,122.903,8.83142,-0.0247521,-0.0800449
58,-0.156434,-1.36759e-08,-0.1516,-0.0016,180,9,180.605,8.72015,-0.0101297,-0.0519762
59,-0.0782172,-0.135476,-0.0797,-0.1347,240,9,239.388,9.00453,-0.0261896,-0.0242648
60,0.0782172,-0.135476,0.0808,-0.1318,300,9,301.51,8.89335,-0.0590384,-0.0249602
61,0.173648,1.07673e-17,0.1733,0.0025,3.55271e-15,10,0.826483,9.98079,-0.0782127,-0.0531117
62,0.0868241,0.150384,0.0925,0.1506,60,10,58.4413,10.1799,-0.0597699,-0.0832146
63,-0.0868241,0.150384,-0.084,0.1548,120,10,118.486,10.144,-0.0233839,-0.083049
64,-0.173648,-1.51808e-08,-0.1772,0.002,180,10,179.353,10.2074,-0.005751,-0.0518217
65,-0.0868241,-0.150384,-0.0955,-0.1499,240,10,237.499,10.2379,-0.0246054,-0.0212267
66,0.0868241,-0.150384,0.0881,-0.1523,300,10,300.048,10.1337,-0.060406,-0.0212719
67,0.190809,1.18314e-17,0.1838,0.0029,3.55271e-15,11,0.903939,10.5925,-0.0811101,-0.0529801
68,0.0954045,0.165245,0.0941,0.1629,60,11,59.9869,10.8434,-0.0612245,-0.0869318
69,-0.0954045,0.165245,-0.1019,0.1677,120,11,121.284,11.3167,-0.0211754,-0.085851
70,-0.190809,-1.66811e-08,-0.1925,-0.0013,180,11,180.387,11.099,-0.00267481,-0.0516395
71,-0.0954045,-0.165245,-0.0901,-0.1638,240,11,241.187,10.7746,-0.0236191,-0.0180561
72,0.0954045,-0.165245,0.0946,-0.1664,300,11,299.619,11.0351,-0.0623045,-0.0185671
73,0.207912,1.28919e-17,0.2046,0.0042,3.55271e-15,12,1.17599,11.8086,-0.0850017,-0.0530964
74,0.103956,0.180057,0.105,0.1854,60,12,60.4753,12.3022,-0.0628249,-0.089768
75,-0.103956,0.180057,-0.101,0.1806,120,12,119.216,11.9421,-0.0193655,-0.0893474
76,-0.207912,-1.81762e-08,-0.2121,0.0011,180,12,179.703,12.2456,0.000935216,-0.0517222
77,-0.103956,-0.180057,-0.1035,-0.1774,240,12,239.74,11.852,-0.0214585,-0.0147438
78,0.103956,-0.180057,0.1015,-0.1804,300,12,299.364,11.9462,-0.0639971,-0.0149173
79,0.224951,1.39484e-17,0.2221,0.0008,3.55271e-15,13,0.206377,12.8325,-0.0885265,-0.0526886
80,0.112476,0.194813,0.1114,0.1936,60,13,60.0833,12.9066,-0.0647783,-0.0927845
81,-0.112476,0.194813,-0.1148,0.1888,120,13,121.302,12.7656,-0.0175707,-0.092003
82,-0.224951,-1.96658e-08,-0.2195,0.1215,180,13,151.034,14.5298,0.00432638,-0.0515494
83,-0.112475,-0.194813,-0.1077,-0.1916,240,13,240.659,12.697,-0.0199805,-0.0119118
84,0.112476,-0.194813,0.1132,-0.1996,300,13,299.559,13.2656,-0.0660797,-0.0123291
85,0.241922,1.50007e-17,0.2496,-0.0022,3.55271e-15,14,359.495,14.4544,-0.0924804,-0.0527381
86,0.120961,0.209511,0.1235,0.2073,60,14,59.2154,13.9633,-0.0665531,-0.0957715
87,-0.120961,0.209511,-0.1136,0.2121,120,14,118.173,13.9223,-0.0164366,-0.0951654
88,-0.241922,-2.11495e-08,-0.2457,0,180,14,180,14.2232,0.00743095,-0.0517598
89,-0.120961,-0.209511,-0.1172,-0.2104,240,14,240.881,13.9361,-0.0178137,-0.00849032
90,0.120961,-0.209511,0.1248,-0.2187,300,14,299.711,14.5842,-0.068392,-0.00866941
91,0.258819,1.60485e-17,0.2619,-0.0008,3.55271e-15,15,359.825,15.1829,-0.0955525,-0.0531923
92,0.12941,0.224144,0.1298,0.2251,60,15,60.0308,15.0607,-0.0680114,-0.0993341
93,-0.12941,0.224144,-0.1279,0.2212,120,15,120.037,14.8041,-0.0145682,-0.0982263
94,-0.258819,-2.26267e-08,-0.2601,-0.0034,180,15,180.749,15.0773,0.0112265,-0.0514872
95,-0.12941,-0.224144,-0.1262,-0.2201,240,15,240.171,14.6974,-0.0161953,-0.00539844
96,0.12941,-0.224144,0.131,-0.2235,300,15,300.376,15.0144,-0.0700713,-0.00612963
97,0.275637,1.70913e-17,0.278,-0.0053,3.55271e-15,16,358.908,16.1439,-0.0990582,-0.0526657
98,0.137819,0.238709,0.1359,0.2421,60,16,60.6928,16.1191,-0.0699032,-0.102528
99,-0.137819,0.238709,-0.1426,0.2382,120,16,120.907,16.1183,-0.0121143,-0.101007
100,-0.275637,-2.4097e-08,-0.28,-0.0014,180,16,180.286,16.2604,0.0147906,-0.0513857
101,-0.137819,-0.238709,-0.1357,-0.2391,240,16,240.423,15.9575,-0.0144885,-0.00262544
102,0.137819,-0.238709,0.1379,-0.2381,300,16,300.078,15.971,-0.071717,-0.00303212
103,0.292372,1.8129e-17,0.2913,-0.0035,3.55271e-15,17,359.312,16.9371,-0.10293,-0.0525267
104,0.146186,0.253201,0.1432,0.2502,60,17,60.2157,16.7551,-0.0713223,-0.105226
105,-0.146186,0.253201,-0.1465,0.2564,120,17,119.742,17.1756,-0.0102483,-0.103937
106,-0.292372,-2.55599e-08,-0.2946,0.1223,180,17,157.455,18.6011,0.018218,-0.0511667
107,-0.146186,-0.253201,-0.1452,-0.2486,240,17,239.712,16.7321,-0.0127426,0.000390079
108,0.146186,-0.253201,0.1429,-0.2531,300,17,299.449,16.8971,-0.0729378,8.12044e-05
109,0.309017,1.91611e-17,0.3054,0.0019,3.55271e-15,18,0.356452,17.7826,-0.106375,-0.0532282
110,0.154508,0.267617,0.1546,0.2699,60,18,60.1957,18.122,-0.0730413,-0.108464
111,-0.154509,0.267617,-0.1555,0.2668,120,18,120.235,17.9874,-0.00865659,-0.10742
112,-0.309017,-2.70151e-08,-0.3097,0.0021,180,18,179.611,18.0416,0.0220409,-0.0509808
113,-0.154508,-0.267617,-0.15,-0.2619,240,18,240.199,17.5666,-0.0114127,0.00398954
114,0.154508,-0.267617,0.1555,-0.2712,300,18,299.829,18.217,-0.0753881,0.00331484
115,0.325568,2.01874e-17,0.3303,0.0048,3.55271e-15,19,0.832578,19.2891,-0.110244,-0.0531136
116,0.162784,0.28195,0.1638,0.2802,60,19,59.6902,18.9392,-0.0749296,-0.111914
117,-0.162784,0.28195,-0.1588,0.2865,120,19,118.999,19.1211,-0.0068458,-0.110743
118,-0.325568,-2.84621e-08,-0.3303,0.0045,180,19,179.219,19.2888,0.025529,-0.0513724
119,-0.162784,-0.28195,-0.1595,-0.2808,240,19,240.403,18.8407,-0.0091112,0.00706077
120,0.162784,-0.28195,0.1627,-0.2853,300,19,299.695,19.1736,-0.0770223,0.00644884
121,0.34202,2.12075e-17,0.3441,-0.0027,3.55271e-15,20,359.55,20.1275,-0.114161,-0.053195
122,0.17101,0.296198,0.1771,0.2938,60,20,58.9188,20.0628,-0.0773392,-0.115074
123,-0.17101,0.296198,-0.1734,0.2943,120,20,120.506,19.9734,-0.00456591,-0.113748
124,-0.34202,-2.99004e-08,-0.3407,-0.003,180,20,180.505,19.9203,0.0287431,-0.0513103
125,-0.17101,-0.296198,-0.1741,-0.2949,240,20,239.444,20.0266,-0.00771028,0.0108144
126,0.17101,-0.296198,0.1712,-0.29,300,20,300.555,19.6798,-0.0794957,0.00959834
127,0.358368,2.22212e-17,0.353,0.0016,3.55271e-15,21,0.259696,20.6711,-0.117905,-0.0528619
128,0.179184,0.310356,0.183,0.3117,60,21,59.5827,21.1893,-0.0786254,-0.118608
129,-0.179184,0.310356,-0.1871,0.3097,120,21,121.138,21.2126,-0.00272053,-0.116541
130,-0.358368,-3.13295e-08,-0.3576,-0.0029,180,21,180.465,20.9536,0.032942,-0.0505428
131,-0.179184,-0.310356,-0.1787,-0.3099,240,21,240.031,20.9609,-0.00532366,0.0138347
132,0.179184,-0.310356,0.1793,-0.3147,300,21,299.672,21.235,-0.0813329,0.0134002
133,0.374607,2.32281e-17,0.3757,-0.0072,3.55271e-15,22,358.902,22.0719,-0.121245,-0.0533381
134,0.187303,0.324419,0.1855,0.3247,60,22,60.2608,21.9596,-0.0805556,-0.12132
135,-0.187303,0.324419,-0.1905,0.3276,120,22,120.178,22.2694,-0.00133251,-0.120302
136,-0.374607,-3.27491e-08,-0.3775,-0.0012,180,22,180.182,22.179,0.0367855,-0.0507422
137,-0.187303,-0.324419,-0.1838,-0.3244,240,22,240.465,21.8916,-0.00384917,0.017202
138,0.187303,-0.324419,0.1861,-0.3296,300,22,299.45,22.2414,-0.0837897,0.0164304
139,0.390731,2.42279e-17,0.3935,-0.0005,3.55271e-15,23,359.927,23.1725,-0.124796,-0.0534889
140,0.195366,0.338383,0.2044,0.3345,60,23,58.5725,23.0794,-0.0824995,-0.124181
141,-0.195366,0.338383,-0.1942,0.3364,120,23,119.997,22.8569,0.000793185,-0.122875
142,-0.390731,-3.41588e-08,-0.3891,0.0011,180,23,179.838,22.8986,0.0401929,-0.0508008
143,-0.195366,-0.338383,-0.1888,-0.3393,240,23,240.907,22.8482,-0.00245834,0.0202131
144,0.195366,-0.338383,0.1923,-0.3445,300,23,299.17,23.2371,-0.0848004,0.0198016
145,0.406737,2.52203e-17,0.4037,0.0041,3.55271e-15,24,0.581879,23.811,-0.128301,-0.0533072
146,0.203368,0.352244,0.2081,0.3591,60,24,59.9075,24.5219,-0.0841099,-0.128164
147,-0.203368,0.352244,-0.1983,0.347,120,24,119.747,23.5572,0.00261115,-0.125962
148,-0.406737,-3.5558e-08,-0.4057,0.0101,180,24,178.574,23.9429,0.0438386,-0.0512901
149,-0.203368,-0.352244,-0.204,-0.3547,240,24,240.095,24.1533,-0.00103936,0.0243902
150,0.203368,-0.352244,0.2062,-0.3552,300,24,300.136,24.2497,-0.0871364,0.022766
151,0.422618,2.62051e-17,0.4242,0.0046,3.55271e-15,25,0.621288,25.1016,-0.132143,-0.0531065
152,0.211309,0.365998,0.2171,0.3597,60,25,58.8866,24.8433,-0.0860147,-0.130815
153,-0.211309,0.365998,-0.2127,0.3667,120,25,120.115,25.0825,0.00509756,-0.129337
154,-0.422618,-3.69465e-08,-0.4214,0.006,180,25,179.184,24.9257,0.0475941,-0.0507787
155,-0.211309,-0.365998,-0.2136,-0.3644,240,25,239.622,24.9855,0.00143032,0.0271062
156,0.211309,-0.365998,0.2146,-0.2515,300,25,310.473,19.306,-0.0889764,0.0257903
157,0.438371,2.71819e-17,0.4348,0.0049,3.55271e-15,26,0.64567,25.7743,-0.135605,-0.053545
158,0.219186,0.379641,0.2236,0.3863,60,26,59.9367,26.5095,-0.087656,-0.134649
159,-0.219186,0.379641,-0.2175,0.3838,120,26,119.54,26.1769,0.00625619,-0.132652
160,-0.438371,-3.83236e-08,-0.4388,0.0039,180,26,179.491,26.0285,0.0507517,-0.05054
161,-0.219186,-0.379641,-0.2134,-0.375,240,26,240.357,25.5608,0.00285211,0.0298944
162,0.219186,-0.379641,0.2182,-0.3842,300,26,299.594,26.2212,-0.0909442,0.0293668
163,0.45399,2.81504e-17,0.453,0.0013,3.55271e-15,27,0.164425,26.9364,-0.139387,-0.0535423
164,0.226995,0.393167,0.2314,0.3952,60,27,59.6499,27.2557,-0.0890817,-0.138015
165,-0.226995,0.393167,-0.2274,0.3983,120,27,119.723,27.2996,0.00817332,-0.136412
166,-0.45399,-3.96891e-08,-0.4545,0.001,180,27,179.874,27.0328,0.0545713,-0.0504091
167,-0.226995,-0.393167,-0.2235,-0.3944,240,27,240.46,26.9572,0.00497495,0.033652
168,0.226995,-0.393167,0.2276,-0.3902,300,27,300.255,26.8546,-0.0933338,0.0329936
169,0.469472,2.91103e-17,0.4729,-0.0016,3.55271e-15,28,359.806,28.2229,-0.143799,-0.0534521
170,0.234736,0.406574,0.2342,0.4089,60,28,60.1978,28.1136,-0.0915421,-0.14136
171,-0.234736,0.406574,-0.2324,0.4078,120,28,119.678,27.9936,0.0104473,-0.13937
172,-0.469472,-4.10425e-08,-0.4703,0.0078,180,28,179.05,28.058,0.0583793,-0.0505405
173,-0.234736,-0.406574,-0.2393,-0.3991,240,28,239.053,27.7325,0.00751449,0.0366779
174,0.234736,-0.406574,0.2398,-0.4098,300,28,300.335,28.3467,-0.095061,0.0363006
175,0.48481,3.00614e-17,0.4783,0.0004,3.55271e-15,29,0.0479162,28.5744,-0.146799,-0.0541884
176,0.242405,0.419857,0.244,0.4209,60,29,59.8987,29.1115,-0.0928583,-0.144231
177,-0.242405,0.419857,-0.2429,0.4227,120,29,119.883,29.1777,0.0124707,-0.142587
