id,X,Y,x_light,y_light,elevation,azimuth
0,NaN,NaN,-0.1792,0.1792,NaN,NaN
1,NaN,NaN,-0.1536,0.1792,NaN,NaN
2,NaN,NaN,-0.128,0.1792,NaN,NaN
3,NaN,NaN,-0.1024,0.1792,NaN,NaN
4,NaN,NaN,-0.0768,0.1792,NaN,NaN
5,NaN,NaN,-0.0512,0.1792,NaN,NaN
6,NaN,NaN,-0.0256,0.1792,NaN,NaN
7,NaN,NaN,0.0,0.1792,NaN,NaN
8,NaN,NaN,0.0256,0.1792,NaN,NaN
9,NaN,NaN,0.0512,0.1792,NaN,NaN
10,NaN,NaN,0.0768,0.1792,NaN,NaN
11,NaN,NaN,0.1024,0.1792,NaN,NaN
12,NaN,NaN,0.128,0.1792,NaN,NaN
13,NaN,NaN,0.1536,0.1792,NaN,NaN
14,NaN,NaN,0.1792,0.1792,NaN,NaN
15,NaN,NaN,0.2048,0.1792,NaN,NaN
16,NaN,NaN,-0.1792,0.1536,NaN,NaN
17,NaN,NaN,-0.1536,0.1536,NaN,NaN
18,NaN,NaN,-0.128,0.1536,NaN,NaN
19,NaN,NaN,-0.1024,0.1536,NaN,NaN
20,NaN,NaN,-0.0768,0.1536,NaN,NaN
21,NaN,NaN,-0.0512,0.1536,NaN,NaN
22,NaN,NaN,-0.0256,0.1536,NaN,NaN
23,NaN,NaN,0.0,0.1536,NaN,NaN
24,NaN,NaN,0.0256,0.1536,NaN,NaN
25,NaN,NaN,0.0512,0.1536,NaN,NaN
26,NaN,NaN,0.0768,0.1536,NaN,NaN
27,NaN,NaN,0.1024,0.1536,NaN,NaN
28,NaN,NaN,0.128,0.1536,NaN,NaN
29,NaN,NaN,0.1536,0.1536,NaN,NaN
30,NaN,NaN,0.1792,0.1536,NaN,NaN
31,NaN,NaN,0.2048,0.1536,NaN,NaN
32,NaN,NaN,-0.1792,0.128,NaN,NaN
33,NaN,NaN,-0.1536,0.128,NaN,NaN
34,NaN,NaN,-0.128,0.128,NaN,NaN
35,NaN,NaN,-0.1024,0.128,NaN,NaN
36,0.34866,-0.63661,-0.0768,0.128,46.5383,298.7087
37,0.22781,-0.65127,-0.0512,0.128,43.6272,289.2795
38,0.10976,-0.65704,-0.0256,0.128,41.7702,279.4838
39,0.00374,-0.65955,0.0,0.128,41.2664,270.3249
40,-0.10103,-0.6573,0.0256,0.128,41.6838,261.2618
41,-0.20452,-0.6497,0.0512,0.128,42.932,252.5264
42,-0.3078,-0.6423,0.0768,0.128,45.4177,244.3955
43,NaN,NaN,0.1024,0.128,NaN,NaN
44,NaN,NaN,0.128,0.128,NaN,NaN
45,NaN,NaN,0.1536,0.128,NaN,NaN
46,NaN,NaN,0.1792,0.128,NaN,NaN
47,NaN,NaN,0.2048,0.128,NaN,NaN
48,NaN,NaN,-0.1792,0.1024,NaN,NaN
49,NaN,NaN,-0.1536,0.1024,NaN,NaN
50,NaN,NaN,-0.128,0.1024,NaN,NaN
51,0.459,-0.53283,-0.1024,0.1024,44.69,310.7429
52,0.33667,-0.55007,-0.0768,0.1024,40.1598,301.4687
53,0.21895,-0.5585,-0.0512,0.1024,36.8616,291.4068
54,0.10545,-0.56744,-0.0256,0.1024,35.2507,280.5274
55,-0.00506,-0.56988,0.0,0.1024,34.7434,269.4913
56,-0.11268,-0.5662,0.0256,0.1024,35.2611,258.7446
57,-0.22103,-0.56167,0.0512,0.1024,37.1278,248.5192
