Idx,X,Y,X_interp,Y_interp,azimuth,elevation,azimuth_interp,elevation_interp,x_light,y_light
1,-4.26295e-17,-0,-0.0027,-0.0012,0,-2.44249e-15,203.962,0.16902,-0.00468028,-0.0274618
2,0,0,0.0016,0.0037,60,0,66.6148,0.2307,-0.00519408,-0.0280853
3,-0,0,0.0019,0.0056,120,0,71.2587,0.33862,-0.00469335,-0.0286184
4,-0,-0,-0.0023,0.002,180,0,138.991,0.174713,-0.00432336,-0.0279747
5,-0,-0,0.0066,-0.0001,240,0,359.132,0.377942,-0.00469012,-0.0278741
6,0,-0,0.0066,-0.0001,300,0,359.132,0.377942,-0.00523577,-0.0278091
7,0.0174524,1.08216e-18,0.0195,0.0021,3.55271e-15,1,6.14663,1.12379,-0.00818123,-0.0279215
8,0.0087262,0.0151142,0.0103,0.0119,60,1,49.1223,0.901789,-0.00663132,-0.0313326
9,-0.0087262,0.0151142,-0.0032,0.0152,120,1,101.889,0.889994,-0.00295175,-0.0316739
10,-0.0174524,-1.52574e-09,-0.0162,0.0024,180,1,171.573,0.938369,-0.000399779,-0.0283228
11,-0.0087262,-0.0151142,-0.0113,-0.0118,240,1,226.24,0.936073,-0.00233523,-0.0253802
12,0.0087262,-0.0151142,0.0109,-0.0172,300,1,302.363,1.16684,-0.00692777,-0.0251247
13,0.0348995,2.164e-18,0.0326,-0.0039,3.55271e-15,2,353.178,1.88149,-0.0120889,-0.0280744
14,0.0174497,0.0302239,0.0226,0.0334,60,2,55.9159,2.31122,-0.00892953,-0.0343856
15,-0.0174497,0.0302239,-0.0171,0.0293,120,2,120.269,1.9441,-0.00122392,-0.0342696
16,-0.0348995,-3.05101e-09,-0.0339,0.002,180,2,176.624,1.94612,0.00278645,-0.0283545
17,-0.0174497,-0.0302239,-0.0208,-0.032,240,2,236.976,2.18731,-0.000548647,-0.0219154
18,0.0174497,-0.0302239,0.0192,-0.0283,300,2,304.155,1.95985,-0.00810749,-0.0220628
19,0.052336,3.24517e-18,0.0497,-0.005,3.55271e-15,3,354.255,2.86314,-0.0156954,-0.0278911
20,0.026168,0.0453243,0.0223,0.0439,60,3,63.0707,2.82237,-0.0104631,-0.0381077
21,-0.026168,0.0453243,-0.0222,0.0444,120,3,116.565,2.84538,0.000538868,-0.0378901
22,-0.052336,-4.57535e-09,-0.0524,0.0023,180,3,177.487,3.00654,0.00655441,-0.0279829
23,-0.026168,-0.0453243,-0.0297,-0.0428,240,3,235.242,2.98623,0.00142398,-0.0190268
24,0.026168,-0.0453243,0.0226,-0.0447,300,3,296.821,2.87106,-0.00987889,-0.0190489
25,0.0697565,4.32536e-18,0.0693,-0.0043,3.55271e-15,4,356.449,3.98143,-0.0200965,-0.0277466
26,0.0348782,0.0604109,0.0344,0.0641,60,4,61.7793,4.17181,-0.0128931,-0.040441
27,-0.0348782,0.0604109,-0.0359,0.0654,120,4,118.764,4.27856,0.00273873,-0.0407766
