Idx,elevation,azimuth,X,Y,x_light,y_light
1,45,0,0.707107,0,-0.224424,-0.0262415
2,45,0,0.707107,0,-0.223797,-0.0260496
3,45,0,0.707107,0,-0.224194,-0.0262204
4,45,0,0.707107,0,-0.2243,-0.0267292
5,45,0,0.707107,0,-0.224097,-0.0261026
6,45.8161,0,0.717107,0,-0.226666,-0.0270867
7,45.8161,0,0.717107,0,-0.22684,-0.0261619
8,45.8161,0,0.717107,0,-0.22689,-0.0263371
9,45.8161,0,0.717107,0,-0.226346,-0.0267502
10,45.8161,0,0.717107,0,-0.226603,-0.0262281
11,46.6444,0,0.727107,0,-0.230187,-0.0266422
12,46.6444,0,0.727107,0,-0.229621,-0.0264394
13,46.6444,0,0.727107,0,-0.229486,-0.0265475
14,46.6444,0,0.727107,0,-0.23027,-0.0266593
15,46.6444,0,0.727107,0,-0.23029,-0.0270843
16,47.4855,0,0.737107,0,-0.232576,-0.0267067
17,47.4855,0,0.737107,0,-0.233115,-0.0269336
18,47.4855,0,0.737107,0,-0.232916,-0.0269546
19,47.4855,0,0.737107,0,-0.233548,-0.0267412
20,47.4855,0,0.737107,0,-0.232345,-0.0266879
21,48.3404,0,0.747107,0,-0.235929,-0.0269664
22,48.3404,0,0.747107,0,-0.236515,-0.0265187
23,48.3404,0,0.747107,0,-0.235834,-0.0266186
24,48.3404,0,0.747107,0,-0.23594,-0.0269131
25,48.3404,0,0.747107,0,-0.236383,-0.0265631
26,49.2098,0,0.757107,0,-0.239471,-0.0263679
27,49.2098,0,0.757107,0,-0.23847,-0.0271219
28,49.2098,0,0.757107,0,-0.239138,-0.0274022
29,49.2098,0,0.757107,0,-0.238951,-0.0266802
30,49.2098,0,0.757107,0,-0.239383,-0.0270039
31,50.0948,0,0.767107,0,-0.241508,-0.0266198
32,50.0948,0,0.767107,0,-0.241724,-0.0270469
33,50.0948,0,0.767107,0,-0.242652,-0.0265028
34,50.0948,0,0.767107,0,-0.24184,-0.0265804
35,50.0948,0,0.767107,0,-0.241992,-0.0270258
36,50.9964,0,0.777107,0,-0.245795,-0.0266372
37,50.9964,0,0.777107,0,-0.245398,-0.0263899
38,50.9964,0,0.777107,0,-0.245048,-0.0262459
39,50.9964,0,0.777107,0,-0.245723,-0.0261567
