id,X,Y,azimuth,elevation,x_light,y_light,new_indexes
29,0.18802,-0.90447,281.7433,67.489,-0.1024,0.2304,0
30,0.0937,-0.90699,275.8982,65.7577,-0.0768,0.2304,1
31,0.01018,-0.90822,270.6422,65.2683,-0.0512,0.2304,2
32,-0.07515,-0.90719,265.2645,65.5465,-0.0256,0.2304,3
33,-0.16141,-0.90433,259.8801,66.7254,0.0,0.2304,4
34,-0.25998,-0.89802,253.8541,69.2113,0.0256,0.2304,5
48,0.37969,-0.81995,294.8472,64.6346,-0.1536,0.2048,6
413,-0.36169,0.84696,113.1247,67.0663,0.0512,-0.2304,7
28,0.28202,-0.89793,287.4364,70.2501,-0.128,0.2304,8
165,-0.76402,-0.34286,204.1685,56.8691,0.1536,0.0768,9
164,-0.68612,-0.3581,207.561,50.7098,0.128,0.0768,10
52,0.00603,-0.84322,270.4097,57.484,-0.0512,0.2048,11
51,0.097,-0.8393,276.5926,57.6598,-0.0768,0.2048,12
50,0.18954,-0.83503,282.7886,58.9005,-0.1024,0.2048,13
49,0.28859,-0.82826,289.2098,61.2941,-0.128,0.2048,14
88,0.57694,-0.65018,311.5844,60.3715,-0.2048,0.1536,15
89,0.48779,-0.65935,306.4942,55.102,-0.1792,0.1536,16
410,-0.05422,0.83567,93.7123,56.8694,-0.0256,-0.2304,17
412,-0.24958,0.83384,106.6632,60.504,0.0256,-0.2304,18
182,-0.42475,-0.2945,214.7355,31.1218,0.0512,0.0512,19
181,-0.31862,-0.31079,224.2873,26.4294,0.0256,0.0512,20
166,-0.84265,-0.32318,200.9832,64.4885,0.1792,0.0768,21
163,-0.60332,-0.37327,211.7448,45.1905,0.1024,0.0768,22
53,-0.07596,-0.84273,264.8495,57.795,-0.0256,0.2048,23
54,-0.17239,-0.83502,258.3352,58.4988,0.0,0.2048,24
55,-0.26563,-0.82648,252.1826,60.2406,0.0256,0.2048,25
79,-0.55754,-0.71787,232.165,65.3605,0.1024,0.1792,26
87,0.66649,-0.6387,316.2198,67.3862,-0.2304,0.1536,27
90,0.39619,-0.67158,300.5379,51.2363,-0.1536,0.1536,28
91,0.30159,-0.68281,293.8305,48.2837,-0.128,0.1536,29
409,0.03434,0.83297,87.6393,56.4784,-0.0512,-0.2304,30
411,-0.15049,0.834,100.2286,57.9374,0.0,-0.2304,31
184,-0.61369,-0.27323,203.9998,42.2035,0.1024,0.0512,32
183,-0.52373,-0.28371,208.4449,36.5581,0.0768,0.0512,33
180,-0.20739,-0.31888,236.9612,22.3577,0.0,0.0512,34
169,0.88053,-0.26145,343.4626,66.7115,-0.2816,0.0512,35
162,-0.51424,-0.38421,216.7649,39.9351,0.0768,0.0768,36
151,0.61252,-0.38765,327.6712,46.459,-0.2048,0.0768,37
150,0.69833,-0.37846,331.5445,52.5883,-0.2304,0.0768,38
56,-0.36252,-0.81381,245.9889,62.9869,0.0512,0.2048,39
78,-0.46289,-0.73034,237.6334,59.8457,0.0768,0.1792,40
74,-0.08429,-0.76871,263.7424,50.6527,-0.0256,0.1792,41
73,0.00516,-0.77133,270.3833,50.475,-0.0512,0.1792,42
135,0.10706,-0.52523,281.521,32.4138,-0.0768,0.1024,43
92,0.20109,-0.69301,286.1811,46.1864,-0.1024,0.1536,44
408,0.1281,0.83227,81.2499,57.3594,-0.0768,-0.2304,45
186,-0.77181,-0.2518,198.0687,54.2767,0.1536,0.0512,46
185,-0.69407,-0.26402,200.8265,47.9525,0.128,0.0512,47
177,0.11792,-0.32385,290.0075,20.1605,-0.0768,0.0512,48
179,-0.09534,-0.32096,253.4561,19.5616,-0.0256,0.0512,49
170,0.79391,-0.27235,341.0655,57.069,-0.256,0.0512,50
161,-0.41775,-0.39708,223.5469,35.1947,0.0512,0.0768,51
152,0.52228,-0.401,322.4834,41.183,-0.1792,0.0768,52
149,0.78498,-0.36703,334.9408,60.0599,-0.256,0.0768,53
57,-0.45737,-0.806,240.427,67.9303,0.0768,0.2048,54
77,-0.37338,-0.74082,243.2515,56.0571,0.0512,0.1792,55
75,-0.17713,-0.76454,256.9558,51.7013,0.0,0.1792,56
72,0.0976,-0.76983,277.2255,50.8951,-0.0768,0.1792,57
136,0.00641,-0.52704,270.6968,31.8083,-0.0512,0.1024,58
134,0.21271,-0.52412,292.0894,34.4467,-0.1024,0.1024,59
93,0.09883,-0.6957,278.0852,44.6428,-0.0768,0.1536,60
406,0.32561,0.82432,68.4458,62.4118,-0.128,-0.2304,61
407,0.22377,0.82423,74.8109,58.6567,-0.1024,-0.2304,62
187,-0.84921,-0.23366,195.3842,61.7353,0.1792,0.0512,63
192,0.71887,-0.18809,345.3374,47.9935,-0.2304,0.0256,64
176,0.23062,-0.32394,305.4479,23.4311,-0.1024,0.0512,65
178,0.01133,-0.32467,271.9986,18.9576,-0.0512,0.0512,66
171,0.70946,-0.28326,338.2351,49.8108,-0.2304,0.0512,67
160,-0.31237,-0.40921,232.6437,30.9847,0.0256,0.0768,68
153,0.42604,-0.40942,316.1396,36.2192,-0.1536,0.0768,69
145,-0.83435,-0.41275,206.3214,68.5695,0.1792,0.1024,70
67,0.56625,-0.72982,307.807,67.4776,-0.2048,0.1792,71
76,-0.27472,-0.7524,249.9416,53.2243,0.0256,0.1792,72
71,0.1961,-0.76596,284.3603,52.2476,-0.1024,0.1792,73
137,-0.09308,-0.52445,259.9359,32.1844,-0.0256,0.1024,74
132,0.41848,-0.50511,309.6415,40.9912,-0.1536,0.1024,75
133,0.32188,-0.51399,302.0564,37.3339,-0.128,0.1024,76
94,0.00316,-0.69735,270.2596,44.2154,-0.0512,0.1536,77
95,-0.08795,-0.69533,262.7911,44.4969,-0.0256,0.1536,78
393,-0.46026,0.73805,121.9483,60.4357,0.0768,-0.2048,79
392,-0.36146,0.73856,116.0777,55.3124,0.0512,-0.2048,80
190,0.88827,-0.17021,349.1525,64.7467,-0.2816,0.0256,81
191,0.80118,-0.18121,347.2553,55.2269,-0.256,0.0256,82
193,0.63204,-0.19131,343.1596,41.3273,-0.2048,0.0256,83
175,0.33747,-0.31596,316.8854,27.5353,-0.128,0.0512,84
172,0.62187,-0.29121,334.9072,43.3677,-0.2048,0.0512,85
159,-0.20333,-0.42149,244.247,27.9027,0.0,0.0768,86
154,0.33034,-0.42059,308.1468,32.3309,-0.128,0.0768,87
144,-0.75333,-0.43295,209.8866,60.3287,0.1536,0.1024,88
68,0.47366,-0.73487,302.8038,60.9614,-0.1792,0.1792,89
70,0.29385,-0.75601,291.2404,54.2045,-0.128,0.1792,90
138,-0.19739,-0.51884,249.1709,33.719,0.0,0.1024,91
130,0.59907,-0.48115,321.2299,50.2076,-0.2048,0.1024,92
131,0.51042,-0.49199,316.0533,45.148,-0.1792,0.1024,93
110,0.50044,-0.57781,310.8958,49.8535,-0.1792,0.128,94
109,0.58461,-0.56684,315.8842,54.5177,-0.2048,0.128,95
96,-0.18221,-0.68792,255.1647,45.3687,0.0,0.1536,96
372,-0.47188,0.64556,126.1654,53.0954,0.0768,-0.1792,97
373,-0.56018,0.64263,131.0786,58.4858,0.1024,-0.1792,98
391,-0.25703,0.74091,109.1322,51.6492,0.0256,-0.2048,99
390,-0.15685,0.74111,101.9499,49.2466,0.0,-0.2048,100
389,-0.0595,0.74041,94.5945,47.9702,-0.0256,-0.2048,101
388,0.03515,0.74143,87.2857,47.9245,-0.0512,-0.2048,102
194,0.54042,-0.19808,339.8706,35.1401,-0.1792,0.0256,103
174,0.43696,-0.30855,324.773,32.3383,-0.1536,0.0512,104
158,-0.09373,-0.42878,257.6693,26.034,-0.0256,0.0768,105
155,0.22188,-0.42598,297.5136,28.7051,-0.1024,0.0768,106
143,-0.67527,-0.45126,213.7535,54.3088,0.128,0.1024,107
69,0.38706,-0.74504,297.4526,57.0961,-0.1536,0.1792,108
139,-0.30052,-0.50902,239.4428,36.236,0.0256,0.1024,109
129,0.68484,-0.46769,325.6701,56.027,-0.2304,0.1024,110
113,0.20907,-0.61068,288.899,40.2014,-0.1024,0.128,111
112,0.30932,-0.60347,297.1383,42.6974,-0.128,0.128,112
111,0.40849,-0.59068,304.6661,45.9035,-0.1536,0.128,113
108,0.67051,-0.56134,320.0645,60.9815,-0.2304,0.128,114
97,-0.28142,-0.67799,247.4576,47.2292,0.0256,0.1536,115
371,-0.37075,0.65026,119.6899,48.463,0.0512,-0.1792,116
374,-0.64693,0.6602,134.4184,67.5673,0.128,-0.1792,117
383,0.51815,0.71497,54.0686,62.0045,-0.1792,-0.2048,118
384,0.41736,0.71727,59.806,56.0842,-0.1536,-0.2048,119
385,0.32135,0.72396,66.0646,52.3799,-0.128,-0.2048,120
386,0.22509,0.73212,72.91,49.9908,-0.1024,-0.2048,121
387,0.12589,0.73691,80.3055,48.3817,-0.0768,-0.2048,122
195,0.44475,-0.20321,335.4439,29.2733,-0.1536,0.0256,123
173,0.53345,-0.29957,330.6827,37.7205,-0.1792,0.0512,124
156,0.11338,-0.42993,284.7735,26.3996,-0.0768,0.0768,125
142,-0.59253,-0.46959,218.3974,49.1169,0.1024,0.1024,126
140,-0.40539,-0.49296,230.5675,39.6607,0.0512,0.1024,127
128,0.77443,-0.45856,329.3691,64.1595,-0.256,0.1024,128
114,0.10494,-0.61713,279.6506,38.7548,-0.0768,0.128,129
115,0.00642,-0.61592,270.5972,38.0212,-0.0512,0.128,130
116,-0.09002,-0.61124,261.622,38.1581,-0.0256,0.128,131
117,-0.19066,-0.6081,252.592,39.5899,0.0,0.128,132
101,-0.64959,-0.62217,223.7649,64.0897,0.128,0.1536,133
98,-0.37958,-0.6643,240.2564,49.9157,0.0512,0.1536,134
