id,X,Y,x_light,y_light,elevation,azimuth
0,NaN,NaN,-0.2816,0.2048,NaN,NaN
1,NaN,NaN,-0.256,0.2048,NaN,NaN
2,NaN,NaN,-0.2304,0.2048,NaN,NaN
3,NaN,NaN,-0.2048,0.2048,NaN,NaN
4,NaN,NaN,-0.1792,0.2048,NaN,NaN
5,NaN,NaN,-0.1536,0.2048,NaN,NaN
6,NaN,NaN,-0.128,0.2048,NaN,NaN
7,NaN,NaN,-0.1024,0.2048,NaN,NaN
8,NaN,NaN,-0.0768,0.2048,NaN,NaN
9,NaN,NaN,-0.0512,0.2048,NaN,NaN
10,NaN,NaN,-0.0256,0.2048,NaN,NaN
11,NaN,NaN,0.0,0.2048,NaN,NaN
12,NaN,NaN,0.0256,0.2048,NaN,NaN
13,NaN,NaN,0.0512,0.2048,NaN,NaN
14,NaN,NaN,0.0768,0.2048,NaN,NaN
15,NaN,NaN,0.1024,0.2048,NaN,NaN
16,NaN,NaN,0.128,0.2048,NaN,NaN
17,NaN,NaN,0.1536,0.2048,NaN,NaN
18,NaN,NaN,0.1792,0.2048,NaN,NaN
19,NaN,NaN,0.2048,0.2048,NaN,NaN
20,NaN,NaN,0.2304,0.2048,NaN,NaN
21,NaN,NaN,-0.2816,0.1792,NaN,NaN
22,NaN,NaN,-0.256,0.1792,NaN,NaN
23,NaN,NaN,-0.2304,0.1792,NaN,NaN
24,NaN,NaN,-0.2048,0.1792,NaN,NaN
25,NaN,NaN,-0.1792,0.1792,NaN,NaN
26,0.42441,-0.82312,-0.1536,0.1792,67.8339,297.2761
27,0.33754,-0.84088,-0.128,0.1792,64.9715,291.8712
28,0.24151,-0.85018,-0.1024,0.1792,62.1063,285.8582
29,0.15052,-0.85968,-0.0768,0.1792,60.7807,279.9312
30,0.06378,-0.86319,-0.0512,0.1792,59.9448,274.2258
31,-0.02354,-0.8674,-0.0256,0.1792,60.1947,268.4455
32,-0.1061,-0.8643,0.0,0.1792,60.5503,263.0015
33,-0.19058,-0.8604,0.0256,0.1792,61.794,257.5105
34,-0.28277,-0.85144,0.0512,0.1792,63.7882,251.6283
35,-0.36529,-0.84038,0.0768,0.1792,66.3965,246.5067
36,NaN,NaN,0.1024,0.1792,NaN,NaN
37,NaN,NaN,0.128,0.1792,NaN,NaN
38,NaN,NaN,0.1536,0.1792,NaN,NaN
39,NaN,NaN,0.1792,0.1792,NaN,NaN
40,NaN,NaN,0.2048,0.1792,NaN,NaN
41,NaN,NaN,0.2304,0.1792,NaN,NaN
42,NaN,NaN,-0.2816,0.1536,NaN,NaN
43,NaN,NaN,-0.256,0.1536,NaN,NaN
44,NaN,NaN,-0.2304,0.1536,NaN,NaN
45,NaN,NaN,-0.2048,0.1536,NaN,NaN
46,0.52716,-0.74363,-0.1792,0.1536,65.7174,305.3329
47,0.43632,-0.75878,-0.1536,0.1536,61.0786,299.9001
48,0.34445,-0.77371,-0.128,0.1536,57.8782,293.9983
49,0.24971,-0.78335,-0.1024,0.1536,55.3044,287.6808
50,0.15334,-0.79234,-0.0768,0.1536,53.8079,280.9529
51,0.0656,-0.79544,-0.0512,0.1536,52.9529,274.7145
52,-0.02453,-0.79955,-0.0256,0.1536,53.1231,268.2427
53,-0.11396,-0.79489,0.0,0.1536,53.4192,261.8413
54,-0.20526,-0.78867,0.0256,0.1536,54.5817,255.4118
55,-0.29468,-0.78151,0.0512,0.1536,56.6389,249.3403
56,-0.38572,-0.76982,0.0768,0.1536,59.4344,243.3867
57,-0.47069,-0.75757,0.1024,0.1536,63.1113,238.1467
58,-0.54768,-0.74865,0.128,0.1536,68.0628,233.8124
59,NaN,NaN,0.1536,0.1536,NaN,NaN
60,NaN,NaN,0.1792,0.1536,NaN,NaN
61,NaN,NaN,0.2048,0.1536,NaN,NaN
62,NaN,NaN,0.2304,0.1536,NaN,NaN
63,NaN,NaN,-0.2816,0.128,NaN,NaN
64,NaN,NaN,-0.256,0.128,NaN,NaN
65,NaN,NaN,-0.2304,0.128,NaN,NaN
66,0.6245,-0.65363,-0.2048,0.128,64.6902,313.6944
67,0.53889,-0.67052,-0.1792,0.128,59.3427,308.7885
68,0.44843,-0.68611,-0.1536,0.128,55.0504,303.168
69,0.3526,-0.69765,-0.128,0.128,51.4157,296.8125
70,0.25717,-0.70852,-0.1024,0.128,48.9161,289.9493
71,0.15851,-0.71389,-0.0768,0.128,46.9935,282.5187
72,0.06637,-0.71991,-0.0512,0.128,46.2996,275.2673
73,-0.02633,-0.7179,-0.0256,0.128,45.9211,267.8995
74,-0.11858,-0.71877,0.0,0.128,46.7596,260.6319
75,-0.21399,-0.71362,0.0256,0.128,48.1603,253.3078
76,-0.30946,-0.70519,0.0512,0.128,50.3631,246.3066
77,-0.40141,-0.69189,0.0768,0.128,53.1207,239.8792
78,-0.49079,-0.67953,0.1024,0.128,56.9541,234.1613
79,-0.57128,-0.66888,0.128,0.128,61.5986,229.4999
80,-0.64458,-0.65451,0.1536,0.128,66.7255,225.4379
81,NaN,NaN,0.1792,0.128,NaN,NaN
82,NaN,NaN,0.2048,0.128,NaN,NaN
83,NaN,NaN,0.2304,0.128,NaN,NaN
84,NaN,NaN,-0.2816,0.1024,NaN,NaN
85,NaN,NaN,-0.256,0.1024,NaN,NaN
86,0.71851,-0.55737,-0.2304,0.1024,65.4157,322.1982
87,0.64034,-0.57679,-0.2048,0.1024,59.5208,317.9889
88,0.55398,-0.58777,-0.1792,0.1024,53.8711,313.3048
89,0.45973,-0.60618,-0.1536,0.1024,49.5341,307.1769
90,0.36294,-0.61755,-0.128,0.1024,45.7503,300.4432
91,0.26365,-0.62623,-0.1024,0.1024,42.802,292.8316
92,0.16523,-0.63162,-0.0768,0.1024,40.7587,284.6599
93,0.06861,-0.63702,-0.0512,0.1024,39.8443,276.1473
94,-0.02434,-0.63538,-0.0256,0.1024,39.4828,267.8062
95,-0.12104,-0.63581,0.0,0.1024,40.333,259.2215
96,-0.22175,-0.62939,0.0256,0.1024,41.8599,250.5914
97,-0.32188,-0.61924,0.0512,0.1024,44.2588,242.5347
98,-0.41853,-0.60976,0.0768,0.1024,47.6954,235.5349
99,-0.50749,-0.59673,0.1024,0.1024,51.5681,229.6204
100,-0.58732,-0.58833,0.128,0.1024,56.2336,225.0492
101,-0.6666,-0.57295,0.1536,0.1024,61.521,220.6794
102,-0.73299,-0.55637,0.1792,0.1024,66.9596,217.2
103,NaN,NaN,0.2048,0.1024,NaN,NaN
104,NaN,NaN,0.2304,0.1024,NaN,NaN
105,NaN,NaN,-0.2816,0.0768,NaN,NaN
106,0.80984,-0.45137,-0.256,0.0768,67.9922,330.8666
107,0.73346,-0.47278,-0.2304,0.0768,60.7658,327.1946
108,0.65301,-0.49009,-0.2048,0.0768,54.7322,323.1114
109,0.56633,-0.50588,-0.1792,0.0768,49.4088,318.2269
110,0.47219,-0.51646,-0.1536,0.0768,44.4095,312.4361
111,0.37339,-0.52785,-0.128,0.0768,40.2831,305.2748
112,0.27381,-0.53468,-0.1024,0.0768,36.9209,297.117
113,0.17205,-0.54061,-0.0768,0.0768,34.5641,287.6538
114,0.07103,-0.54517,-0.0512,0.0768,33.3518,277.4232
115,-0.02893,-0.54466,-0.0256,0.0768,33.0539,266.9596
116,-0.12795,-0.54188,0.0,0.0768,33.8335,256.7145
117,-0.22927,-0.53851,0.0256,0.0768,35.8231,246.9382
118,-0.32846,-0.53099,0.0512,0.0768,38.6359,238.2599
119,-0.42852,-0.5201,0.0768,0.0768,42.3683,230.5143
