id,X,Y,azimuth,elevation,x_light,y_light,new_indexes
27,0.33754,-0.84088,291.8712,64.9715,-0.128,0.1792,0
28,0.24151,-0.85018,285.8582,62.1063,-0.1024,0.1792,1
29,0.15052,-0.85968,279.9312,60.7807,-0.0768,0.1792,2
30,0.06378,-0.86319,274.2258,59.9448,-0.0512,0.1792,3
31,-0.02354,-0.8674,268.4455,60.1947,-0.0256,0.1792,4
32,-0.1061,-0.8643,263.0015,60.5503,0.0,0.1792,5
33,-0.19058,-0.8604,257.5105,61.794,0.0256,0.1792,6
34,-0.28277,-0.85144,251.6283,63.7882,0.0512,0.1792,7
35,-0.36529,-0.84038,246.5067,66.3965,0.0768,0.1792,8
46,0.52716,-0.74363,305.3329,65.7174,-0.1792,0.1536,9
412,-0.27415,0.83637,108.1484,61.6611,0.0512,-0.2816,10
26,0.42441,-0.82312,297.2761,67.8339,-0.1536,0.1792,11
432,-0.16792,0.9065,100.4945,67.2086,0.0256,-0.3072,12
152,0.49327,-0.324,326.7014,36.1685,-0.1536,0.0256,13
151,0.58694,-0.3142,331.839,41.7397,-0.1792,0.0256,14
150,0.67504,-0.30334,335.8025,47.7368,-0.2048,0.0256,15
149,0.7566,-0.29359,338.7918,54.2492,-0.2304,0.0256,16
133,0.28015,-0.4402,302.4733,31.4521,-0.1024,0.0512,17
132,0.38272,-0.43039,311.6448,35.1657,-0.128,0.0512,18
118,-0.32846,-0.53099,238.2599,38.6359,0.0512,0.0768,19
117,-0.22927,-0.53851,246.9382,35.8231,0.0256,0.0768,20
47,0.43632,-0.75878,299.9001,61.0786,-0.1536,0.1536,21
48,0.34445,-0.77371,293.9983,57.8782,-0.128,0.1536,22
411,-0.17987,0.84652,101.9959,59.9305,0.0256,-0.2816,23
413,-0.3593,0.82896,113.4336,64.619,0.0768,-0.2816,24
414,-0.44493,0.81435,118.6505,68.1206,0.1024,-0.2816,25
431,-0.08438,0.91068,95.2937,66.1463,0.0,-0.3072,26
153,0.39336,-0.33044,319.9682,30.9129,-0.128,0.0256,27
161,-0.44738,-0.32322,215.8471,33.4991,0.0768,0.0256,28
162,-0.53985,-0.3117,210.0014,38.5629,0.1024,0.0256,29
148,0.83363,-0.28023,341.4196,61.5785,-0.256,0.0256,30
134,0.17728,-0.44546,291.7011,28.6488,-0.0768,0.0512,31
131,0.48172,-0.42344,318.684,39.8941,-0.1536,0.0512,32
119,-0.42852,-0.5201,230.5143,42.3683,0.0768,0.0768,33
116,-0.12795,-0.54188,256.7145,33.8335,0.0,0.0768,34
113,0.17205,-0.54061,287.6538,34.5641,-0.0768,0.0768,35
112,0.27381,-0.53468,297.117,36.9209,-0.1024,0.0768,36
49,0.24971,-0.78335,287.6808,55.3044,-0.1024,0.1536,37
405,0.36466,0.81829,65.9805,63.6198,-0.128,-0.2816,38
410,-0.08811,0.84616,95.9447,58.2917,0.0,-0.2816,39
175,0.29599,-0.23062,322.0761,22.0384,-0.1024,0.0,40
428,0.16845,0.90037,79.4031,66.347,-0.0768,-0.3072,41
430,-0.00047,0.9114,90.0295,65.6996,-0.0256,-0.3072,42
154,0.29127,-0.33741,310.8025,26.4707,-0.1024,0.0256,43
160,-0.34677,-0.32976,223.5597,28.5894,0.0512,0.0256,44
163,-0.63025,-0.30508,205.8299,44.4436,0.128,0.0256,45
145,-0.83476,-0.37388,204.1271,66.1581,0.2048,0.0512,46
135,0.0759,-0.44718,279.633,26.9733,-0.0512,0.0512,47
130,0.57612,-0.41117,324.485,45.0559,-0.1792,0.0512,48
120,-0.51954,-0.50868,224.3949,46.644,0.1024,0.0768,49
115,-0.02893,-0.54466,266.9596,33.0539,-0.0256,0.0768,50
114,0.07103,-0.54517,277.4232,33.3518,-0.0512,0.0768,51
110,0.47219,-0.51646,312.4361,44.4095,-0.1536,0.0768,52
111,0.37339,-0.52785,305.2748,40.2831,-0.128,0.0768,53
50,0.15334,-0.79234,280.9529,53.8079,-0.0768,0.1536,54
404,0.45055,0.80478,60.758,67.267,-0.1536,-0.2816,55
406,0.26908,0.83049,72.0476,60.8084,-0.1024,-0.2816,56
409,0.00058,0.84702,89.9608,57.889,-0.0256,-0.2816,57
176,0.18683,-0.23621,308.3422,17.5276,-0.0768,0.0,58
174,0.40227,-0.22575,330.6993,27.4701,-0.128,0.0,59
429,0.08414,0.90798,84.7057,65.7651,-0.0512,-0.3072,60
155,0.18434,-0.34285,298.2656,22.9088,-0.0768,0.0256,61
159,-0.23901,-0.34103,234.9754,24.6104,0.0256,0.0256,62
164,-0.71098,-0.29322,202.4121,50.2706,0.1536,0.0256,63
144,-0.77337,-0.37805,206.051,59.4096,0.1792,0.0512,64
136,-0.02605,-0.44973,266.6849,26.7747,-0.0256,0.0512,65
129,0.66258,-0.39897,328.9459,50.6626,-0.2048,0.0512,66
121,-0.60485,-0.4959,219.3474,51.458,0.128,0.0768,67
122,-0.6837,-0.48367,215.2767,56.8756,0.1536,0.0768,68
108,0.65301,-0.49009,323.1114,54.7322,-0.2048,0.0768,69
109,0.56633,-0.50588,318.2269,49.4088,-0.1792,0.0768,70
52,-0.02453,-0.79955,268.2427,53.1231,-0.0256,0.1536,71
51,0.0656,-0.79544,274.7145,52.9529,-0.0512,0.1536,72
394,-0.54989,0.73113,126.9472,66.1828,0.128,-0.256,73
407,0.17663,0.83914,78.1134,59.0401,-0.0768,-0.2816,74
