id,X,Y,azimuth,elevation,x_light,y_light,new_indexes
21,0.25309,-0.79035,287.7564,56.0868,-0.0512,0.1792,0
22,0.13673,-0.79817,279.7207,54.0761,-0.0256,0.1792,1
23,0.02285,-0.79836,271.6394,53.0049,0.0,0.1792,2
24,-0.08905,-0.79409,263.6015,53.0411,0.0256,0.1792,3
25,-0.20113,-0.78892,255.6975,54.5039,0.0512,0.1792,4
26,-0.31336,-0.7824,248.1733,57.439,0.0768,0.1792,5
35,0.47854,-0.67636,305.2803,55.9481,-0.1024,0.1536,6
233,-0.20668,0.72609,105.8889,49.0195,0.0512,-0.1536,7
20,0.36454,-0.78467,294.9185,59.9072,-0.0768,0.1792,8
98,0.62129,-0.22244,340.3011,41.293,-0.128,0.0512,9
97,0.7291,-0.21099,343.8604,49.3774,-0.1536,0.0512,10
85,0.27348,-0.3704,306.4398,27.4143,-0.0512,0.0768,11
84,0.39576,-0.35856,317.8233,32.2784,-0.0768,0.0768,12
37,0.25385,-0.68963,290.2085,47.296,-0.0512,0.1536,13
36,0.3709,-0.68514,298.4289,51.1775,-0.0768,0.1536,14
44,-0.5548,-0.66647,230.2245,60.1315,0.128,0.1536,15
50,0.60174,-0.56178,316.967,55.4082,-0.128,0.128,16
232,-0.08444,0.73117,96.5877,47.3943,0.0256,-0.1536,17
234,-0.32226,0.7278,113.8831,52.7456,0.0768,-0.1536,18
235,-0.44392,0.72934,121.3272,58.6292,0.1024,-0.1536,19
99,0.51747,-0.23179,335.871,34.5421,-0.1024,0.0512,20
94,-0.80746,-0.30015,200.3912,59.4788,0.1792,0.0768,21
86,0.14924,-0.3748,291.7117,23.7921,-0.0256,0.0768,22
83,0.50906,-0.3503,325.4669,38.166,-0.1024,0.0768,23
38,0.14055,-0.69689,281.4026,45.31,-0.0256,0.1536,24
42,-0.32733,-0.68122,244.3355,49.0937,0.0768,0.1536,25
43,-0.44159,-0.67321,236.7373,53.6216,0.1024,0.1536,26
72,-0.10959,-0.48681,257.3131,29.9334,0.0256,0.1024,27
51,0.48893,-0.57051,310.5967,48.7079,-0.1024,0.128,28
231,0.03049,0.73488,87.6242,47.3505,0.0,-0.1536,29
228,0.37781,0.72322,62.4174,54.6822,-0.0768,-0.1536,30
103,0.01769,-0.25222,274.012,14.6456,0.0,0.0512,31
102,0.15028,-0.25079,300.9312,16.9998,-0.0256,0.0512,32
100,0.40434,-0.23944,329.367,28.0289,-0.0768,0.0512,33
93,-0.68804,-0.32209,205.0856,49.4376,0.1536,0.0768,34
