Idx,X,Y,X_interp,Y_interp,azimuth,elevation,azimuth_interp,elevation_interp,x_light,y_light
1,-4.26295e-17,-0,-0.0049,-0.0025,0,-2.44249e-15,207.031,0.315279,0.00451023,0.00322527
2,0,0,0.0076,0.001,60,0,7.49586,0.43924,0.00332485,0.00316332
3,-0,0,0.0034,-0.0031,120,0,317.643,0.26393,0.00330093,0.00330093
4,-0,-0,0.0071,0.0005,180,0,4.02826,0.407824,0.00275934,0.00319646
5,-0,-0,0.0035,0.0059,240,0,59.3227,0.393167,0.00316563,0.00201449
6,0,-0,0.003,0.0053,300,0,60.4885,0.348866,0.00376666,0.00190358
7,0.0174524,1.08216e-18,0.0165,0.0009,3.55271e-15,1,3.12213,0.946881,0.00111991,0.00295495
8,0.0087262,0.0151142,0.0125,0.0138,60,1,47.8298,1.0668,0.00233805,0.000660754
9,-0.0087262,0.0151142,-0.0051,0.014,120,1,110.016,0.853634,0.00463597,0.000421452
10,-0.0174524,-1.52574e-09,-0.0095,0.0012,180,1,172.801,0.548583,0.00643437,0.00297475
11,-0.0087262,-0.0151142,-0.0056,-0.0121,240,1,245.165,0.76387,0.00539115,0.0052084
12,0.0087262,-0.0151142,0.0078,-0.0161,300,1,295.849,1.02507,0.00249544,0.00518483
13,0.0348995,2.164e-18,0.0332,-0.007,3.55271e-15,2,348.094,1.94441,-0.00210308,0.00311661
14,0.0174497,0.0302239,0.0163,0.0262,60,2,58.1127,1.76824,0.000544676,-0.00215395
15,-0.0174497,0.0302239,-0.0124,0.0306,120,2,112.059,1.89207,0.00616647,-0.00243219
16,-0.0348995,-3.05101e-09,-0.0324,0.0026,180,2,175.412,1.86267,0.00994464,0.0025474
17,-0.0174497,-0.0302239,-0.0162,-0.0226,240,2,234.367,1.59336,0.00685949,0.00781662
18,0.0174497,-0.0302239,0.0165,-0.0318,300,2,297.423,2.05309,0.000696047,0.00812055
19,0.052336,3.24517e-18,0.0496,-0.0063,3.55271e-15,3,352.761,2.86587,-0.00521389,0.00359452
20,0.026168,0.0453243,0.0224,0.0422,60,3,62.0404,2.73845,-0.00120122,-0.0050255
21,-0.026168,0.0453243,-0.0255,0.0426,120,3,120.904,2.84586,0.00772324,-0.00541853
22,-0.052336,-4.57535e-09,-0.045,-0.0014,180,3,181.782,2.58043,0.0131709,0.00290497
23,-0.026168,-0.0453243,-0.0292,-0.0436,240,3,236.189,3.00798,0.00851352,0.0110516
24,0.026168,-0.0453243,0.0237,-0.0404,300,3,300.397,2.6846,-0.000715114,0.0108253
25,0.0697565,4.32536e-18,0.0661,0.0023,3.55271e-15,4,1.99285,3.7923,-0.0085302,0.0032695
26,0.0348782,0.0604109,0.0336,0.063,60,4,61.9275,4.09438,-0.00298919,-0.0082787
27,-0.0348782,0.0604109,-0.0271,0.0596,120,4,114.451,3.75395,0.0098226,-0.00861024
28,-0.0697565,-6.0983e-09,-0.0622,-0.0012,180,4,181.105,3.56678,0.0168799,0.00300225
29,-0.0348782,-0.0604109,-0.0306,-0.0616,240,4,243.584,3.94402,0.0101865,0.0143809
30,0.0348782,-0.0604109,0.0319,-0.058,300,4,298.811,3.7954,-0.00253228,0.0141583
31,0.0871557,5.40423e-18,0.0841,0.002,3.55271e-15,5,1.36231,4.82564,-0.0120422,0.00337281
32,0.0435779,0.0754791,0.0375,0.0765,60,5,63.8861,4.88736,-0.00453348,-0.0113025
33,-0.0435779,0.0754791,-0.0405,0.0727,120,5,119.121,4.77368,0.0115872,-0.011387
34,-0.0871557,-7.6194e-09,-0.084,0.0027,180,5,178.159,4.82101,0.0199467,0.00266292
35,-0.0435779,-0.0754791,-0.0434,-0.0739,240,5,239.575,4.91637,0.0115492,0.0170297
36,0.0435779,-0.0754791,0.0449,-0.0722,300,5,301.877,4.87733,-0.00474113,0.0167014
37,0.104528,6.48145e-18,0.1031,0.0022,3.55271e-15,6,1.22242,5.91907,-0.01546,0.00315352
38,0.0522642,0.0905243,0.0459,0.0869,60,6,62.1573,5.63997,-0.00632454,-0.0143528
39,-0.0522642,0.0905243,-0.0512,0.0831,120,6,121.638,5.60137,0.0133809,-0.0139492
40,-0.104528,-9.13817e-09,-0.1048,0.003,180,6,178.36,6.01813,0.0235173,0.0028439
41,-0.0522642,-0.0905243,-0.0506,-0.0906,240,6,240.817,5.95644,0.0131843,0.0201933
42,0.0522642,-0.0905243,0.0541,-0.0923,300,6,300.376,6.14162,-0.00616353,0.0198689
43,0.121869,7.5567e-18,0.1221,0.0018,3.55271e-15,7,0.844594,7.01409,-0.0187565,0.0035683
44,0.0609347,0.105542,0.0544,0.1056,60,7,62.7447,6.8222,-0.00797465,-0.0169838
45,-0.0609347,0.105542,-0.0574,0.1058,120,7,118.481,6.91333,0.0150835,-0.0174906
46,-0.121869,-1.06542e-08,-0.119,-0.0015,180,7,180.722,6.83495,0.0270574,0.00279995
47,-0.0609347,-0.105542,-0.06,-0.1081,240,7,240.968,7.10194,0.0149757,0.0225027
48,0.0609347,-0.105542,0.0587,-0.1056,300,7,299.068,6.93933,-0.00768069,0.0228338
