id,X,Y,x_light,y_light,elevation,azimuth
0,NaN,NaN,-0.1792,0.2048,NaN,NaN
1,NaN,NaN,-0.1536,0.2048,NaN,NaN
2,NaN,NaN,-0.128,0.2048,NaN,NaN
3,NaN,NaN,-0.1024,0.2048,NaN,NaN
4,NaN,NaN,-0.0768,0.2048,NaN,NaN
5,NaN,NaN,-0.0512,0.2048,NaN,NaN
6,NaN,NaN,-0.0256,0.2048,NaN,NaN
7,NaN,NaN,0.0,0.2048,NaN,NaN
8,NaN,NaN,0.0256,0.2048,NaN,NaN
9,NaN,NaN,0.0512,0.2048,NaN,NaN
10,NaN,NaN,0.0768,0.2048,NaN,NaN
11,NaN,NaN,0.1024,0.2048,NaN,NaN
12,NaN,NaN,0.128,0.2048,NaN,NaN
13,NaN,NaN,0.1536,0.2048,NaN,NaN
14,NaN,NaN,0.1792,0.2048,NaN,NaN
15,NaN,NaN,0.2048,0.2048,NaN,NaN
16,NaN,NaN,-0.1792,0.1792,NaN,NaN
17,NaN,NaN,-0.1536,0.1792,NaN,NaN
18,NaN,NaN,-0.128,0.1792,NaN,NaN
19,NaN,NaN,-0.1024,0.1792,NaN,NaN
20,0.36454,-0.78467,-0.0768,0.1792,59.9072,294.9185
21,0.25309,-0.79035,-0.0512,0.1792,56.0868,287.7564
22,0.13673,-0.79817,-0.0256,0.1792,54.0761,279.7207
23,0.02285,-0.79836,0.0,0.1792,53.0049,271.6394
24,-0.08905,-0.79409,0.0256,0.1792,53.0411,263.6015
25,-0.20113,-0.78892,0.0512,0.1792,54.5039,255.6975
26,-0.31336,-0.7824,0.0768,0.1792,57.439,248.1733
27,NaN,NaN,0.1024,0.1792,NaN,NaN
28,NaN,NaN,0.128,0.1792,NaN,NaN
29,NaN,NaN,0.1536,0.1792,NaN,NaN
30,NaN,NaN,0.1792,0.1792,NaN,NaN
31,NaN,NaN,0.2048,0.1792,NaN,NaN
32,NaN,NaN,-0.1792,0.1536,NaN,NaN
33,NaN,NaN,-0.1536,0.1536,NaN,NaN
34,NaN,NaN,-0.128,0.1536,NaN,NaN
35,0.47854,-0.67636,-0.1024,0.1536,55.9481,305.2803
36,0.3709,-0.68514,-0.0768,0.1536,51.1775,298.4289
37,0.25385,-0.68963,-0.0512,0.1536,47.296,290.2085
38,0.14055,-0.69689,-0.0256,0.1536,45.31,281.4026
39,0.02054,-0.69841,0.0,0.1536,44.3238,271.6846
40,-0.09797,-0.69484,0.0256,0.1536,44.5646,261.9744
41,-0.21394,-0.6918,0.0512,0.1536,46.3961,252.8157
42,-0.32733,-0.68122,0.0768,0.1536,49.0937,244.3355
43,-0.44159,-0.67321,0.1024,0.1536,53.6216,236.7373
44,-0.5548,-0.66647,0.128,0.1536,60.1315,230.2245
45,NaN,NaN,0.1536,0.1536,NaN,NaN
46,NaN,NaN,0.1792,0.1536,NaN,NaN
47,NaN,NaN,0.2048,0.1536,NaN,NaN
48,NaN,NaN,-0.1792,0.128,NaN,NaN
49,NaN,NaN,-0.1536,0.128,NaN,NaN
50,0.60174,-0.56178,-0.128,0.128,55.4082,316.967
51,0.48893,-0.57051,-0.1024,0.128,48.7079,310.5967
52,0.37493,-0.57969,-0.0768,0.128,43.6595,302.8938
53,0.26249,-0.58751,-0.0512,0.128,40.052,294.0743
54,0.13951,-0.59425,-0.0256,0.128,37.6189,283.2119
55,0.01809,-0.59592,0.0,0.128,36.5978,271.7388
56,-0.10166,-0.59123,0.0256,0.128,36.8632,260.2436
57,-0.22047,-0.58563,0.0512,0.128,38.7376,249.3703
58,-0.33615,-0.57766,0.0768,0.128,41.9396,239.8042
59,-0.4497,-0.56664,0.1024,0.128,46.3361,231.5636
60,-0.55965,-0.55303,0.128,0.128,51.8872,224.6591
61,-0.67741,-0.54441,0.1536,0.128,60.3497,218.7876
62,NaN,NaN,0.1792,0.128,NaN,NaN
63,NaN,NaN,0.2048,0.128,NaN,NaN
64,NaN,NaN,-0.1792,0.1024,NaN,NaN
65,0.71899,-0.44076,-0.1536,0.1024,57.4941,328.4906
66,0.60533,-0.44809,-0.128,0.1024,48.8625,323.4896
67,0.49657,-0.46131,-0.1024,0.1024,42.6706,317.1081
68,0.38879,-0.47039,-0.0768,0.1024,37.6087,309.5746
69,0.26647,-0.48134,-0.0512,0.1024,33.3791,298.9689
70,0.14388,-0.48774,-0.0256,0.1024,30.5652,286.4357
71,0.01753,-0.49098,0.0,0.1024,29.4256,272.0448
72,-0.10959,-0.48681,0.0256,0.1024,29.9334,257.3131
73,-0.22867,-0.48137,0.0512,0.1024,32.2032,244.5904
74,-0.35022,-0.46781,0.0768,0.1024,35.7592,233.1801
75,-0.46325,-0.45778,0.1024,0.1024,40.638,224.6597
76,-0.57308,-0.4444,0.128,0.1024,46.4853,217.7921
77,-0.68259,-0.4311,0.1536,0.1024,53.8356,212.2751
78,NaN,NaN,0.1792,0.1024,NaN,NaN
79,NaN,NaN,0.2048,0.1024,NaN,NaN
80,NaN,NaN,-0.1792,0.0768,NaN,NaN
81,0.72146,-0.32679,-0.1536,0.0768,52.3747,335.6315
82,0.61318,-0.33785,-0.128,0.0768,44.4346,331.1461
83,0.50906,-0.3503,-0.1024,0.0768,38.166,325.4669
84,0.39576,-0.35856,-0.0768,0.0768,32.2784,317.8233
85,0.27348,-0.3704,-0.0512,0.0768,27.4143,306.4398
86,0.14924,-0.3748,-0.0256,0.0768,23.7921,291.7117
87,0.0195,-0.37719,0.0,0.0768,22.1909,272.9594
88,-0.11308,-0.37295,0.0256,0.0768,22.9368,253.1325
89,-0.23912,-0.36797,0.0512,0.0768,26.0299,236.9828
90,-0.35852,-0.3554,0.0768,0.0768,30.3196,224.7496
91,-0.47333,-0.34724,0.1024,0.0768,35.9473,216.2642
92,-0.58301,-0.33047,0.128,0.0768,42.0792,209.546
93,-0.68804,-0.32209,0.1536,0.0768,49.4376,205.0856
94,-0.80746,-0.30015,0.1792,0.0768,59.4788,200.3912
95,NaN,NaN,0.2048,0.0768,NaN,NaN
96,NaN,NaN,-0.1792,0.0512,NaN,NaN
97,0.7291,-0.21099,-0.1536,0.0512,49.3774,343.8604
98,0.62129,-0.22244,-0.128,0.0512,41.293,340.3011
99,0.51747,-0.23179,-0.1024,0.0512,34.5421,335.871
100,0.40434,-0.23944,-0.0768,0.0512,28.0289,329.367
101,0.2807,-0.24764,-0.0512,0.0512,21.9825,318.5805
102,0.15028,-0.25079,-0.0256,0.0512,16.9998,300.9312
103,0.01769,-0.25222,0.0,0.0512,14.6456,274.012
104,-0.11444,-0.24906,0.0256,0.0512,15.908,245.3218
105,-0.24492,-0.24322,0.0512,0.0512,20.1921,224.8005
106,-0.36465,-0.23371,0.0768,0.0512,25.6655,212.6565
107,-0.48066,-0.22654,0.1024,0.0512,32.0981,205.235
108,-0.58836,-0.21457,0.128,0.0512,38.7751,200.0365
109,-0.6945,-0.20541,0.1536,0.0512,46.4057,196.4765
110,-0.81017,-0.19216,0.1792,0.0512,56.3716,193.3431
111,NaN,NaN,0.2048,0.0512,NaN,NaN
112,NaN,NaN,-0.1792,0.0256,NaN,NaN
113,0.7334,-0.09542,-0.1536,0.0256,47.6958,352.5871
114,0.63012,-0.10158,-0.128,0.0256,39.6618,350.8423
115,0.52339,-0.10825,-0.1024,0.0256,32.3078,348.3146
116,0.40826,-0.1118,-0.0768,0.0256,25.0426,344.6853
117,0.28733,-0.11634,-0.0512,0.0256,18.0586,337.957
118,0.15353,-0.11955,-0.0256,0.0256,11.2205,322.093
119,0.01805,-0.11953,0.0,0.0256,6.9432,278.5872
120,-0.11573,-0.11658,0.0256,0.0256,9.4548,225.2096
121,-0.24663,-0.11251,0.0512,0.0256,15.7286,204.522
122,-0.36887,-0.10501,0.0768,0.0256,22.5523,195.8906
123,-0.48406,-0.09898,0.1024,0.0256,29.6088,191.5565
124,-0.59529,-0.09633,0.128,0.0256,37.0875,189.1919
125,-0.69991,-0.08668,0.1536,0.0256,44.8503,187.0598
126,-0.81422,-0.07798,0.1792,0.0256,54.8797,185.4707
127,NaN,NaN,0.2048,0.0256,NaN,NaN
128,NaN,NaN,-0.1792,0.0,NaN,NaN
129,0.73612,0.02035,-0.1536,0.0,47.4258,1.5835
130,0.63442,0.01485,-0.128,0.0,39.3899,1.3409
131,0.52881,0.01416,-0.1024,0.0,31.9379,1.5338
132,0.4132,0.01662,-0.0768,0.0,24.427,2.3033
133,0.28846,0.01616,-0.0512,0.0,16.7928,3.2065
134,0.15723,0.01811,-0.0256,0.0,9.1065,6.5705
135,0.01875,0.02016,0.0,0.0,1.5776,47.0753
136,-0.11248,0.01835,0.0256,0.0,6.544,170.7344
137,-0.24432,0.01953,0.0512,0.0,14.1877,175.4297
138,-0.36914,0.02189,0.0768,0.0,21.7026,176.6063
139,-0.48407,0.02471,0.1024,0.0,28.9928,177.0778
140,-0.59428,0.02614,0.128,0.0,36.5023,177.4814
141,-0.7017,0.02834,0.1536,0.0,44.6096,177.6872
142,-0.82126,0.03268,0.1792,0.0,55.2764,177.7213
143,NaN,NaN,0.2048,0.0,NaN,NaN
144,NaN,NaN,-0.1792,-0.0256,NaN,NaN
145,0.73497,0.13476,-0.1536,-0.0256,48.3503,10.39
146,0.63209,0.13803,-0.128,-0.0256,40.3147,12.3184
147,0.52226,0.14184,-0.1024,-0.0256,32.7639,15.1944
148,0.41162,0.14534,-0.0768,-0.0256,25.8824,19.4478
149,0.28597,0.14992,-0.0512,-0.0256,18.8375,27.6658
150,0.1557,0.14837,-0.0256,-0.0256,12.4198,43.6191
151,0.02137,0.14869,0.0,-0.0256,8.6395,81.8214
152,-0.11413,0.14858,0.0256,-0.0256,10.7984,127.5292
153,-0.24416,0.14996,0.0512,-0.0256,16.6506,148.4423
154,-0.36639,0.14944,0.0768,-0.0256,23.3093,157.8109
155,-0.48305,0.14594,0.1024,-0.0256,30.3058,163.1893
156,-0.59207,0.14501,0.128,-0.0256,37.5584,166.238
157,-0.6994,0.14577,0.1536,-0.0256,45.5964,168.2269
158,-0.81956,0.15037,0.1792,-0.0256,56.4331,169.6032
159,NaN,NaN,0.2048,-0.0256,NaN,NaN
160,NaN,NaN,-0.1792,-0.0512,NaN,NaN
161,0.72994,0.2522,-0.1536,-0.0512,50.5591,19.0604
162,0.62379,0.25741,-0.128,-0.0512,42.4397,22.4237
163,0.5174,0.2628,-0.1024,-0.0512,35.4728,26.9271
164,0.40584,0.26791,-0.0768,-0.0512,29.0973,33.4303
165,0.28416,0.27691,-0.0512,-0.0512,23.3764,44.2597
166,0.15339,0.28078,-0.0256,-0.0512,18.6597,61.3522
167,0.02334,0.27987,0.0,-0.0512,16.3104,85.2328
168,-0.10966,0.2793,0.0256,-0.0512,17.461,111.4362
169,-0.23948,0.27827,0.0512,-0.0512,21.5388,130.7154
170,-0.3576,0.27699,0.0768,-0.0512,26.8932,142.2393
171,-0.47633,0.27013,0.1024,-0.0512,33.2022,150.4421
172,-0.58669,0.26607,0.128,-0.0512,40.106,155.6052
173,-0.69797,0.26412,0.1536,-0.0512,48.2684,159.2728
174,-0.83513,0.2626,0.1792,-0.0512,61.0975,162.5447
175,NaN,NaN,0.2048,-0.0512,NaN,NaN
176,NaN,NaN,-0.1792,-0.0768,NaN,NaN
177,0.72474,0.36767,-0.1536,-0.0768,54.3574,26.8993
178,0.61577,0.37227,-0.128,-0.0768,46.0177,31.1555
179,0.50936,0.38263,-0.1024,-0.0768,39.5734,36.9138
180,0.39822,0.38948,-0.0768,-0.0768,33.8501,44.3643
181,0.2793,0.39443,-0.0512,-0.0768,28.9015,54.6973
182,0.15057,0.40002,-0.0256,-0.0768,25.3039,69.3734
183,0.02549,0.40366,0.0,-0.0768,23.8575,86.3867
184,-0.10425,0.40524,0.0256,-0.0768,24.7358,104.4268
185,-0.23215,0.39898,0.0512,-0.0768,27.4907,120.1934
186,-0.35004,0.39594,0.0768,-0.0768,31.9032,131.479
187,-0.46713,0.39029,0.1024,-0.0768,37.4968,140.121
188,-0.58062,0.38045,0.128,-0.0768,43.9605,146.7653
189,-0.6946,0.3755,0.1536,-0.0768,52.1482,151.6044
190,NaN,NaN,0.1792,-0.0768,NaN,NaN
191,NaN,NaN,0.2048,-0.0768,NaN,NaN
192,NaN,NaN,-0.1792,-0.1024,NaN,NaN
193,0.7248,0.48578,-0.1536,-0.1024,60.7546,33.831
194,0.60983,0.48511,-0.128,-0.1024,51.1916,38.5017
195,0.503,0.49492,-0.1024,-0.1024,44.8828,44.5361
196,0.39049,0.50449,-0.0768,-0.1024,39.6398,52.2591
197,0.27472,0.51165,-0.0512,-0.1024,35.5025,61.7673
198,0.14835,0.51754,-0.0256,-0.1024,32.5736,74.0053
199,0.02353,0.5192,0.0,-0.1024,31.3143,87.4051
200,-0.09731,0.51697,0.0256,-0.1024,31.7389,100.6601
201,-0.22067,0.51469,0.0512,-0.1024,34.0559,113.2069
202,-0.34336,0.50812,0.0768,-0.1024,37.8253,124.0487
203,-0.45862,0.50325,0.1024,-0.1024,42.9122,132.3434
204,-0.57146,0.49417,0.128,-0.1024,49.0685,139.1484
205,-0.69677,0.49642,0.1536,-0.1024,58.8177,144.5317
206,NaN,NaN,0.1792,-0.1024,NaN,NaN
207,NaN,NaN,0.2048,-0.1024,NaN,NaN
208,NaN,NaN,-0.1792,-0.128,NaN,NaN
209,NaN,NaN,-0.1536,-0.128,NaN,NaN
210,0.60916,0.60244,-0.128,-0.128,58.9529,44.6822
211,0.49562,0.60353,-0.1024,-0.128,51.3479,50.6071
212,0.38462,0.61593,-0.0768,-0.128,46.5651,58.0171
213,0.26938,0.6184,-0.0512,-0.128,42.4173,66.4617
214,0.14876,0.62394,-0.0256,-0.128,39.8984,76.5899
215,0.02998,0.62616,0.0,-0.128,38.8201,87.2588
216,-0.09543,0.62398,0.0256,-0.128,39.1413,98.6953
217,-0.21419,0.62288,0.0512,-0.128,41.1991,108.9766
218,-0.33125,0.61553,0.0768,-0.128,44.347,118.2871
219,-0.44794,0.61116,0.1024,-0.128,49.2652,126.239
220,-0.56878,0.6086,0.128,-0.128,56.4091,133.0629
221,NaN,NaN,0.1536,-0.128,NaN,NaN
222,NaN,NaN,0.1792,-0.128,NaN,NaN
223,NaN,NaN,0.2048,-0.128,NaN,NaN
224,NaN,NaN,-0.1792,-0.1536,NaN,NaN
225,NaN,NaN,-0.1536,-0.1536,NaN,NaN
226,NaN,NaN,-0.128,-0.1536,NaN,NaN
227,0.49554,0.72824,-0.1024,-0.1536,61.7448,55.7662
228,0.37781,0.72322,-0.0768,-0.1536,54.6822,62.4174
229,0.26608,0.72496,-0.0512,-0.1536,50.5561,69.8455
230,0.14749,0.73055,-0.0256,-0.1536,48.184,78.586
231,0.03049,0.73488,0.0,-0.1536,47.3505,87.6242
232,-0.08444,0.73117,0.0256,-0.1536,47.3943,96.5877
233,-0.20668,0.72609,0.0512,-0.1536,49.0195,105.8889
234,-0.32226,0.7278,0.0768,-0.1536,52.7456,113.8831
235,-0.44392,0.72934,0.1024,-0.1536,58.6292,121.3272
236,NaN,NaN,0.128,-0.1536,NaN,NaN
237,NaN,NaN,0.1536,-0.1536,NaN,NaN
238,NaN,NaN,0.1792,-0.1536,NaN,NaN
239,NaN,NaN,0.2048,-0.1536,NaN,NaN
240,NaN,NaN,-0.1792,-0.1792,NaN,NaN
241,NaN,NaN,-0.1536,-0.1792,NaN,NaN
242,NaN,NaN,-0.128,-0.1792,NaN,NaN
243,NaN,NaN,-0.1024,-0.1792,NaN,NaN
244,NaN,NaN,-0.0768,-0.1792,NaN,NaN
245,NaN,NaN,-0.0512,-0.1792,NaN,NaN
246,NaN,NaN,-0.0256,-0.1792,NaN,NaN
247,NaN,NaN,0.0,-0.1792,NaN,NaN
248,NaN,NaN,0.0256,-0.1792,NaN,NaN
249,NaN,NaN,0.0512,-0.1792,NaN,NaN
250,NaN,NaN,0.0768,-0.1792,NaN,NaN
251,NaN,NaN,0.1024,-0.1792,NaN,NaN
252,NaN,NaN,0.128,-0.1792,NaN,NaN
253,NaN,NaN,0.1536,-0.1792,NaN,NaN
254,NaN,NaN,0.1792,-0.1792,NaN,NaN
255,NaN,NaN,0.2048,-0.1792,NaN,NaN
