Idx,X,Y,x_light,y_light,elevation,azimuth,adc0,adc1,adc2,adc3,adcSum,adc0_percent,adc1_percent,adc2_percent,adc3_percent,min_adc
1,0.130741,-0.83757,-0.102022,0.255451,57.9637,278.872,190.797,156.453,91.9219,114.016,553.188,34.49,28.282,16.617,20.611,16.617
2,0.0387395,-0.8375,-0.0785065,0.25583,56.9711,272.648,192.953,165.469,97.5312,114.859,570.812,33.803,28.988,17.086,20.122,17.086
3,-0.0608105,-0.83587,-0.0509962,0.254872,56.9378,265.839,189.0,170.688,101.328,112.25,573.266,32.969,29.775,17.676,19.581,17.676
4,-0.157051,-0.83363,-0.0257979,0.255593,58.0267,259.331,179.672,169.766,101.359,105.812,556.609,32.28,30.5,18.21,19.01,18.21
5,-0.25491,-0.83495,0.000645895,0.256113,60.8086,253.023,160.438,158.625,95.5469,93.4062,508.016,31.581,31.224,18.808,18.386,18.386
6,0.43084,-0.74089,-0.179022,0.230446,58.9874,300.179,192.094,137.281,82.4844,123.516,535.375,35.88,25.642,15.407,23.071,15.407
7,-0.3778,0.756,0.0253073,-0.127458,57.6874,116.553,113.219,123.547,154.672,151.266,542.704,20.862,22.765,28.5,27.873,20.862
8,0.227661,-0.83994,-0.127955,0.255576,60.4873,285.165,180.734,141.625,82.2656,108.859,513.484,35.198,27.581,16.021,21.2,16.021
9,0.83946,-0.203661,-0.281654,0.102173,59.7473,346.363,183.766,104.375,83.4219,151.297,522.86,35.146,19.962,15.955,28.936,15.955
10,-0.78394,-0.30891,0.127198,0.128133,57.4165,201.507,141.312,179.016,141.047,106.516,567.891,24.884,31.523,24.837,18.756,18.756
11,0.373949,-0.35557,-0.153469,0.127468,31.0651,316.443,308.672,226.594,175.297,238.938,949.501,32.509,23.865,18.462,25.165,18.462
12,0.47483,-0.347539,-0.179738,0.12757,36.0455,323.799,295.062,205.438,158.656,228.594,887.75,33.237,23.141,17.872,25.75,17.872
13,0.237439,-0.74749,-0.128307,0.230726,51.6555,287.622,229.188,178.25,110.328,144.344,662.11,34.615,26.922,16.663,21.801,16.663
14,0.335751,-0.74503,-0.1526,0.229925,54.8044,294.259,214.766,160.016,98.2031,136.453,609.438,35.24,26.256,16.114,22.39,16.114
15,0.44441,-0.64465,-0.179135,0.204387,51.5352,304.582,232.828,164.375,106.344,156.047,659.594,35.299,24.921,16.123,23.658,16.123
16,0.34691,-0.65346,-0.153289,0.205494,47.7174,297.963,249.016,184.312,120.047,165.547,718.922,34.637,25.637,16.698,23.027,16.698
17,0.23833,0.76019,-0.128889,-0.126683,52.8137,72.5931,154.672,117.469,153.984,197.109,623.234,24.818,18.848,24.707,31.627,18.848
18,-0.27526,0.757521,-0.00102902,-0.127804,53.7051,109.97,131.297,133.578,169.797,172.703,607.375,21.617,21.993,27.956,28.434,21.617
19,-0.1758,0.763,-0.0259365,-0.127252,51.5352,102.975,143.078,137.422,175.641,186.656,642.797,22.259,21.379,27.324,29.038,21.379
20,0.75141,-0.213141,-0.254875,0.102424,51.3572,344.164,225.375,134.609,108.703,184.391,653.078,34.51,20.611,16.645,28.234,16.645
21,-0.70211,-0.318861,0.102655,0.128782,50.4548,204.425,171.422,208.625,162.625,130.703,673.375,25.457,30.982,24.151,19.41,19.41
22,0.26697,-0.36264,-0.127908,0.128003,26.7637,306.36,313.641,242.5,187.469,242.453,986.063,31.807,24.593,19.012,24.588,19.012
23,0.56879,-0.34223,-0.204193,0.128393,41.5911,328.966,271.984,180.422,138.641,210.812,801.859,33.919,22.5,17.29,26.29,17.29
24,0.13657,-0.75195,-0.102807,0.230459,49.8404,280.294,233.281,190.391,118.531,146.438,688.641,33.876,27.647,17.212,21.265,17.212
25,-0.46261,-0.73882,0.0515691,0.229645,60.6569,237.947,151.25,162.828,105.766,91.0,510.844,29.608,31.874,20.704,17.814,17.814
26,0.538249,-0.63679,-0.204392,0.204284,56.4906,310.206,207.438,140.469,89.375,140.5,577.782,35.902,24.312,15.469,24.317,15.469
27,0.15101,-0.47684,-0.102375,0.154389,30.0119,287.572,303.859,247.172,181.297,222.344,954.672,31.829,25.891,18.991,23.29,18.991
28,0.24519,-0.66023,-0.127676,0.204552,44.7721,290.374,258.922,200.859,132.109,171.516,763.406,33.917,26.311,17.305,22.467,17.305
29,0.338801,0.76048,-0.152179,-0.128274,56.3601,65.9866,143.859,102.859,137.094,182.234,566.046,25.415,18.171,24.22,32.194,18.171
30,0.13803,0.766019,-0.102736,-0.128054,51.1103,79.7854,156.891,126.703,165.125,201.766,650.485,24.119,19.478,25.385,31.018,19.478
31,0.0337799,0.76873,-0.0772963,-0.127461,50.3065,87.4839,155.953,133.484,172.594,201.406,663.437,23.507,20.12,26.015,30.358,20.12
32,-0.0719703,0.76678,-0.0497102,-0.127974,50.3674,95.3621,151.5,137.672,177.453,196.594,663.219,22.843,20.758,26.756,29.642,20.758
33,0.66618,-0.221551,-0.230585,0.102645,44.5921,341.604,256.875,160.984,130.594,209.469,757.922,33.892,21.24,17.231,27.637,17.231
34,-0.61433,-0.32626,0.0771702,0.127804,44.0743,207.972,200.312,232.984,180.859,154.234,768.389,26.069,30.321,23.537,20.072,20.072
35,0.15244,-0.36758,-0.102688,0.127823,23.4492,292.524,316.578,257.625,199.219,244.828,1018.25,31.09,25.301,19.565,24.044,19.565
36,0.65729,-0.330941,-0.229432,0.128188,47.3835,333.275,248.109,156.531,119.844,192.844,717.328,34.588,21.821,16.707,26.884,16.707
37,0.0356202,-0.75488,-0.0774384,0.23102,49.0883,272.702,231.875,198.828,123.953,145.094,699.75,33.137,28.414,17.714,20.735,17.714
38,-0.368251,-0.74057,0.0254425,0.230773,55.7994,243.561,179.234,185.844,118.328,109.844,593.25,30.212,31.326,19.946,18.516,18.516
39,0.0358901,-0.476401,-0.0765288,0.153702,28.5386,274.308,300.797,258.406,189.203,221.0,969.406,31.029,26.656,19.517,22.797,19.517
40,-0.0776001,-0.47599,-0.0513119,0.154486,28.834,260.741,292.953,264.609,193.562,214.781,965.905,30.329,27.395,20.039,22.236,20.039
41,0.25896,-0.47024,-0.127949,0.154501,32.4681,298.841,296.844,229.672,168.031,217.562,912.109,32.545,25.18,18.422,23.853,18.422
42,0.14172,-0.66702,-0.102576,0.205514,42.993,281.995,258.656,210.703,138.703,170.625,778.687,33.217,27.059,17.812,21.912,17.812
43,-0.591981,0.65387,0.076313,-0.103196,61.8889,132.156,93.3438,115.156,135.078,121.406,464.984,20.075,24.766,29.05,26.11,20.075
44,-0.42569,-0.2394,0.026438,0.102829,29.2348,209.353,257.859,272.688,221.109,210.5,962.156,26.8,28.341,22.981,21.878,21.878
