Idx,X,Y,x_light,y_light,elevation,azimuth,adc0,adc1,adc2,adc3,adcSum,adc0_percent,adc1_percent,adc2_percent,adc3_percent,min_adc
1,-0.0311584,-0.0311584,-0.0622485,0.0561344,2.52554,225.0,312.562,275.828,246.609,279.234,1114.233,28.052,24.755,22.133,25.061,22.133
2,0.0311593,0.0311593,-0.0762544,0.0437045,2.52561,45.0,312.0,267.672,245.375,285.75,1110.797,28.088,24.097,22.09,25.725,22.09
3,-0.0311593,0.0311594,-0.0626038,0.0423912,2.52561,135.0,312.703,275.531,253.453,286.938,1128.625,27.707,24.413,22.457,25.424,22.457
4,0.0311594,-0.0311593,-0.0763446,0.0558728,2.52561,315.0,319.047,273.281,244.875,284.766,1121.969,28.436,24.357,21.825,25.381,21.825
5,0.0934769,0.031159,-0.0894302,0.0433618,5.65472,18.4349,315.25,262.984,241.656,288.516,1108.406,28.442,23.726,21.802,26.03,21.802
6,0.031159,0.0934769,-0.0768535,0.0298482,5.65472,71.565,306.703,262.594,247.719,288.578,1105.594,27.741,23.751,22.406,26.102,22.406
7,-0.0311589,0.0934769,-0.0626248,0.029478,5.65472,108.435,301.828,265.953,251.031,284.234,1103.046,27.363,24.111,22.758,25.768,22.758
8,-0.0934769,0.031159,-0.0492802,0.0425311,5.65472,161.565,300.172,271.844,249.797,275.547,1097.36,27.354,24.773,22.763,25.11,22.763
9,-0.0934769,-0.0311589,-0.0494375,0.0557401,5.65472,198.435,303.484,274.938,245.859,271.484,1095.765,27.696,25.091,22.437,24.776,22.437
10,-0.0311589,-0.0934769,-0.0618551,0.0696083,5.65472,251.565,311.391,274.922,239.328,270.672,1096.313,28.403,25.077,21.83,24.689,21.83
11,0.031159,-0.0934769,-0.075536,0.0692877,5.65472,288.435,315.016,270.578,235.703,274.0,1095.297,28.761,24.704,21.52,25.016,21.52
12,0.0934769,-0.0311589,-0.088986,0.0567066,5.65472,341.565,320.156,267.562,239.125,285.516,1112.359,28.782,24.054,21.497,25.668,21.497
13,0.0934768,0.0934768,-0.089556,0.0302489,7.59652,45.0,309.609,258.219,243.578,290.906,1102.312,28.087,23.425,22.097,26.391,22.097
14,-0.0934768,0.0934769,-0.0496861,0.0294026,7.59652,135.0,297.234,268.953,253.734,280.109,1100.03,27.021,24.45,23.066,25.464,23.066
15,-0.0934768,-0.0934768,-0.0490684,0.0692656,7.59652,225.0,310.422,281.859,244.875,270.672,1107.828,28.021,25.442,22.104,24.433,22.104
16,0.0934768,-0.0934768,-0.0884386,0.0692165,7.59652,315.0,323.906,270.578,236.25,281.266,1112.0,29.128,24.333,21.246,25.294,21.246
17,0.155794,0.0311589,-0.101897,0.0431422,9.14188,11.3099,318.703,259.141,238.359,291.688,1107.891,28.767,23.39,21.515,26.328,21.515
18,0.0311589,0.155794,-0.0760676,0.0174093,9.14188,78.6901,300.062,257.406,248.844,289.547,1095.859,27.381,23.489,22.708,26.422,22.708
19,-0.0311588,0.155794,-0.0628251,0.0169424,9.14188,101.31,296.5,261.062,252.766,286.219,1096.547,27.039,23.808,23.051,26.102,23.051
20,-0.155794,0.0311589,-0.0363058,0.0426976,9.14188,168.69,297.203,276.297,253.75,272.781,1100.031,27.018,25.117,23.068,24.798,23.068
21,-0.155794,-0.0311588,-0.0360387,0.0560555,9.14188,191.31,300.5,279.844,249.891,268.844,1099.079,27.341,25.462,22.736,24.461,22.736
22,-0.0311589,-0.155794,-0.0620373,0.0819788,9.14188,258.69,316.484,279.5,237.156,268.516,1101.656,28.728,25.371,21.527,24.374,21.527
23,0.0311589,-0.155794,-0.0754173,0.0816961,9.14188,281.31,319.953,274.938,233.547,271.484,1099.922,29.089,24.996,21.233,24.682,21.233
24,0.155794,-0.0311588,-0.102058,0.0557302,9.14188,348.69,318.453,258.734,232.188,284.062,1093.437,29.124,23.662,21.235,25.979,21.235
25,0.155794,0.0934767,-0.102229,0.0301534,10.468,30.9638,309.484,251.281,237.422,290.516,1088.703,28.427,23.081,21.808,26.685,21.808
26,0.0934767,0.155794,-0.0890255,0.0170982,10.468,59.0362,301.375,251.656,243.672,290.766,1087.469,27.713,23.141,22.407,26.738,22.407
27,-0.0934766,0.155794,-0.0499334,0.0167972,10.468,120.964,291.281,263.453,254.875,281.531,1091.14,26.695,24.145,23.359,25.802,23.359
28,-0.155794,0.0934768,-0.0363793,0.0299914,10.468,149.036,291.172,270.656,254.969,274.141,1090.938,26.69,24.809,23.372,25.129,23.372
29,-0.155794,-0.0934767,-0.0360111,0.0695377,10.468,210.964,303.016,282.172,245.266,263.828,1094.282,27.691,25.786,22.413,24.11,22.413
30,-0.0934767,-0.155794,-0.0485969,0.0820707,10.468,239.036,310.25,281.719,238.766,263.406,1094.141,28.356,25.748,21.822,24.074,21.822
31,0.0934767,-0.155794,-0.0882328,0.0818304,10.468,300.964,321.891,269.516,228.922,273.016,1093.345,29.441,24.651,20.938,24.971,20.938
32,0.155794,-0.0934767,-0.102597,0.0690354,10.468,329.036,322.844,262.453,228.875,280.828,1095.0,29.483,23.968,20.902,25.646,20.902
33,0.218112,0.0311589,-0.115309,0.0436991,12.7282,8.13011,315.484,249.516,229.406,288.281,1082.687,29.139,23.046,21.189,26.626,21.189
34,0.155794,0.155795,-0.102013,0.0178476,12.7282,45.0,303.375,246.875,238.578,292.375,1081.203,28.059,22.833,22.066,27.042,22.066
35,0.0311589,0.218112,-0.0755102,0.00484503,12.7282,81.8699,291.812,250.984,248.406,289.156,1080.358,27.011,23.232,22.993,26.765,22.993
36,-0.0311588,0.218112,-0.062454,0.00463531,12.7282,98.1301,288.672,254.859,252.375,286.141,1082.047,26.678,23.553,23.324,26.444,23.324
37,-0.155794,0.155795,-0.0367365,0.0170397,12.7282,135.0,285.281,264.953,256.188,275.609,1082.031,26.365,24.487,23.677,25.471,23.677
38,-0.218112,0.031159,-0.0231202,0.0432386,12.7282,171.87,288.859,275.875,252.938,264.984,1082.656,26.681,25.481,23.363,24.475,23.363
39,-0.218112,-0.0311588,-0.022677,0.0564481,12.7282,188.13,293.672,280.656,250.656,262.297,1087.281,27.01,25.813,23.053,24.124,23.053
40,-0.155795,-0.155794,-0.0360214,0.0820542,12.7282,225.0,310.016,288.656,244.688,263.188,1106.548,28.016,26.086,22.113,23.785,22.113
41,-0.0311589,-0.218112,-0.0618748,0.0947011,12.7282,261.87,320.719,283.719,234.266,265.594,1104.298,29.043,25.692,21.214,24.051,21.214
42,0.0311589,-0.218112,-0.0755323,0.094926,12.7282,278.13,322.125,276.859,228.875,266.25,1094.109,29.442,25.305,20.919,24.335,20.919
43,0.155794,-0.155795,-0.102119,0.0819635,12.7282,315.0,329.781,268.266,228.031,279.406,1105.484,29.831,24.267,20.627,25.275,20.627
44,0.218112,-0.0311589,-0.115536,0.0556169,12.7282,351.87,325.516,257.234,231.031,290.312,1104.093,29.483,23.298,20.925,26.294,20.925
45,-0.218112,-0.0934766,-0.0235846,0.0694427,13.7272,203.199,300.031,286.266,249.031,261.125,1096.453,27.364,26.108,22.712,23.815,22.712
46,-0.0934766,-0.218112,-0.0488712,0.0948239,13.7272,246.801,313.484,284.375,235.016,259.281,1092.156,28.703,26.038,21.519,23.74,21.519
47,0.218112,0.0934768,-0.115645,0.0295996,13.7272,23.1986,311.625,246.281,232.922,292.906,1083.734,28.755,22.725,21.493,27.027,21.493
48,0.0934767,0.218112,-0.0885725,0.00474522,13.7272,66.8014,296.297,247.938,245.75,293.344,1083.329,27.351,22.887,22.685,27.078,22.685
49,-0.0934767,0.218112,-0.0488153,0.0048599,13.7272,113.199,285.406,258.969,256.328,282.781,1083.484,26.342,23.902,23.658,26.099,23.658
50,-0.218112,0.0934768,-0.022954,0.0303939,13.7272,156.801,285.609,272.703,256.703,268.672,1083.687,26.355,25.164,23.688,24.792,23.688
51,0.0934768,-0.218112,-0.0890289,0.0946537,13.7272,293.199,323.016,269.953,223.516,266.906,1083.391,29.815,24.917,20.631,24.636,20.631
52,0.218112,-0.0934767,-0.115446,0.0683532,13.7272,336.801,322.016,254.703,222.797,280.125,1079.641,29.826,23.591,20.636,25.946,20.636
53,-0.218112,-0.155794,-0.0223678,0.0828338,15.5476,215.538,295.547,283.109,239.328,250.797,1068.781,27.653,26.489,22.393,23.466,22.393
54,-0.155794,-0.218112,-0.0357898,0.0954055,15.5476,234.462,303.625,282.922,233.375,251.0,1070.922,28.352,26.419,21.792,23.438,21.792
55,0.218112,0.155794,-0.115736,0.0174682,15.5476,35.5377,302.656,239.312,231.703,291.656,1065.327,28.41,22.464,21.749,27.377,21.749
56,0.155794,0.218112,-0.101484,0.00513136,15.5476,54.4623,294.922,240.688,238.109,292.031,1065.75,27.673,22.584,22.342,27.401,22.342
57,-0.155794,0.218112,-0.0360024,0.00502189,15.5476,125.538,277.828,258.453,255.938,274.984,1067.203,26.033,24.218,23.982,25.767,23.982
58,-0.218112,0.155795,-0.0228557,0.0171895,15.5476,144.462,277.0,264.359,255.688,267.375,1064.422,26.024,24.836,24.021,25.119,24.021
59,0.155795,-0.218112,-0.101812,0.0947919,15.5476,305.538,320.969,261.375,216.391,265.109,1063.844,30.171,24.569,20.34,24.92,20.34
60,0.218112,-0.155794,-0.115655,0.0817287,15.5476,324.462,321.062,253.859,216.156,271.891,1062.968,30.204,23.882,20.335,25.578,20.335
61,0.28043,0.0311589,-0.129123,0.0432475,16.3889,6.3402,312.469,240.281,221.141,285.781,1059.672,29.487,22.675,20.869,26.969,20.869
62,0.0311589,0.28043,-0.0758297,-0.00738793,16.3889,83.6598,282.141,242.688,245.953,286.688,1057.47,26.681,22.95,23.259,27.111,22.95
63,-0.0311589,0.28043,-0.0624742,-0.00717449,16.3889,96.3402,278.938,246.484,249.672,283.344,1058.438,26.354,23.288,23.589,26.77,23.288
64,-0.28043,0.0311589,-0.0101037,0.0435574,16.3889,173.66,280.281,274.875,251.734,257.078,1063.968,26.343,25.835,23.66,24.162,23.66
