Idx,X,Y,X_interp,Y_interp,azimuth,elevation,azimuth_interp,elevation_interp,x_light,y_light
1,-4.26295e-17,-0,-0.0085,-0.0067,0,-2.44249e-15,218.246,0.620235,-0.0275676,0.00278805
2,0,0,-0.004,-0.0023,60,0,209.899,0.26467,-0.0279333,0.00301213
3,-0,0,-0.004,-0.0023,120,0,209.899,0.26467,-0.0288254,0.00264115
4,-0,-0,0.0008,0.0021,180,0,69.1455,0.128204,-0.0289388,0.00191025
5,-0,-0,0.0013,0.0021,240,0,58.2405,0.141274,-0.0283308,0.00158424
6,0,-0,-0.0083,0.0019,300,0,167.106,0.487788,-0.0276316,0.00201138
7,0.0174524,1.08216e-18,0.0113,-0.0063,3.55271e-15,1,330.859,0.741249,-0.0313831,0.00227954
8,0.0087262,0.0151142,0.0005,0.0104,60,1,87.2475,0.596433,-0.0298678,-0.000113999
9,-0.0087262,0.0151142,-0.0072,0.0198,120,1,109.983,1.20723,-0.0274384,-0.000358953
10,-0.0174524,-1.52574e-09,-0.0169,0.0017,180,1,174.256,0.973174,-0.0253076,0.00207674
11,-0.0087262,-0.0151142,-0.0118,-0.0112,240,1,223.506,0.932092,-0.0268536,0.00491242
12,0.0087262,-0.0151142,0.0024,-0.0157,300,1,278.691,0.909997,-0.0296811,0.00474382
13,0.0348995,2.164e-18,0.0259,-0.0016,3.55271e-15,2,356.465,1.48701,-0.0346454,0.00258762
14,0.0174497,0.0302239,0.0163,0.0248,60,2,56.6848,1.70065,-0.0321338,-0.00310416
15,-0.0174497,0.0302239,-0.0256,0.0285,120,2,131.932,2.19553,-0.0252469,-0.00365586
16,-0.0348995,-3.05101e-09,-0.0347,0.0016,180,2,177.36,1.99066,-0.0218303,0.00196115
17,-0.0174497,-0.0302239,-0.0206,-0.0293,240,2,234.89,2.05262,-0.0245166,0.00791459
18,0.0174497,-0.0302239,0.0165,-0.0285,300,2,300.069,1.8872,-0.0314428,0.00777124
19,0.052336,3.24517e-18,0.0442,-0.0011,3.55271e-15,3,358.574,2.53405,-0.0383237,0.00274872
20,0.026168,0.0453243,0.0221,0.0481,60,3,65.3231,3.03435,-0.0329218,-0.0066708
21,-0.026168,0.0453243,-0.0216,0.0422,120,3,117.106,2.71721,-0.0237454,-0.00663059
22,-0.052336,-4.57535e-09,-0.0534,0.0014,180,3,178.498,3.06209,-0.0182972,0.00150116
23,-0.026168,-0.0453243,-0.0295,-0.0382,240,3,232.323,2.76647,-0.0230254,0.010435
24,0.026168,-0.0453243,0.0262,-0.0462,300,3,299.558,3.04453,-0.0328712,0.011605
25,0.0697565,4.32536e-18,0.0706,-0.0005,3.55271e-15,4,359.594,4.04854,-0.0422218,0.00287553
26,0.0348782,0.0604109,0.0302,0.0664,60,4,65.543,4.18315,-0.035122,-0.00992673
27,-0.0348782,0.0604109,-0.0341,0.0562,120,4,121.248,3.76915,-0.0212839,-0.00989451
28,-0.0697565,-6.0983e-09,-0.0712,0.0013,180,4,178.954,4.08361,-0.0146152,0.00216834
29,-0.0348782,-0.0604109,-0.0336,-0.0602,240,4,240.832,3.95324,-0.0213092,0.0138652
30,0.0348782,-0.0604109,0.0306,-0.0592,300,4,297.334,3.82106,-0.0350875,0.0142092
31,0.0871557,5.40423e-18,0.0808,-0.0003,3.55271e-15,5,359.787,4.6346,-0.0451266,0.00249112
32,0.0435779,0.0754791,0.0404,0.0761,60,5,62.037,4.94268,-0.0369479,-0.0127935
33,-0.0435779,0.0754791,-0.0505,0.0746,120,5,124.096,5.16854,-0.0194836,-0.0131468
