id,X,Y,azimuth,elevation,x_light,y_light,new_indexes
28,0.08291,-0.85211,275.5574,58.8852,-0.0256,0.2048,0
29,-0.00548,-0.85628,269.6333,58.9034,0.0,0.2048,1
30,-0.09362,-0.85515,263.7523,59.3457,0.0256,0.2048,2
31,-0.18266,-0.85061,257.8804,60.4588,0.0512,0.2048,3
45,0.39775,-0.74631,298.0556,57.7454,-0.1024,0.1792,4
353,-0.37078,0.77117,115.6783,58.8345,0.1024,-0.2048,5
367,0.2173,0.84668,75.6057,60.941,-0.0512,-0.2304,6
27,0.18619,-0.85045,282.349,60.5276,-0.0512,0.2048,7
371,-0.1489,0.85848,99.8398,60.6098,0.0512,-0.2304,8
126,0.32999,-0.37328,311.4776,29.8828,-0.0768,0.0768,9
125,0.43541,-0.36367,320.1302,34.5627,-0.1024,0.0768,10
46,0.29394,-0.75136,291.366,53.7854,-0.0768,0.1792,11
63,0.59466,-0.63813,312.9805,60.7219,-0.1536,0.1536,12
64,0.50433,-0.64503,308.0208,54.9636,-0.128,0.1536,13
350,-0.06652,0.782,94.8621,51.7044,0.0256,-0.2048,14
351,-0.15898,0.77998,101.5205,52.7514,0.0512,-0.2048,15
352,-0.26462,0.77466,108.8599,54.9459,0.0768,-0.2048,16
368,0.11942,0.85224,82.0234,59.3802,-0.0256,-0.2304,17
369,0.02826,0.85646,88.1101,58.9732,0.0,-0.2304,18
370,-0.059,0.85948,93.927,59.4857,0.0256,-0.2304,19
127,0.22134,-0.37817,300.3401,25.988,-0.0512,0.0768,20
124,0.53392,-0.35618,326.2926,39.9278,-0.128,0.0768,21
47,0.19198,-0.75936,284.1881,51.5593,-0.0512,0.1792,22
53,-0.39849,-0.74401,241.8266,57.5655,0.1024,0.1792,23
65,0.41107,-0.65579,302.0808,50.7123,-0.1024,0.1536,24
68,0.09858,-0.6762,278.2944,43.1058,-0.0256,0.1536,25
349,0.0245,0.77982,88.2005,51.2793,0.0,-0.2048,26
148,0.11677,-0.27316,293.1457,17.2818,-0.0256,0.0512,27
147,0.22854,-0.2711,310.1312,20.7676,-0.0512,0.0512,28
146,0.33996,-0.2652,322.0425,25.5416,-0.0768,0.0512,29
145,0.44623,-0.26001,329.7714,31.0948,-0.1024,0.0512,30
141,0.81071,-0.23354,343.93,57.5305,-0.2048,0.0512,31
137,-0.80056,-0.31587,201.5323,59.3865,0.2048,0.0768,32
128,0.11306,-0.37901,286.61,23.298,-0.0256,0.0768,33
123,0.62477,-0.3471,330.945,45.6198,-0.1536,0.0768,34
48,0.09339,-0.76316,276.9768,50.251,-0.0256,0.1792,35
52,-0.29349,-0.74923,248.6086,53.5777,0.0768,0.1792,36
66,0.30619,-0.6644,294.7427,47.0173,-0.0768,0.1536,37
67,0.20331,-0.67037,286.8715,44.4689,-0.0512,0.1536,38
69,-0.00035,-0.67594,269.9703,42.5272,0.0,0.1536,39
70,-0.09415,-0.67181,262.0223,42.7168,0.0256,0.1536,40
348,0.12249,0.77714,81.0429,51.8813,-0.0256,-0.2048,41
347,0.22012,0.76996,74.0456,53.2072,-0.0512,-0.2048,42
149,0.00386,-0.2719,270.8133,15.779,0.0,0.0512,43
150,-0.10441,-0.27073,248.9103,16.8679,0.0256,0.0512,44
144,0.54336,-0.25348,334.9907,36.8396,-0.128,0.0512,45
142,0.72046,-0.24101,341.5038,49.438,-0.1792,0.0512,46
136,-0.71179,-0.32328,204.4265,51.4224,0.1792,0.0768,47
129,0.00453,-0.38157,270.6802,22.4326,0.0,0.0768,48
122,0.7093,-0.3417,334.2779,51.9353,-0.1792,0.0768,49
49,-0.00268,-0.76161,269.7984,49.6068,0.0,0.1792,50
51,-0.19276,-0.75447,255.6681,51.1422,0.0512,0.1792,51
112,-0.30982,-0.46385,236.2598,33.9041,0.0768,0.1024,52
111,-0.20137,-0.47119,246.8598,30.8249,0.0512,0.1024,53
72,-0.29859,-0.65948,245.6406,46.3796,0.0768,0.1536,54
71,-0.19366,-0.66737,253.8181,44.0193,0.0512,0.1536,55
334,-0.47502,0.68171,124.869,56.1899,0.128,-0.1792,56
345,0.41539,0.75022,61.0271,59.0417,-0.1024,-0.2048,57
346,0.31762,0.76068,67.3371,55.5204,-0.0768,-0.2048,58
157,-0.80986,-0.21636,194.9577,56.9571,0.2048,0.0512,59
156,-0.71699,-0.22014,197.0682,48.5925,0.1792,0.0512,60
151,-0.21312,-0.26286,230.9658,19.7795,0.0512,0.0512,61
143,0.63455,-0.24475,338.9081,42.8526,-0.1536,0.0512,62
