id,X,Y,x_light,y_light,elevation,azimuth
0,NaN,NaN,-0.2304,0.2304,NaN,NaN
1,NaN,NaN,-0.2048,0.2304,NaN,NaN
2,NaN,NaN,-0.1792,0.2304,NaN,NaN
3,NaN,NaN,-0.1536,0.2304,NaN,NaN
4,NaN,NaN,-0.128,0.2304,NaN,NaN
5,NaN,NaN,-0.1024,0.2304,NaN,NaN
6,NaN,NaN,-0.0768,0.2304,NaN,NaN
7,NaN,NaN,-0.0512,0.2304,NaN,NaN
8,NaN,NaN,-0.0256,0.2304,NaN,NaN
9,NaN,NaN,0.0,0.2304,NaN,NaN
10,NaN,NaN,0.0256,0.2304,NaN,NaN
11,NaN,NaN,0.0512,0.2304,NaN,NaN
12,NaN,NaN,0.0768,0.2304,NaN,NaN
13,NaN,NaN,0.1024,0.2304,NaN,NaN
14,NaN,NaN,0.128,0.2304,NaN,NaN
15,NaN,NaN,0.1536,0.2304,NaN,NaN
16,NaN,NaN,0.1792,0.2304,NaN,NaN
17,NaN,NaN,0.2048,0.2304,NaN,NaN
18,NaN,NaN,0.2304,0.2304,NaN,NaN
19,NaN,NaN,0.256,0.2304,NaN,NaN
20,NaN,NaN,-0.2304,0.2048,NaN,NaN
21,NaN,NaN,-0.2048,0.2048,NaN,NaN
22,NaN,NaN,-0.1792,0.2048,NaN,NaN
23,NaN,NaN,-0.1536,0.2048,NaN,NaN
24,NaN,NaN,-0.128,0.2048,NaN,NaN
25,NaN,NaN,-0.1024,0.2048,NaN,NaN
26,NaN,NaN,-0.0768,0.2048,NaN,NaN
27,0.18619,-0.85045,-0.0512,0.2048,60.5276,282.349
28,0.08291,-0.85211,-0.0256,0.2048,58.8852,275.5574
29,-0.00548,-0.85628,0.0,0.2048,58.9034,269.6333
30,-0.09362,-0.85515,0.0256,0.2048,59.3457,263.7523
31,-0.18266,-0.85061,0.0512,0.2048,60.4588,257.8804
32,NaN,NaN,0.0768,0.2048,NaN,NaN
33,NaN,NaN,0.1024,0.2048,NaN,NaN
34,NaN,NaN,0.128,0.2048,NaN,NaN
35,NaN,NaN,0.1536,0.2048,NaN,NaN
36,NaN,NaN,0.1792,0.2048,NaN,NaN
37,NaN,NaN,0.2048,0.2048,NaN,NaN
