Idx,X,Y,x_light,y_light,elevation,azimuth,adc0,adc1,adc2,adc3,adcSum,adc0_percent,adc1_percent,adc2_percent,adc3_percent,min_adc
1,-0.0311584,-0.0311584,-0.0457676,-0.00118958,2.52554,225.0,262.609,235.922,240.359,259.359,998.249,26.307,23.634,24.078,25.981,23.634
2,0.0311593,0.0311593,-0.0603416,-0.0146521,2.52561,45.0,261.141,227.469,238.484,264.656,991.75,26.331,22.936,24.047,26.686,22.936
3,-0.0311593,0.0311594,-0.0464996,-0.0149334,2.52561,135.0,257.969,231.094,242.297,261.594,992.954,25.98,23.273,24.402,26.345,23.273
4,0.0311594,-0.0311593,-0.0602924,-0.000616357,2.52561,315.0,263.859,230.172,234.359,260.281,988.671,26.688,23.281,23.704,26.326,23.281
5,0.0934769,0.031159,-0.074553,-0.015198,5.65472,18.4349,261.047,220.891,232.0,264.812,978.75,26.671,22.569,23.704,27.056,22.569
6,0.031159,0.0934769,-0.060353,-0.029913,5.65472,71.565,253.828,220.719,238.938,264.875,978.36,25.944,22.56,24.422,27.073,22.56
7,-0.0311589,0.0934769,-0.0457468,-0.0298294,5.65472,108.435,251.062,225.109,243.25,262.203,981.624,25.576,22.932,24.78,26.711,22.932
8,-0.0934769,0.031159,-0.0319863,-0.0141808,5.65472,161.565,252.016,232.438,243.266,255.125,982.845,25.641,23.65,24.751,25.958,23.65
9,-0.0934769,-0.0311589,-0.0320766,-0.00120804,5.65472,198.435,255.234,235.672,240.062,252.031,982.999,25.965,23.975,24.421,25.639,23.975
10,-0.0311589,-0.0934769,-0.0454234,0.0135266,5.65472,251.565,261.672,235.312,232.766,250.953,980.703,26.682,23.994,23.735,25.589,23.735
11,0.031159,-0.0934769,-0.0601929,0.013252,5.65472,288.435,264.781,231.016,228.844,253.984,978.625,27.056,23.606,23.384,25.953,23.384
12,0.0934769,-0.0311589,-0.0745817,-0.000478088,5.65472,341.565,265.234,224.766,228.906,261.562,980.468,27.052,22.924,23.347,26.677,22.924
13,0.0934768,0.0934768,-0.0744882,-0.0292822,7.59652,45.0,254.547,215.516,232.656,265.766,968.485,26.283,22.253,24.023,27.441,22.253
14,-0.0934768,0.0934769,-0.0326073,-0.0286906,7.59652,135.0,248.141,228.469,246.219,258.547,981.376,25.285,23.28,25.089,26.345,23.28
15,-0.0934768,-0.0934768,-0.0319412,0.0136344,7.59652,225.0,258.141,238.453,235.812,247.422,979.828,26.346,24.336,24.067,25.252,24.067
16,0.0934768,-0.0934768,-0.0742088,0.0131147,7.59652,315.0,264.703,224.75,222.516,254.266,966.235,27.395,23.26,23.029,26.315,23.029
17,0.155794,0.0311589,-0.088067,-0.0154538,9.14188,11.3099,260.922,214.906,225.828,264.938,966.594,26.994,22.233,23.363,27.409,22.233
18,0.0311589,0.155794,-0.0599903,-0.0430848,9.14188,78.6901,248.281,216.047,240.078,266.062,970.468,25.584,22.262,24.738,27.416,22.262
19,-0.0311588,0.155794,-0.0456921,-0.0428293,9.14188,101.31,245.344,219.609,243.953,262.609,971.515,25.254,22.605,25.111,27.031,22.605
20,-0.155794,0.0311589,-0.0183444,-0.0150119,9.14188,168.69,246.547,233.766,244.922,250.031,975.266,25.28,23.969,25.113,25.637,23.969
21,-0.155794,-0.0311588,-0.0184854,-0.00089394,9.14188,191.31,251.0,237.969,242.391,247.453,978.813,25.643,24.312,24.764,25.281,24.312
22,-0.0311589,-0.155794,-0.045773,0.0267263,9.14188,258.69,263.531,236.781,228.203,246.062,974.577,27.041,24.296,23.416,25.248,23.416
23,0.0311589,-0.155794,-0.0600019,0.0274047,9.14188,281.31,267.266,233.578,224.656,249.469,974.969,27.413,23.957,23.042,25.587,23.042
24,0.155794,-0.0311588,-0.0878045,-0.00136667,9.14188,348.69,266.0,219.234,224.0,262.562,971.796,27.372,22.56,23.05,27.018,22.56
25,0.155794,0.0934767,-0.0881241,-0.0292131,10.468,30.9638,257.5,211.891,229.016,268.625,967.032,26.628,21.911,23.682,27.778,21.911
26,0.0934767,0.155794,-0.0740747,-0.0437281,10.468,59.0362,250.672,212.156,235.984,269.172,967.984,25.896,21.917,24.379,27.807,21.917
27,-0.0934766,0.155794,-0.032192,-0.04352,10.468,120.964,243.172,223.859,248.703,260.828,976.562,24.901,22.923,25.467,26.709,22.923
28,-0.155794,0.0934768,-0.0191101,-0.0285614,10.468,149.036,244.297,231.078,248.922,254.406,978.703,24.961,23.611,25.434,25.994,23.611
29,-0.155794,-0.0934767,-0.0184698,0.0135615,10.468,210.964,254.844,242.047,239.141,244.453,980.485,25.992,24.686,24.39,24.932,24.39
30,-0.0934767,-0.155794,-0.0318693,0.0268828,10.468,239.036,260.875,241.078,232.156,243.516,977.625,26.685,24.66,23.747,24.909,23.747
31,0.0934767,-0.155794,-0.0733957,0.0265398,10.468,300.964,268.875,228.516,220.453,251.219,969.063,27.746,23.581,22.749,25.924,22.749
32,0.155794,-0.0934767,-0.0884098,0.0135679,10.468,329.036,268.281,221.375,219.016,257.531,966.203,27.767,22.912,22.668,26.654,22.668
33,0.218112,0.0311589,-0.101991,-0.015484,12.7282,8.13011,260.531,208.391,219.328,264.344,952.594,27.35,21.876,23.024,27.75,21.876
34,0.155794,0.155795,-0.0879419,-0.0437257,12.7282,45.0,250.719,206.156,229.594,269.062,955.531,26.239,21.575,24.028,28.158,21.575
35,0.0311589,0.218112,-0.0595252,-0.0574394,12.7282,81.8699,241.625,210.281,240.625,266.359,958.89,25.198,21.93,25.094,27.778,21.93
36,-0.0311588,0.218112,-0.0461704,-0.0566474,12.7282,98.1301,239.125,213.891,244.156,263.266,960.438,24.897,22.27,25.421,27.411,22.27
37,-0.155794,0.155795,-0.0184315,-0.0432121,12.7282,135.0,237.0,224.516,248.953,254.25,964.719,24.567,23.273,25.806,26.355,23.273
38,-0.218112,0.031159,-0.00486642,-0.0145992,12.7282,171.87,241.969,235.781,246.688,245.219,969.657,24.954,24.316,25.441,25.289,24.316
39,-0.218112,-0.0311588,-0.00490069,-0.000486823,12.7282,188.13,243.672,237.531,241.547,240.125,962.875,25.307,24.669,25.086,24.938,24.669
