Idx,X,Y,X_interp,Y_interp,azimuth,elevation,azimuth_interp,elevation_interp,x_light,y_light
290,0.371572,0.643582,0.3734,0.6408,60,48,59.7703,47.8726,-0.0846227,-0.181228
291,-0.371572,0.643582,-0.3719,0.642,120,48,120.083,47.8969,0.114317,-0.182732
292,-0.743145,-6.49678e-08,-0.7422,0.0022,180,48,179.83,47.9194,0.206029,-0.0184231
293,-0.371572,-0.643582,-0.3762,-0.6451,240,48,239.751,48.3122,0.113742,0.147173
294,0.371572,-0.643582,0.3762,-0.6386,300,48,300.502,47.8314,-0.0861524,0.148234
295,0.75471,-3.74375e-16,0.7562,-0.0021,-2.84217e-14,49,359.841,49.1306,-0.179796,-0.0147498
296,0.377355,0.653598,0.3785,0.6556,60,49,60.0007,49.2019,-0.0869772,-0.184481
297,-0.377355,0.653598,-0.38,0.6562,120,49,120.075,49.3134,0.117016,-0.185838
298,-0.75471,-6.59788e-08,-0.7589,-0.0013,180,49,180.098,49.3674,0.208996,-0.0185732
299,-0.377355,-0.653598,-0.3706,-0.6551,240,49,240.503,48.8215,0.115072,0.149962
300,0.377355,-0.653598,0.3825,-0.6495,300,49,300.494,48.9173,-0.0888055,0.150717
301,0.766044,-3.79998e-16,0.772,0.0107,-2.84217e-14,50,0.794075,50.5405,-0.184057,-0.0157624
302,0.383022,0.663414,0.3791,0.6651,60,50,60.3173,49.9564,-0.088351,-0.187034
303,-0.383022,0.663414,-0.3831,0.6653,120,50,119.935,50.1493,0.118256,-0.189257
304,-0.766044,-6.69697e-08,-0.7664,-0.0042,180,50,180.314,50.0327,0.212507,-0.0185042
305,-0.383022,-0.663414,-0.3792,-0.6663,240,50,240.355,50.0538,0.117835,0.152866
306,0.383022,-0.663414,0.381,-0.6627,300,50,299.896,49.8551,-0.0906013,0.154968
307,0.777146,-3.85505e-16,0.7826,0.0069,-2.84217e-14,51,0.50515,51.502,-0.188658,-0.0147662
308,0.388573,0.673028,0.3835,0.6771,60,51,60.4734,51.0926,-0.0905331,-0.190683
309,-0.388573,0.673028,-0.3877,0.6768,120,51,119.806,51.2588,0.119689,-0.192794
310,-0.777146,-6.79403e-08,-0.7869,0.0032,180,51,179.767,51.8974,0.217084,-0.0182303
311,-0.388573,-0.673028,-0.3886,-0.6768,240,51,240.137,51.2998,0.119793,0.156725
312,0.388573,-0.673028,0.3968,-0.6713,300,51,300.587,51.2426,-0.092405,0.158527
313,0.788011,-3.90895e-16,0.7857,0.0083,-2.84217e-14,52,0.60524,51.7895,-0.191141,-0.0147228
314,0.394005,0.682437,0.3927,0.6872,60,52,60.2542,52.325,-0.0926749,-0.193957
315,-0.394005,0.682437,-0.3971,0.6796,120,52,120.298,51.9164,0.121572,-0.195101
316,-0.788011,-6.88901e-08,-0.795,-0.006,180,52,180.432,52.6574,0.220236,-0.0170154
317,-0.394005,-0.682437,-0.3925,-0.6833,240,52,240.126,51.9997,0.120956,0.159969
318,0.394005,-0.682437,0.3973,-0.6763,300,52,300.433,51.662,-0.0946481,0.162498
319,0.798636,-3.96165e-16,0.8036,0.0045,-2.84217e-14,53,0.320842,53.4765,-0.195591,-0.0153959
320,0.399318,0.691639,0.4007,0.6932,60,53,59.9702,53.195,-0.0943785,-0.196991
321,-0.399318,0.691639,-0.4006,0.6899,120,53,120.142,52.918,0.124016,-0.197416
322,-0.798636,-6.98189e-08,-0.8015,-0.0044,180,53,180.315,53.2747,0.222739,-0.0175457
323,-0.399318,-0.691639,-0.4026,-0.6951,240,53,239.921,53.444,0.123216,0.16326
324,0.399318,-0.691639,0.4051,-0.6878,300,53,300.497,52.9616,-0.0967098,0.164982
325,0.809017,-4.01315e-16,0.8096,0.0007,-2.84217e-14,54,0.0495393,54.0569,-0.198385,-0.0144472
326,0.404508,0.700629,0.4025,0.7065,60,54,60.3294,54.4009,-0.096466,-0.199772
327,-0.404509,0.700629,-0.4054,0.7032,120,54,119.964,54.2613,0.12544,-0.200075
328,-0.809017,-7.07265e-08,-0.8134,-0.0021,180,54,180.148,54.4297,0.225869,-0.0172136
329,-0.404508,-0.700629,-0.4059,-0.7004,240,54,239.907,54.0486,0.124806,0.165447
330,0.404508,-0.700629,0.407,-0.7027,300,54,300.079,54.2974,-0.0980403,0.169747
331,0.819152,-4.06342e-16,0.8265,-0.0035,-2.84217e-14,55,359.757,55.7416,-0.202169,-0.0133378
332,0.409576,0.709406,0.4134,0.7109,60,55,59.8213,55.3219,-0.0977352,-0.202229
333,-0.409576,0.709406,-0.4079,0.7077,120,55,119.958,54.7693,0.126861,-0.202881
334,-0.819152,-7.16125e-08,-0.8261,0.0047,180,55,179.674,55.7015,0.2291,-0.0181337
335,-0.409576,-0.709406,-0.4161,-0.7108,240,55,239.655,55.4504,0.12626,0.169023
336,0.409576,-0.709406,0.4102,-0.712,300,55,299.947,55.2564,-0.100505,0.17229
337,0.829038,-4.11246e-16,0.8308,0.0033,-2.84217e-14,56,0.227582,56.1817,-0.205185,-0.0138065
338,0.414519,0.717968,0.4142,0.7206,60,56,60.1098,56.218,-0.0997116,-0.204909
339,-0.414519,0.717968,-0.4101,0.7207,120,56,119.641,56.0178,0.128663,-0.206074
340,-0.829038,-7.24768e-08,-0.83,0.0008,180,56,179.945,56.0988,0.232059,-0.0170709
341,-0.414519,-0.717968,-0.4109,-0.7234,240,56,240.403,56.2999,0.127901,0.171643
342,0.414519,-0.717968,0.4144,-0.7238,300,56,299.793,56.5155,-0.101207,0.175237
