Idx,elevation,azimuth,X,Y,x_light,y_light
6,45,0,0.707107,0,-0.165852,-0.0154352
7,45,0,0.707107,0,-0.16564,-0.0146731
8,45,0,0.707107,0,-0.165841,-0.0151197
9,45,0,0.707107,0,-0.166144,-0.0155212
10,45,0,0.707107,0,-0.16546,-0.0150654
11,45.8161,0,0.717107,0,-0.168957,-0.0153677
12,45.8161,0,0.717107,0,-0.169168,-0.0150074
13,45.8161,0,0.717107,0,-0.168762,-0.0152064
14,45.8161,0,0.717107,0,-0.16899,-0.0155622
15,45.8161,0,0.717107,0,-0.169354,-0.0153319
16,46.6444,0,0.727107,0,-0.171862,-0.0149494
17,46.6444,0,0.727107,0,-0.17226,-0.0151928
18,46.6444,0,0.727107,0,-0.171917,-0.0158524
19,46.6444,0,0.727107,0,-0.172269,-0.0149234
20,46.6444,0,0.727107,0,-0.172695,-0.0153984
21,47.4855,0,0.737107,0,-0.175438,-0.0151636
22,47.4855,0,0.737107,0,-0.175418,-0.0150905
23,47.4855,0,0.737107,0,-0.175529,-0.0150102
24,47.4855,0,0.737107,0,-0.175381,-0.0147895
25,47.4855,0,0.737107,0,-0.175615,-0.0151615
26,48.3404,0,0.747107,0,-0.178678,-0.0146787
27,48.3404,0,0.747107,0,-0.177762,-0.0148863
28,48.3404,0,0.747107,0,-0.178587,-0.0146812
29,48.3404,0,0.747107,0,-0.177614,-0.0155995
30,48.3404,0,0.747107,0,-0.178117,-0.0147494
31,49.2098,0,0.757107,0,-0.181642,-0.0144724
32,49.2098,0,0.757107,0,-0.182063,-0.0147062
33,49.2098,0,0.757107,0,-0.181139,-0.0147322
34,49.2098,0,0.757107,0,-0.17306,-0.021725
35,49.2098,0,0.757107,0,-0.178399,-0.016758
36,50.0948,0,0.767107,0,-0.184281,-0.0151928
37,50.0948,0,0.767107,0,-0.184249,-0.0145822
38,50.0948,0,0.767107,0,-0.185254,-0.0150553
39,50.0948,0,0.767107,0,-0.185176,-0.0139922
40,50.0948,0,0.767107,0,-0.184749,-0.0148616
41,50.9964,0,0.777107,0,-0.186484,-0.0142104
42,50.9964,0,0.777107,0,-0.187769,-0.0152889
43,50.9964,0,0.777107,0,-0.187964,-0.0148745
44,50.9964,0,0.777107,0,-0.187442,-0.0149057
45,50.9964,0,0.777107,0,-0.187791,-0.0152368
46,51.9159,0,0.787107,0,-0.191359,-0.0145355
47,51.9159,0,0.787107,0,-0.191258,-0.0149776
48,51.9159,0,0.787107,0,-0.19049,-0.0147147
49,51.9159,0,0.787107,0,-0.191146,-0.0144224
50,51.9159,0,0.787107,0,-0.192111,-0.0136327
51,52.8547,0,0.797107,0,-0.193954,-0.0150896
52,52.8547,0,0.797107,0,-0.194967,-0.0146412
53,52.8547,0,0.797107,0,-0.194469,-0.0142633
54,52.8547,0,0.797107,0,-0.193866,-0.014794
55,52.8547,0,0.797107,0,-0.194208,-0.0148402
56,53.8142,0,0.807107,0,-0.197373,-0.0143505
57,53.8142,0,0.807107,0,-0.197796,-0.0136047
58,53.8142,0,0.807107,0,-0.19796,-0.0141098
59,53.8142,0,0.807107,0,-0.19663,-0.0142601
60,53.8142,0,0.807107,0,-0.197683,-0.0134645
61,54.7962,0,0.817107,0,-0.201044,-0.013636
62,54.7962,0,0.817107,0,-0.200076,-0.0135686
63,54.7962,0,0.817107,0,-0.200909,-0.0143139
64,54.7962,0,0.817107,0,-0.20054,-0.0143957
65,54.7962,0,0.817107,0,-0.201468,-0.0144392
66,55.8027,0,0.827107,0,-0.205235,-0.0138287
67,55.8027,0,0.827107,0,-0.204223,-0.0141859
68,55.8027,0,0.827107,0,-0.204548,-0.0133602
69,55.8027,0,0.827107,0,-0.204232,-0.0134446
70,55.8027,0,0.827107,0,-0.204099,-0.0141276
71,56.8358,0,0.837107,0,-0.207619,-0.0132196
72,56.8358,0,0.837107,0,-0.207055,-0.0134422
73,56.8358,0,0.837107,0,-0.207275,-0.0130405
74,56.8358,0,0.837107,0,-0.20793,-0.0129313
75,56.8358,0,0.837107,0,-0.208509,-0.0134642
76,57.8983,0,0.847107,0,-0.211381,-0.0133142
77,57.8983,0,0.847107,0,-0.211096,-0.0140491
78,57.8983,0,0.847107,0,-0.210877,-0.0136107
79,57.8983,0,0.847107,0,-0.211231,-0.0129154
80,57.8983,0,0.847107,0,-0.211686,-0.0130634
81,58.9933,0,0.857107,0,-0.214082,-0.0125093
82,58.9933,0,0.857107,0,-0.215068,-0.0130636
83,58.9933,0,0.857107,0,-0.214722,-0.012715
84,58.9933,0,0.857107,0,-0.214511,-0.0131665
85,58.9933,0,0.857107,0,-0.215188,-0.0118125
86,60.1241,0,0.867107,0,-0.218145,-0.0133058
87,60.1241,0,0.867107,0,-0.218128,-0.0129214
88,60.1241,0,0.867107,0,-0.218633,-0.0122109
89,60.1241,0,0.867107,0,-0.218226,-0.012421
90,60.1241,0,0.867107,0,-0.217751,-0.0124373
91,61.2953,0,0.877107,0,-0.221948,-0.0121592
92,61.2953,0,0.877107,0,-0.221378,-0.0121206
93,61.2953,0,0.877107,0,-0.221307,-0.0122873
94,61.2953,0,0.877107,0,-0.221334,-0.0122383
95,61.2953,0,0.877107,0,-0.220731,-0.0129485
96,62.5119,0,0.887107,0,-0.224757,-0.0110699
97,62.5119,0,0.887107,0,-0.225553,-0.0122102
98,62.5119,0,0.887107,0,-0.226222,-0.0113853
99,62.5119,0,0.887107,0,-0.22523,-0.0117314
100,62.5119,0,0.887107,0,-0.223847,-0.0111606
101,63.7803,0,0.897107,0,-0.228051,-0.0110726
102,63.7803,0,0.897107,0,-0.229749,-0.0108801
103,63.7803,0,0.897107,0,-0.228129,-0.0116149
104,63.7803,0,0.897107,0,-0.226679,-0.0112837
105,63.7803,0,0.897107,0,-0.228593,-0.0115413
106,65.1085,0,0.907107,0,-0.231738,-0.0118048
107,65.1085,0,0.907107,0,-0.230812,-0.011869
108,65.1085,0,0.907107,0,-0.230441,-0.0117079
109,65.1085,0,0.907107,0,-0.232978,-0.0107467
110,65.1085,0,0.907107,0,-0.231244,-0.0109551
111,66.5067,0,0.917107,0,-0.234621,-0.00999022
112,66.5067,0,0.917107,0,-0.235387,-0.0099052
113,66.5067,0,0.917107,0,-0.235387,-0.00922501
114,66.5067,0,0.917107,0,-0.233813,-0.0105505
115,66.5067,0,0.917107,0,-0.233929,-0.0105236
116,67.9882,0,0.927107,0,-0.239349,-0.00912635
117,67.9882,0,0.927107,0,-0.239222,-0.00913409
118,67.9882,0,0.927107,0,-0.237987,-0.00911826
119,67.9882,0,0.927107,0,-0.238728,-0.00962243
120,67.9882,0,0.927107,0,-0.237582,-0.0100452
121,69.5712,0,0.937107,0,-0.242337,-0.00866393
122,69.5712,0,0.937107,0,-0.242263,-0.00916781
123,69.5712,0,0.937107,0,-0.242106,-0.00907202
124,69.5712,0,0.937107,0,-0.241739,-0.00804615
125,69.5712,0,0.937107,0,-0.243273,-0.00859802
126,45,90,-3.09086e-08,0.707107,0.0156032,-0.196034
127,45,90,-3.09086e-08,0.707107,0.0163385,-0.196104
128,45,90,-3.09086e-08,0.707107,0.0154945,-0.195341
129,45,90,-3.09086e-08,0.707107,0.0159141,-0.196245
130,45,90,-3.09086e-08,0.707107,0.0156319,-0.196235
131,45.8161,90,-3.13457e-08,0.717107,0.016454,-0.199124
132,45.8161,90,-3.13457e-08,0.717107,0.01525,-0.199108
133,45.8161,90,-3.13457e-08,0.717107,0.0159434,-0.198959
134,45.8161,90,-3.13457e-08,0.717107,0.0158894,-0.198888
135,45.8161,90,-3.13457e-08,0.717107,0.0158319,-0.199042
136,46.6444,90,-3.17828e-08,0.727107,0.0155252,-0.202047
137,46.6444,90,-3.17828e-08,0.727107,0.0158489,-0.201991
138,46.6444,90,-3.17828e-08,0.727107,0.0152935,-0.202126
139,46.6444,90,-3.17828e-08,0.727107,0.016326,-0.201514
140,46.6444,90,-3.17828e-08,0.727107,0.0168765,-0.201863
141,47.4855,90,-3.222e-08,0.737107,0.0166347,-0.205369
142,47.4855,90,-3.222e-08,0.737107,0.0158475,-0.204411
143,47.4855,90,-3.222e-08,0.737107,0.0158829,-0.204651
144,47.4855,90,-3.222e-08,0.737107,0.0164759,-0.205281
145,47.4855,90,-3.222e-08,0.737107,0.016133,-0.205132
