Idx,X,Y,x_light,y_light,elevation,azimuth,adc0,adc1,adc2,adc3,adcSum,adc0_percent,adc1_percent,adc2_percent,adc3_percent,min_adc
1,0.252079,-0.59519,-0.0762274,0.10238,40.2685,292.954,235.062,204.891,163.781,194.453,798.187,29.449,25.67,20.519,24.362,20.519
2,0.138051,-0.60087,-0.0512352,0.102565,38.0628,282.939,239.078,218.047,175.312,196.766,829.203,28.832,26.296,21.142,23.73,21.142
3,-0.20531,-0.60512,0.0253248,0.101954,39.7174,251.258,217.797,228.891,186.734,177.297,810.719,26.865,28.233,23.033,21.869,21.869
4,-0.31943,-0.60166,0.0514559,0.102325,42.9373,242.036,202.703,222.906,183.062,163.531,772.202,26.25,28.866,23.706,21.177,21.177
5,0.49612,-0.473999,-0.128105,0.0770422,43.3266,316.306,230.562,182.391,151.906,201.969,766.828,30.067,23.785,19.81,26.338,19.81
6,0.37197,-0.47818,-0.102053,0.0773186,37.2879,307.879,245.375,203.109,170.703,213.406,832.593,29.471,24.395,20.503,25.631,20.503
7,0.2524,-0.48629,-0.0765824,0.0768681,33.2224,297.431,252.203,218.859,185.078,218.734,874.874,28.827,25.016,21.155,25.002,21.155
8,-0.19215,0.66949,0.0244746,-0.180112,44.1484,106.014,148.75,158.766,225.484,217.141,750.141,19.83,21.165,30.059,28.947,19.83
9,0.37758,-0.59195,-0.101914,0.10229,44.5973,302.532,224.453,187.312,148.172,187.172,747.109,30.043,25.072,19.833,25.053,19.833
10,0.0264905,-0.60588,-0.0257983,0.102459,37.3339,272.504,234.141,223.578,180.891,191.75,830.36,28.198,26.925,21.785,23.092,21.785
11,-0.0908701,-0.607039,-0.000188743,0.101959,37.865,261.486,227.891,228.234,185.609,186.109,827.843,27.528,27.57,22.421,22.481,22.421
12,-0.67597,-0.24063,0.128259,0.025472,45.8503,199.595,163.625,210.656,201.141,154.547,729.969,22.415,28.858,27.555,21.172,21.172
13,-0.567269,-0.24819,0.103024,0.0258754,38.2568,203.63,188.062,231.016,219.578,178.359,817.015,23.018,28.276,26.876,21.831,21.831
14,0.13557,-0.49125,-0.0512856,0.0767542,30.6381,285.428,252.859,230.031,195.438,218.609,896.937,28.191,25.646,21.789,24.373,21.789
15,-0.0974705,-0.499509,-1.73127e-05,0.0767127,30.5926,258.958,242.609,243.266,207.984,208.656,902.515,26.881,26.954,23.045,23.119,23.045
16,-0.21486,-0.49555,0.0256537,0.0767848,32.6921,246.559,232.5,244.953,209.828,199.531,886.812,26.218,27.622,23.661,22.5,22.5
17,-0.32922,-0.48821,0.0514252,0.0759936,36.0749,236.007,218.203,240.969,207.719,186.594,853.485,25.566,28.234,24.338,21.863,21.863
18,-0.0816198,0.66498,-0.000904395,-0.180497,42.0648,96.9975,158.703,159.859,228.516,230.375,777.453,20.413,20.562,29.393,29.632,20.413
19,-0.10001,-0.151379,-0.000255251,-0.000495488,10.4532,236.549,259.406,260.656,259.531,261.047,1040.64,24.928,25.048,24.94,25.085,24.928
20,0.02237,-0.14894,-0.0245433,1.50112e-05,8.6623,278.542,266.0,254.453,253.219,267.219,1040.891,25.555,24.446,24.327,25.672,24.327
21,0.26266,-0.14284,-0.0769134,0.000798735,17.3968,331.462,268.094,231.141,229.328,269.109,997.672,26.872,23.168,22.986,26.974,22.986
22,0.619149,-0.12677,-0.153121,1.92823e-05,39.1974,348.429,232.844,172.328,170.797,234.359,810.328,28.735,21.266,21.078,28.921,21.078
23,-0.459731,-0.25445,0.0771164,0.0251702,31.6985,208.964,211.562,247.281,234.812,201.5,895.155,23.634,27.624,26.231,22.51,22.51
24,0.01981,-0.49504,-0.0246947,0.0768547,29.6985,272.292,251.438,240.5,205.047,216.672,913.657,27.52,26.323,22.442,23.715,22.442
25,0.02195,-0.27023,-0.0247331,0.0258714,15.7309,274.644,266.359,254.703,240.656,254.125,1015.843,26.22,25.073,23.69,25.016,23.69
26,0.13951,-0.26763,-0.0507688,0.0262801,17.5663,297.532,269.75,244.938,231.109,257.219,1003.016,26.894,24.42,23.041,25.645,23.041
27,-0.44685,-0.48168,0.0778837,0.0764075,41.0739,227.148,195.375,226.156,195.953,165.734,783.218,24.945,28.875,25.019,21.161,21.161
28,-0.0887201,0.553069,-0.00064921,-0.153755,34.0655,99.1134,182.703,183.906,249.031,250.797,866.437,21.087,21.226,28.742,28.946,21.087
29,-0.20838,0.547931,0.0257006,-0.153614,35.889,110.822,173.562,185.094,249.547,239.297,847.5,20.479,21.84,29.445,28.236,20.479
30,0.0298804,0.664389,-0.0264533,-0.178758,41.687,87.4249,166.0,158.031,226.094,239.0,789.125,21.036,20.026,28.651,30.287,20.026
31,-0.23076,-0.15021,0.0264654,-0.000807629,15.9824,213.062,244.172,258.438,257.891,245.531,1006.032,24.271,25.689,25.634,24.406,24.271
32,0.14122,-0.14551,-0.0508552,0.000183262,11.6991,314.143,268.078,243.578,241.969,269.5,1023.125,26.202,23.807,23.65,26.341,23.65
33,0.49637,-0.13252,-0.127876,0.000848266,30.9143,345.052,248.766,193.688,191.859,249.844,884.157,28.136,21.907,21.7,28.258,21.7
34,-0.347291,-0.25992,0.0514332,0.0250134,25.708,216.812,226.609,251.688,238.938,216.016,933.251,24.282,26.969,25.603,23.147,23.147
35,-0.10338,-0.270669,0.000833714,0.0249642,16.8424,249.096,253.859,255.188,241.875,242.375,993.297,25.557,25.691,24.351,24.401,24.351
36,0.25695,-0.25834,-0.0759257,0.0257212,21.3686,314.845,263.891,228.047,215.141,252.125,959.204,27.511,23.775,22.429,26.285,22.429
37,-0.554511,-0.476,0.102814,0.076632,46.9529,220.643,173.25,209.047,182.547,145.328,710.172,24.395,29.436,25.705,20.464,20.464
38,0.255,-0.3719,-0.0766127,0.0513181,26.8031,304.437,259.875,224.594,200.922,236.25,921.641,28.197,24.369,21.8,25.634,21.8
39,0.13672,-0.37928,-0.0507184,0.0515166,23.7765,289.823,258.812,235.203,210.781,234.828,939.624,27.544,25.032,22.432,24.992,22.432
40,0.0283696,0.553429,-0.0264969,-0.15369,33.6526,87.0655,182.875,174.453,236.578,250.531,844.437,21.656,20.659,28.016,29.668,20.659
41,-0.321639,0.5446,0.0513859,-0.153086,39.2339,120.566,156.359,176.875,236.812,216.891,786.937,19.869,22.476,30.093,27.561,19.869
42,-0.43041,0.55383,0.0760981,-0.155542,44.5405,127.853,139.688,167.906,224.062,196.844,728.5,19.175,23.048,30.757,27.02,19.175
43,0.14033,0.66365,-0.0517623,-0.178467,42.7128,78.0606,162.984,147.125,210.812,234.031,754.952,21.589,19.488,27.924,30.999,19.488
44,-0.34806,-0.14623,0.0512192,-0.000621037,22.1808,202.789,226.125,251.609,250.906,227.422,956.062,23.652,26.317,26.244,23.787,23.652
45,0.38096,-0.13696,-0.102207,0.000463976,23.8806,340.226,259.375,212.312,210.969,260.281,942.937,27.507,22.516,22.374,27.603,22.374
46,-0.22709,-0.26784,0.0258665,0.0253833,20.5578,229.707,241.906,255.469,242.141,230.609,970.125,24.936,26.334,24.96,23.771,23.771
47,0.37588,-0.25162,-0.102145,0.0254249,26.893,326.201,256.938,210.656,198.766,245.641,912.001,28.173,23.098,21.794,26.934,21.794
48,0.493781,-0.24306,-0.128351,0.0252289,33.3918,333.792,244.844,190.734,179.594,234.547,849.719,28.815,22.447,21.136,27.603,21.136
49,0.48932,-0.355899,-0.127872,0.0510986,37.2332,323.97,238.703,187.0,166.219,218.094,810.016,29.469,23.086,20.52,26.925,20.52
50,0.371969,-0.36571,-0.102231,0.0521623,31.4421,315.486,249.922,205.5,183.094,227.172,865.688,28.87,23.738,21.15,26.242,21.15
51,0.02058,-0.384601,-0.0248363,0.0515576,22.6531,273.063,254.156,242.672,218.062,230.047,944.937,26.897,25.681,23.077,24.345,23.077
52,0.13577,0.55245,-0.0521107,-0.154217,34.6728,76.1926,183.703,166.141,225.938,251.484,827.266,22.206,20.083,27.311,30.399,20.083
53,0.498069,-0.0210702,-0.127942,-0.0249293,29.9018,357.578,239.25,186.109,194.312,252.797,872.468,27.422,21.331,22.272,28.975,21.331
