Idx,X,Y,x_light,y_light,elevation,azimuth,adc0,adc1,adc2,adc3,adcSum,adc0_percent,adc1_percent,adc2_percent,adc3_percent,min_adc
1,0.24738,-0.88452,-0.127127,0.255245,66.7023,285.625,134.094,103.344,61.7656,79.1094,378.313,35.445,27.317,16.327,20.911,16.327
2,0.16037,-0.89719,-0.102128,0.25663,65.701,280.134,138.891,112.484,67.125,81.5781,400.078,34.716,28.116,16.778,20.391,16.778
3,0.0743807,-0.90017,-0.0756446,0.256094,64.587,274.724,142.688,121.828,72.8281,83.8281,421.172,33.879,28.926,17.292,19.904,17.292
4,-0.00929007,-0.90032,-0.0515922,0.253807,64.2065,269.409,141.75,127.094,76.2656,83.7344,428.844,33.054,29.636,17.784,19.526,17.784
5,-0.0933895,-0.89696,-0.0252607,0.254296,64.3968,264.056,137.031,129.859,77.5469,81.125,425.562,32.2,30.515,18.222,19.063,18.222
6,-0.175341,-0.89189,-0.00111209,0.254285,65.3623,258.878,128.266,127.266,76.2344,75.6875,407.454,31.48,31.234,18.71,18.576,18.576
7,-0.26464,-0.88417,0.0262756,0.256738,67.3575,253.337,113.156,118.516,70.6719,66.3438,368.688,30.692,32.145,19.168,17.995,17.995
8,-0.352679,-0.86996,0.0514731,0.25571,69.8393,247.932,95.9844,105.469,63.2188,56.1875,320.86,29.915,32.871,19.703,17.512,17.512
9,0.52452,-0.77494,-0.203802,0.228409,69.3518,304.092,119.906,79.0,49.9219,75.0156,323.844,37.026,24.394,15.415,23.164,15.415
10,-0.0629992,0.88696,-0.0255307,-0.229705,62.7722,94.0628,86.3594,81.4688,130.844,137.078,435.75,19.819,18.696,30.027,31.458,18.696
11,-0.14955,0.88569,0.000979949,-0.229308,63.926,99.5841,79.9844,79.7656,127.719,127.094,414.563,19.294,19.241,30.808,30.657,19.241
12,0.34147,-0.87034,-0.155857,0.255652,69.2168,291.422,118.719,86.5312,51.4531,70.2188,326.922,36.314,26.468,15.739,21.479,15.739
13,-0.609139,-0.36575,0.101974,0.101846,45.2764,210.982,181.312,222.531,181.359,147.828,733.03,24.735,30.358,24.741,20.167,20.167
14,-0.52006,-0.3778,0.0772189,0.101385,40.0011,215.997,204.391,238.547,194.672,166.719,804.329,25.411,29.658,24.203,20.728,20.728
15,-0.42306,-0.390061,0.0509528,0.102176,35.1302,222.676,226.078,250.656,203.922,184.422,865.078,26.134,28.975,23.573,21.319,21.319
16,-0.321471,-0.39944,0.0250937,0.102136,30.8461,231.173,245.344,258.031,210.156,199.922,913.453,26.859,28.248,23.007,21.886,21.886
17,-0.216,-0.40634,-6.58284e-05,0.102199,27.3989,242.006,261.703,261.531,213.156,213.047,949.437,27.564,27.546,22.451,22.439,22.439
18,0.25929,-0.82647,-0.128016,0.23034,60.0188,287.418,173.531,133.266,84.1719,107.75,498.719,34.795,26.722,16.878,21.605,16.878
19,0.353409,-0.8134,-0.154567,0.231093,62.4811,293.484,161.391,117.625,73.9844,100.281,453.281,35.605,25.95,16.322,22.123,16.322
20,0.439761,-0.79649,-0.177543,0.229622,65.4815,298.904,143.578,99.9062,62.9531,89.5938,396.031,36.254,25.227,15.896,22.623,15.896
21,0.454599,-0.730061,-0.17924,0.203823,59.3198,301.91,180.844,125.219,83.4531,118.969,508.485,35.565,24.626,16.412,23.397,16.412
22,0.36362,-0.7458,-0.153925,0.205205,56.0701,295.992,197.094,143.688,95.5469,129.188,565.517,34.852,25.408,16.895,22.844,16.895
23,0.0237696,0.88517,-0.0529121,-0.229807,62.3118,88.4618,89.5,79.8281,128.391,141.984,439.703,20.355,18.155,29.199,32.291,18.155
24,-0.529221,-0.27888,0.0773123,0.0763822,36.7414,207.788,208.469,243.578,208.859,179.031,839.937,24.82,29.0,24.866,21.315,21.315
25,-0.240661,0.8789,0.0241932,-0.229032,65.6791,105.313,71.4062,74.7344,119.406,113.562,379.109,18.835,19.713,31.496,29.955,18.835
26,-0.325919,0.86697,0.050535,-0.230627,67.8512,110.603,61.6719,68.0938,109.094,98.4688,337.328,18.282,20.186,32.341,29.191,18.282
27,-0.69514,-0.35382,0.128783,0.103554,51.2611,206.976,153.625,199.047,161.688,124.797,639.157,24.036,31.142,25.297,19.525,19.525
28,-0.76856,-0.33593,0.153288,0.101468,57.0104,203.61,127.688,173.547,141.859,103.875,546.969,23.345,31.729,25.935,18.991,18.991
29,0.10164,-0.41366,-0.0769877,0.102381,25.2117,283.805,287.656,245.5,200.906,233.219,967.281,29.739,25.38,20.77,24.111,20.77
30,-0.00523004,-0.415661,-0.0504732,0.102473,24.563,269.279,281.859,254.141,207.5,228.859,972.359,28.987,26.137,21.34,23.536,21.34
31,-0.10924,-0.41393,-0.0256402,0.102302,25.3472,255.216,273.0,259.016,211.25,222.016,965.282,28.282,26.833,21.885,23.0,21.885
32,0.16823,-0.83507,-0.102034,0.231121,58.4131,281.39,178.766,144.75,91.2188,110.828,525.563,34.014,27.542,17.356,21.087,17.356
33,-0.53005,-0.7746,0.102817,0.230057,69.8167,235.617,87.9688,107.188,67.7812,54.375,317.313,27.723,33.78,21.361,17.136,17.136
34,0.62527,-0.686279,-0.230474,0.203844,68.1881,312.337,126.562,78.9844,52.4062,83.5312,341.484,37.062,23.13,15.347,24.461,15.347
35,0.542769,-0.71124,-0.203859,0.205015,63.468,307.348,157.016,103.531,68.6094,103.281,432.437,36.31,23.941,15.866,23.883,15.866
36,0.27068,-0.75783,-0.128167,0.205948,53.5832,289.656,206.688,158.875,105.406,135.297,606.266,34.092,26.205,17.386,22.316,17.386
37,0.17738,-0.76195,-0.103426,0.204067,51.4739,283.105,212.812,172.094,114.516,139.922,639.344,33.286,26.917,17.911,21.885,17.911
38,0.107501,0.88568,-0.076207,-0.23069,63.1485,83.0795,87.8125,74.8906,120.484,139.797,422.984,20.76,17.705,28.484,33.05,17.705
39,-0.61905,-0.2693,0.102013,0.0764946,42.4611,203.51,184.141,226.5,193.875,158.406,762.922,24.136,29.688,25.412,20.763,20.763
40,-0.43133,-0.28671,0.0520442,0.0757179,31.1933,213.612,229.812,255.109,219.141,197.516,901.578,25.49,28.296,24.306,21.908,21.908
41,-0.327051,-0.30099,0.0252936,0.0769661,26.3897,222.624,249.438,262.172,224.891,213.594,950.095,26.254,27.594,23.67,22.481,22.481
42,0.10494,-0.311039,-0.0763335,0.0762717,19.1635,288.644,293.469,250.688,216.312,250.719,1011.188,29.022,24.791,21.392,24.794,21.392
43,0.21194,-0.30645,-0.101999,0.0765111,21.876,304.668,294.984,238.906,206.453,251.547,991.89,29.74,24.086,20.814,25.36,20.814
44,-0.83536,-0.32379,0.178914,0.102445,63.6264,201.187,97.5,139.25,113.922,78.8281,429.5,22.701,32.421,26.524,18.353,18.353
45,0.20612,-0.41115,-0.102525,0.102326,27.3822,296.626,287.047,232.484,190.5,232.578,942.609,30.452,24.664,20.21,24.674,20.21
46,-0.59908,-0.46035,0.10235,0.128525,49.0713,217.54,169.938,208.656,161.156,131.203,670.953,25.328,31.098,24.019,19.555,19.555
47,-0.51069,-0.47464,0.0769393,0.128359,44.2028,222.905,192.703,224.922,173.672,148.938,740.235,26.033,30.385,23.462,20.12,20.12
48,0.07849,-0.83594,-0.0768484,0.229002,57.0997,275.364,181.359,154.734,97.7188,113.125,546.937,33.159,28.291,17.867,20.683,17.867
49,-0.450819,-0.79577,0.0757637,0.230208,66.1486,240.468,110.031,127.188,80.25,68.1875,385.656,28.531,32.98,20.809,17.681,17.681
50,0.49467,-0.480409,-0.17968,0.128028,43.5952,315.838,250.297,172.828,134.875,192.203,750.203,33.364,23.037,17.978,25.62,17.978
51,0.5869,-0.46922,-0.204054,0.128287,48.7128,321.358,230.547,151.281,118.078,176.922,676.828,34.063,22.351,17.446,26.14,17.446
52,-0.19348,-0.76332,-0.000271571,0.20632,51.9487,255.777,191.062,190.672,125.688,125.469,632.891,30.189,30.127,19.859,19.825,19.825
53,-0.0981201,-0.76633,-0.0256655,0.204131,50.5867,262.704,202.531,191.859,127.266,133.406,655.062,30.918,29.289,19.428,20.365,19.428
54,0.0817707,-0.77021,-0.0766543,0.205265,50.7632,276.06,212.25,181.203,120.219,139.219,652.891,32.509,27.754,18.413,21.323,18.413
55,0.20065,0.87947,-0.104052,-0.230336,64.4313,77.148,85.25,68.6406,110.5,135.5,399.891,21.318,17.165,27.633,33.884,17.165
56,-0.7044,-0.25465,0.12863,0.0757215,48.5053,199.876,159.781,207.141,177.828,137.438,682.188,23.422,30.364,26.067,20.147,20.147
57,-0.90643,-0.21732,0.204573,0.0774615,68.7674,193.482,71.9375,108.453,93.2188,61.2344,334.844,21.484,32.389,27.839,18.287,18.287
58,-0.22037,-0.306109,0.000424829,0.0768311,22.1592,234.25,267.375,267.297,229.438,228.938,993.048,26.925,26.917,23.104,23.054,23.054
59,-0.00158991,-0.31334,-0.0512734,0.0768949,18.2609,269.709,290.047,260.953,224.469,247.844,1023.313,28.344,25.501,21.936,24.22,21.936
60,0.31977,-0.3005,-0.127889,0.0764279,26.0279,316.779,292.609,224.766,194.406,249.5,961.281,30.439,23.382,20.224,25.955,20.224
61,-0.89324,-0.30288,0.203964,0.101333,70.595,198.731,66.3438,99.4844,81.7969,53.5156,301.141,22.031,33.036,27.162,17.771,17.771
62,0.307789,-0.40473,-0.127848,0.102197,30.5619,307.252,285.578,219.297,180.203,231.047,916.125,31.172,23.937,19.67,25.22,19.67
63,-0.681639,-0.44435,0.128559,0.12708,54.4573,213.1,145.391,188.031,145.828,112.406,591.656,24.574,31.78,24.647,18.999,18.999
64,-0.41319,-0.48505,0.0501856,0.12759,39.5819,229.574,216.406,239.281,185.125,167.438,808.25,26.775,29.605,22.904,20.716,20.716
65,-0.00925956,-0.84155,-0.0514704,0.230774,57.3096,269.37,177.188,159.266,100.031,110.25,546.735,32.408,29.13,18.296,20.165,18.296
66,-0.37006,-0.80883,0.0516907,0.229421,62.8063,245.415,131.828,145.406,91.75,82.0156,451.0,29.23,32.241,20.344,18.185,18.185
67,0.40003,-0.49207,-0.153775,0.1278,39.3576,309.109,265.344,193.266,150.844,203.828,813.282,32.626,23.764,18.548,25.062,18.548
68,0.672651,-0.45578,-0.231923,0.128682,54.3432,325.879,206.078,127.703,99.4375,158.234,591.452,34.843,21.591,16.812,26.753,16.812
69,0.74995,-0.437541,-0.25668,0.128276,60.2565,329.74,173.109,102.031,79.2344,133.344,487.718,35.494,20.92,16.246,27.34,16.246
70,-0.29032,-0.75153,0.0264182,0.204103,53.6737,248.878,177.844,187.141,123.984,117.266,606.235,29.336,30.869,20.451,19.343,19.343
71,-0.0112,-0.76957,-0.0503055,0.204017,50.3226,269.166,208.844,188.312,124.953,137.609,659.718,31.657,28.544,18.94,20.859,18.94
72,0.37406,0.85963,-0.15331,-0.230226,69.634,66.4842,67.0781,48.6406,78.6406,106.297,300.656,22.311,16.178,26.156,35.355,16.178
73,0.28925,0.8714,-0.129907,-0.230857,66.6574,71.6371,77.5,59.0469,95.4219,123.094,355.063,21.827,16.63,26.875,34.668,16.63
74,-0.77917,-0.24581,0.153419,0.0756961,54.788,197.509,133.375,181.703,156.141,114.594,585.813,22.768,31.017,26.654,19.562,19.562
75,-0.84797,-0.23411,0.180031,0.0767177,61.6054,195.434,103.562,148.516,127.75,88.4062,468.234,22.118,31.718,27.283,18.881,18.881
76,0.85492,-0.150539,-0.280495,0.0500032,60.2355,350.013,163.484,91.125,83.3438,147.016,484.969,33.71,18.79,17.185,30.315,17.185
77,-0.1116,-0.30989,-0.0257711,0.0763297,19.2307,250.195,280.812,266.375,228.906,240.672,1016.765,27.618,26.198,22.513,23.67,22.513
78,0.42094,-0.29664,-0.153544,0.0765058,30.9949,324.827,283.5,206.453,178.797,241.516,910.266,31.145,22.681,19.642,26.532,19.642
79,0.84738,-0.24179,-0.280016,0.075786,61.7876,344.074,158.359,88.3906,76.75,135.234,458.734,34.521,19.268,16.731,29.48,16.731
80,0.41081,-0.3961,-0.153441,0.102523,34.7967,316.044,276.562,201.484,165.578,223.562,867.186,31.892,23.234,19.094,25.78,19.094
81,-0.75408,-0.42886,0.152729,0.128474,60.1695,209.628,118.625,160.531,124.625,90.9688,494.75,23.977,32.447,25.189,18.387,18.387
82,-0.31391,-0.49657,0.0254983,0.127858,35.9777,237.701,234.438,246.938,190.75,181.484,853.61,27.464,28.929,22.346,21.261,21.261
83,-0.0976199,-0.83611,-0.0256103,0.229293,57.3296,263.341,172.75,163.625,103.0,107.891,547.266,31.566,29.899,18.821,19.715,18.821
84,-0.27474,-0.82349,0.0250354,0.230294,60.2399,251.55,149.078,156.141,98.1562,92.7969,496.172,30.046,31.469,19.783,18.703,18.703
85,0.30027,-0.49946,-0.128084,0.126957,35.6457,301.014,273.828,210.438,164.234,210.922,859.422,31.862,24.486,19.11,24.542,19.11
86,0.82303,-0.41471,-0.280869,0.128357,67.1624,333.257,129.766,72.4219,56.4375,99.75,358.375,36.21,20.208,15.748,27.834,15.748
87,-0.46953,-0.725139,0.0771808,0.205174,59.7549,237.077,140.375,163.141,108.141,92.0312,503.688,27.869,32.389,21.47,18.271,18.271
