id,X,Y,x_light,y_light,elevation,azimuth
0,NaN,NaN,-0.2304,0.2048,NaN,NaN
1,NaN,NaN,-0.2048,0.2048,NaN,NaN
2,NaN,NaN,-0.1792,0.2048,NaN,NaN
3,NaN,NaN,-0.1536,0.2048,NaN,NaN
4,NaN,NaN,-0.128,0.2048,NaN,NaN
5,NaN,NaN,-0.1024,0.2048,NaN,NaN
6,NaN,NaN,-0.0768,0.2048,NaN,NaN
7,NaN,NaN,-0.0512,0.2048,NaN,NaN
8,NaN,NaN,-0.0256,0.2048,NaN,NaN
9,NaN,NaN,0.0,0.2048,NaN,NaN
10,NaN,NaN,0.0256,0.2048,NaN,NaN
11,NaN,NaN,0.0512,0.2048,NaN,NaN
12,NaN,NaN,0.0768,0.2048,NaN,NaN
13,NaN,NaN,0.1024,0.2048,NaN,NaN
14,NaN,NaN,0.128,0.2048,NaN,NaN
15,NaN,NaN,0.1536,0.2048,NaN,NaN
16,NaN,NaN,-0.2304,0.1792,NaN,NaN
17,NaN,NaN,-0.2048,0.1792,NaN,NaN
18,NaN,NaN,-0.1792,0.1792,NaN,NaN
19,NaN,NaN,-0.1536,0.1792,NaN,NaN
20,NaN,NaN,-0.128,0.1792,NaN,NaN
21,NaN,NaN,-0.1024,0.1792,NaN,NaN
22,NaN,NaN,-0.0768,0.1792,NaN,NaN
23,NaN,NaN,-0.0512,0.1792,NaN,NaN
24,NaN,NaN,-0.0256,0.1792,NaN,NaN
25,NaN,NaN,0.0,0.1792,NaN,NaN
26,NaN,NaN,0.0256,0.1792,NaN,NaN
27,NaN,NaN,0.0512,0.1792,NaN,NaN
28,NaN,NaN,0.0768,0.1792,NaN,NaN
29,NaN,NaN,0.1024,0.1792,NaN,NaN
30,NaN,NaN,0.128,0.1792,NaN,NaN
31,NaN,NaN,0.1536,0.1792,NaN,NaN
32,NaN,NaN,-0.2304,0.1536,NaN,NaN
33,NaN,NaN,-0.2048,0.1536,NaN,NaN
34,NaN,NaN,-0.1792,0.1536,NaN,NaN
35,NaN,NaN,-0.1536,0.1536,NaN,NaN
36,0.41484,-0.68018,-0.128,0.1536,52.8165,301.3789
37,0.30241,-0.68489,-0.1024,0.1536,48.4764,293.8236
38,0.18837,-0.68844,-0.0768,0.1536,45.5405,285.3026
39,0.07698,-0.69348,-0.0512,0.1536,44.2459,276.3342
40,-0.03492,-0.69281,-0.0256,0.1536,43.9229,267.1145
41,-0.15088,-0.68927,0.0,0.1536,44.8773,257.6528
42,-0.26952,-0.68464,0.0256,0.1536,47.3732,248.5121
43,-0.3927,-0.67793,0.0512,0.1536,51.578,239.9179
44,NaN,NaN,0.0768,0.1536,NaN,NaN
