id,X,Y,azimuth,elevation,x_light,y_light,new_indexes
223,-0.52426,-0.23189,203.8607,34.9775,0.1536,0.0512,138
222,-0.43444,-0.24096,209.0147,29.7878,0.128,0.0512,139
221,-0.33825,-0.2478,216.2263,24.7908,0.1024,0.0512,140
201,-0.60369,-0.31666,207.6788,42.9766,0.1792,0.0768,141
193,0.16688,-0.35681,295.0655,23.1978,-0.0256,0.0768,142
190,0.46062,-0.34102,323.4856,34.968,-0.1024,0.0768,143
153,-0.40895,-0.52168,231.9068,41.5187,0.128,0.128,144
169,0.2627,-0.44777,300.3995,31.2748,-0.0512,0.1024,145
149,-0.03407,-0.54908,266.4494,33.3763,0.0256,0.128,146
109,-0.55262,-0.65723,229.9418,59.1693,0.1792,0.1792,147
86,-0.53374,-0.72369,233.5903,64.0564,0.1792,0.2048,148
85,-0.45643,-0.74209,238.406,60.6008,0.1536,0.2048,149
84,-0.37648,-0.75728,243.5658,57.7471,0.128,0.2048,150
83,-0.2954,-0.76913,248.9897,55.4778,0.1024,0.2048,151
82,-0.20689,-0.77926,255.1313,53.7318,0.0768,0.2048,152
79,0.05852,-0.78124,274.2838,51.5756,0.0,0.2048,153
74,0.49378,-0.73463,303.9069,62.2706,-0.128,0.2048,154
449,-0.1062,0.73352,98.2381,47.831,0.0512,-0.2048,155
240,0.06802,-0.15374,293.8663,9.6782,0.0,0.0256,156
213,0.46798,-0.24318,332.5419,31.8294,-0.1024,0.0512,157
216,0.17117,-0.25651,303.7153,17.9615,-0.0256,0.0512,158
217,0.06818,-0.25634,284.8944,15.3819,0.0,0.0512,159
218,-0.03435,-0.25856,262.4325,15.1194,0.0256,0.0512,160
219,-0.1366,-0.25705,242.0132,16.9233,0.0512,0.0512,161
220,-0.23807,-0.25227,226.6588,20.2959,0.0768,0.0512,162
202,-0.68301,-0.30307,203.9282,48.3511,0.2048,0.0768,163
191,0.36569,-0.34875,316.3583,30.3531,-0.0768,0.0768,164
152,-0.31854,-0.53162,239.0705,38.2977,0.1024,0.128,165
150,-0.12491,-0.5464,257.1231,34.0901,0.0512,0.128,166
108,-0.47594,-0.67079,234.6435,55.3341,0.1536,0.1792,167
107,-0.39044,-0.68537,240.3308,52.0717,0.128,0.1792,168
87,-0.60661,-0.70024,229.098,67.8882,0.2048,0.2048,169
95,0.67499,-0.63051,316.9514,67.4677,-0.1792,0.1792,170
96,0.59359,-0.64816,312.4837,61.5096,-0.1536,0.1792,171
97,0.5061,-0.66932,307.0944,57.0476,-0.128,0.1792,172
98,0.41976,-0.68459,301.5148,53.4207,-0.1024,0.1792,173
78,0.14868,-0.77679,280.8355,52.2688,-0.0256,0.2048,174
75,0.41178,-0.75416,298.635,59.2331,-0.1024,0.2048,175
448,-0.01823,0.732,91.4266,47.0734,0.0256,-0.2048,176
241,-0.03212,-0.15021,257.93,8.8359,0.0256,0.0256,177
