id,X,Y,azimuth,elevation,x_light,y_light,new_indexes
22,0.31909,-0.7847,292.1286,57.8973,-0.0768,0.2304,0
23,0.20483,-0.79868,284.3841,55.5406,-0.0512,0.2304,1
41,0.1018,-0.72946,277.9446,47.4366,-0.0256,0.2048,2
42,-0.0099,-0.73466,269.228,47.2841,0.0,0.2048,3
43,-0.12501,-0.72808,260.2574,47.6237,0.0256,0.2048,4
44,-0.24124,-0.72089,251.4976,49.4804,0.0512,0.2048,5
45,-0.35469,-0.70691,243.3549,52.2699,0.0768,0.2048,6
46,-0.47088,-0.68815,235.6174,56.4946,0.1024,0.2048,7
263,-0.01465,0.74728,91.1231,48.3677,0.0,-0.128,8
21,0.43569,-0.76498,299.6634,61.6849,-0.1024,0.2304,9
24,0.09576,-0.80727,276.7649,54.3832,-0.0256,0.2304,10
40,0.21172,-0.72256,286.3313,48.8457,-0.0512,0.2048,11
112,-0.27128,-0.33854,231.294,25.7104,0.0512,0.1024,12
111,-0.1427,-0.34305,247.4139,21.811,0.0256,0.1024,13
97,-0.49765,-0.41785,220.0184,40.5273,0.1024,0.128,14
96,-0.38306,-0.43238,228.4612,35.2859,0.0768,0.128,15
53,0.656,-0.55892,319.5686,59.5211,-0.1536,0.1792,16
58,0.10381,-0.64796,279.102,41.0125,-0.0256,0.1792,17
262,0.09338,0.74323,82.8388,48.5102,-0.0256,-0.128,18
264,-0.13149,0.74522,100.0065,49.1769,0.0256,-0.128,19
266,-0.35452,0.74759,115.3711,55.8316,0.0768,-0.128,20
25,-0.00836,-0.81113,269.4095,54.2107,0.0,0.2304,21
39,0.32674,-0.70718,294.7985,51.1704,-0.0768,0.2048,22
113,-0.39107,-0.32264,219.5233,30.4631,0.0768,0.1024,23
110,-0.01847,-0.34898,266.9704,20.4548,0.0,0.1024,24
98,-0.61102,-0.39464,212.8572,46.6675,0.128,0.128,25
95,-0.26538,-0.44243,239.0437,31.0588,0.0512,0.128,26
54,0.5552,-0.58567,313.4701,53.8043,-0.128,0.1792,27
57,0.21811,-0.63894,288.848,42.4652,-0.0512,0.1792,28
59,-0.01352,-0.64743,268.8037,40.3587,0.0,0.1792,29
259,0.42455,0.73335,59.9326,57.9273,-0.1024,-0.128,30
261,0.2071,0.74063,74.3776,50.2678,-0.0512,-0.128,31
124,0.36603,-0.21761,329.2679,25.2033,-0.0768,0.0768,32
265,-0.24343,0.74909,108.0025,51.9665,0.0512,-0.128,33
26,-0.12048,-0.80837,261.523,54.8153,0.0256,0.2304,34
38,0.44065,-0.68643,302.6982,54.6562,-0.1024,0.2048,35
114,-0.50694,-0.31204,211.6138,36.5325,0.1024,0.1024,36
109,0.11013,-0.34701,287.6078,21.3502,-0.0256,0.1024,37
99,-0.72292,-0.36937,207.0644,54.2739,0.1536,0.128,38
94,-0.13817,-0.45644,253.1583,28.4828,0.0256,0.128,39
55,0.45224,-0.60492,306.7819,49.0499,-0.1024,0.1792,40
56,0.33489,-0.6236,298.237,45.0589,-0.0768,0.1792,41
60,-0.12934,-0.64579,258.6745,41.1943,0.0256,0.1792,42
72,0.46024,-0.51822,311.6088,43.8752,-0.1024,0.1536,43
250,-0.47749,0.62474,127.3908,51.8428,0.1024,-0.1024,44
260,0.31426,0.73292,66.7914,52.8876,-0.0768,-0.128,45
125,0.23923,-0.22405,316.8767,19.1331,-0.0512,0.0768,46
123,0.4851,-0.20607,336.9843,31.8067,-0.1024,0.0768,47
27,-0.23055,-0.80122,253.9469,56.4839,0.0512,0.2304,48
37,0.54602,-0.6639,309.4354,59.271,-0.128,0.2048,49
115,-0.61814,-0.29283,205.3482,43.1565,0.128,0.1024,50
108,0.23738,-0.34065,304.8705,24.532,-0.0512,0.1024,51
103,0.77656,-0.2619,341.363,55.0382,-0.1792,0.1024,52
93,-0.01265,-0.45929,268.4223,27.3525,0.0,0.128,53
90,0.35295,-0.43767,308.8837,34.2118,-0.0768,0.128,54
61,-0.24832,-0.63708,248.7052,43.1385,0.0512,0.1792,55
71,0.56508,-0.4966,318.6906,48.7884,-0.128,0.1536,56
73,0.34582,-0.53596,302.8315,39.6312,-0.0768,0.1536,57
249,-0.36703,0.62749,120.3241,46.6312,0.0768,-0.1024,58
128,-0.1472,-0.22724,237.0659,15.7089,0.0256,0.0768,59
127,-0.01679,-0.23228,265.8657,13.467,0.0,0.0768,60
126,0.11019,-0.22879,295.7164,14.7109,-0.0256,0.0768,61
122,0.5954,-0.19152,342.1688,38.7148,-0.128,0.0768,62
28,-0.34428,-0.78568,246.3373,59.0705,0.0768,0.2304,63
116,-0.72685,-0.26886,200.2993,50.8034,0.1536,0.1024,64
107,0.35827,-0.33083,317.2803,29.1865,-0.0768,0.1024,65
104,0.68626,-0.28477,337.4635,47.9875,-0.1536,0.1024,66
91,0.22823,-0.44757,297.0185,30.159,-0.0512,0.128,67
89,0.46818,-0.42399,317.8356,39.1707,-0.1024,0.128,68
62,-0.3664,-0.62418,239.5866,46.367,0.0768,0.1792,69
70,0.66653,-0.47409,324.5765,54.879,-0.1536,0.1536,70
74,0.22517,-0.54833,292.3254,36.3533,-0.0512,0.1536,71
76,-0.01183,-0.55744,268.7843,33.8876,0.0,0.1536,72
248,-0.24928,0.63222,111.519,42.8116,0.0512,-0.1024,73
129,-0.27917,-0.21789,217.9718,20.7405,0.0512,0.0768,74
130,-0.39989,-0.21014,207.7217,26.8555,0.0768,0.0768,75
131,-0.51151,-0.19826,201.1862,33.2702,0.1024,0.0768,76
132,-0.62549,-0.18208,196.2303,40.6512,0.128,0.0768,77
121,0.69431,-0.17846,345.5852,45.7973,-0.1536,0.0768,78
117,-0.84419,-0.23752,195.7144,61.2787,0.1792,0.1024,79
106,0.4777,-0.31775,326.3695,35.0105,-0.1024,0.1024,80
92,0.10852,-0.45527,283.4071,27.9062,-0.0256,0.128,81
88,0.5783,-0.40201,325.1946,44.7733,-0.128,0.128,82
63,-0.47975,-0.60324,231.5052,50.4215,0.1024,0.1792,83
64,-0.59729,-0.58193,224.2537,56.502,0.128,0.1792,84
69,0.7606,-0.4474,329.5351,61.9366,-0.1792,0.1536,85
75,0.10877,-0.55401,281.1077,34.3736,-0.0256,0.1536,86
77,-0.13341,-0.55155,256.4024,34.573,0.0256,0.1536,87
247,-0.13407,0.63555,101.912,40.5067,0.0256,-0.1024,88
139,0.59994,-0.08037,352.3699,37.2504,-0.128,0.0512,89
138,0.69787,-0.07323,354.0097,44.5637,-0.1536,0.0512,90
137,0.78846,-0.06128,355.5558,52.2639,-0.1792,0.0512,91
134,-0.83936,-0.13996,189.4667,58.315,0.1792,0.0768,92
133,-0.72862,-0.1665,192.8719,48.3658,0.1536,0.0768,93
120,0.78369,-0.16254,348.2828,53.1653,-0.1792,0.0768,94
105,0.58652,-0.30226,332.7359,41.2864,-0.128,0.1024,95
87,0.67248,-0.38459,330.2348,50.7766,-0.1536,0.128,96
86,0.76594,-0.35918,334.8762,57.7766,-0.1792,0.128,97
82,-0.72035,-0.45888,212.4981,58.6597,0.1536,0.1536,98
81,-0.60436,-0.49082,219.0812,51.1289,0.128,0.1536,99
80,-0.49024,-0.51383,226.3459,45.2496,0.1024,0.1536,100
79,-0.37425,-0.53218,234.8836,40.5868,0.0768,0.1536,101
78,-0.25552,-0.54591,244.9175,37.0671,0.0512,0.1536,102
197,-0.27546,0.28496,134.0288,23.3492,0.0512,-0.0256,103
196,-0.14941,0.28525,117.6449,18.7846,0.0256,-0.0256,104
195,-0.0193,0.28441,93.8821,16.5627,0.0,-0.0256,105
194,0.11211,0.28371,68.4382,17.7616,-0.0256,-0.0256,106
193,0.23739,0.28188,49.897,21.6247,-0.0512,-0.0256,107
192,0.36114,0.27702,37.4908,27.0746,-0.0768,-0.0256,108
191,0.47762,0.27303,29.7543,33.3774,-0.1024,-0.0256,109
168,-0.83848,0.0648,175.5808,57.2438,0.1792,0.0256,110
145,-0.15098,-0.1011,213.8073,10.469,0.0256,0.0512,111
144,-0.01696,-0.10314,260.662,5.9998,0.0,0.0512,112
143,0.11081,-0.10448,316.6841,8.7602,-0.0256,0.0512,113
142,0.24307,-0.10045,337.5469,15.2486,-0.0512,0.0512,114
141,0.3727,-0.0962,345.5269,22.6385,-0.0768,0.0512,115
140,0.48798,-0.08832,349.741,29.7297,-0.1024,0.0512,116
246,-0.01469,0.63483,91.3256,39.42,0.0,-0.1024,117
198,-0.3981,0.28038,144.8431,29.1387,0.0768,-0.0256,118
199,-0.51154,0.27661,151.5981,35.5588,0.1024,-0.0256,119
200,-0.62106,0.27148,156.3887,42.6722,0.128,-0.0256,120
201,-0.72503,0.27331,159.3454,50.7899,0.1536,-0.0256,121
190,0.58638,0.26733,24.5082,40.1239,-0.128,-0.0256,122
189,0.68557,0.26166,20.8902,47.2065,-0.1536,-0.0256,123
180,-0.28211,0.15692,150.9156,18.8333,0.0512,0.0,124
171,0.78299,0.14726,10.6514,52.8178,-0.1792,0.0,125
156,0.60172,0.03208,3.0518,37.0545,-0.128,0.0256,126
155,0.69747,0.03654,2.9989,44.3009,-0.1536,0.0256,127
146,-0.28118,-0.09576,198.807,17.2798,0.0512,0.0512,128
147,-0.40199,-0.0916,192.8366,24.349,0.0768,0.0512,129
148,-0.51627,-0.08154,188.9752,31.5115,0.1024,0.0512,130
244,0.21354,0.62863,71.2378,41.5987,-0.0512,-0.1024,131
245,0.09967,0.63153,81.0314,39.7431,-0.0256,-0.1024,132
210,0.23009,0.40348,60.3055,27.6763,-0.0512,-0.0512,133
209,0.35149,0.39854,48.5895,32.0997,-0.0768,-0.0512,134
206,0.67086,0.37138,28.9684,50.067,-0.1536,-0.0512,135
205,0.75676,0.36772,25.9157,57.2851,-0.1792,-0.0512,136
188,0.77371,0.2572,18.3881,54.621,-0.1792,-0.0256,137
181,-0.40305,0.15477,158.9934,25.5783,0.0768,0.0,138
179,-0.15131,0.15423,134.4524,12.4777,0.0256,0.0,139
172,0.6908,0.14828,12.1147,44.9537,-0.1536,0.0,140
167,-0.73221,0.05259,175.8919,47.2309,0.1536,0.0256,141
157,0.4917,0.03084,3.589,29.516,-0.1024,0.0256,142
154,0.78838,0.04125,2.9951,52.1349,-0.1792,0.0256,143
150,-0.73335,-0.06106,184.7596,47.3823,0.1536,0.0512,144
149,-0.62838,-0.07268,186.5977,39.2399,0.128,0.0512,145
243,0.3279,0.62163,62.1891,44.6529,-0.0768,-0.1024,146
211,0.10742,0.40891,75.2811,25.0105,-0.0256,-0.0512,147
208,0.46742,0.39164,39.9588,37.5755,-0.1024,-0.0512,148
207,0.57615,0.37969,33.3854,43.6309,-0.128,-0.0512,149
185,-0.84067,0.17178,168.4513,59.0973,0.1792,0.0,150
182,-0.51326,0.1573,162.9611,32.4676,0.1024,0.0,151
223,0.65736,0.48643,36.5005,54.8615,-0.1536,-0.0768,152
178,-0.01753,0.15712,96.3662,9.0963,0.0,0.0,153
173,0.59736,0.15038,14.1301,38.0244,-0.128,0.0,154
166,-0.62786,0.04425,175.9686,39.0072,0.128,0.0256,155
161,-0.01534,0.02646,120.1027,1.7527,0.0,0.0256,156
158,0.37184,0.02755,4.2374,21.8921,-0.0768,0.0256,157
151,-0.84026,-0.03853,182.6255,57.261,0.1792,0.0512,158
241,0.54485,0.60255,47.8788,54.3271,-0.128,-0.1024,159
242,0.44203,0.61565,54.3221,49.2796,-0.1024,-0.1024,160
212,-0.01764,0.40865,92.4717,24.144,0.0,-0.0512,161
213,-0.14533,0.40835,109.5904,25.6861,0.0256,-0.0512,162
184,-0.73051,0.16328,167.4006,48.4637,0.1536,0.0,163
183,-0.62684,0.15809,165.8451,40.2758,0.128,0.0,164
222,0.74056,0.48424,33.18,62.2301,-0.1792,-0.0768,165
224,0.56048,0.493,41.335,48.2838,-0.128,-0.0768,166
177,0.11548,0.15057,52.5135,10.9385,-0.0256,0.0,167
174,0.48646,0.15179,17.3295,30.6366,-0.1024,0.0,168
