Idx,X,Y,x_light,y_light,elevation,azimuth,adc0,adc1,adc2,adc3,adcSum,adc0_percent,adc1_percent,adc2_percent,adc3_percent,min_adc
1,-0.0311584,-0.0311584,0.00111279,-0.0501685,2.52554,225.0,238.297,241.828,264.219,266.625,1010.969,23.571,23.92,26.135,26.373,23.571
2,0.0311593,0.0311593,-0.0142901,-0.0640591,2.52561,45.0,239.391,235.453,264.641,275.203,1014.688,23.593,23.204,26.081,27.122,23.204
3,-0.0311593,0.0311594,0.000506485,-0.0653365,2.52561,135.0,236.484,239.281,270.0,272.281,1018.046,23.229,23.504,26.521,26.745,23.229
4,0.0311594,-0.0311593,-0.0137769,-0.0496859,2.52561,315.0,243.562,239.828,261.828,272.109,1017.327,23.941,23.574,25.737,26.747,23.574
5,0.0934769,0.031159,-0.0287579,-0.0646284,5.65472,18.4349,242.844,231.828,261.047,279.219,1014.938,23.927,22.842,25.72,27.511,22.842
6,0.031159,0.0934769,-0.0141907,-0.0796651,5.65472,71.565,235.422,231.734,268.656,279.375,1015.187,23.19,22.827,26.464,27.52,22.827
7,-0.0311589,0.0934769,0.000738439,-0.0800898,5.65472,108.435,231.953,235.203,273.0,275.5,1015.656,22.838,23.158,26.879,27.125,22.838
8,-0.0934769,0.031159,0.0169304,-0.0644278,5.65472,161.565,232.031,242.859,273.328,266.969,1015.187,22.856,23.923,26.924,26.298,22.856
9,-0.0934769,-0.0311589,0.0162491,-0.0487779,5.65472,198.435,238.719,249.266,272.078,265.953,1026.016,23.267,24.295,26.518,25.921,23.267
10,-0.0311589,-0.0934769,0.00105047,-0.0353658,5.65472,251.565,245.859,249.156,264.547,266.766,1026.328,23.955,24.276,25.776,25.992,23.955
11,0.031159,-0.0934769,-0.0145752,-0.0351144,5.65472,288.435,249.844,245.625,260.391,271.141,1027.001,24.328,23.917,25.355,26.401,23.917
12,0.0934769,-0.0311589,-0.0292691,-0.0499475,5.65472,341.565,249.781,238.375,260.406,279.078,1027.64,24.306,23.196,25.34,27.157,23.196
13,0.0934768,0.0934768,-0.0294483,-0.079459,7.59652,45.0,242.656,231.609,268.422,287.719,1030.406,23.55,22.477,26.05,27.923,22.477
14,-0.0934768,0.0934769,0.0159703,-0.0800348,7.59652,135.0,230.656,240.531,279.828,273.344,1024.359,22.517,23.481,27.317,26.684,22.517
15,-0.0934768,-0.0934768,0.016541,-0.0350632,7.59652,225.0,239.969,250.875,266.219,260.297,1017.36,23.587,24.659,26.168,25.586,23.587
16,0.0934768,-0.0934768,-0.0289104,-0.0349194,7.59652,315.0,251.547,240.312,254.609,272.844,1019.312,24.678,23.576,24.979,26.767,23.576
17,0.155794,0.0311589,-0.0434383,-0.0643769,9.14188,11.3099,247.781,229.781,258.469,284.812,1020.843,24.272,22.509,25.319,27.9,22.509
18,0.0311589,0.155794,-0.0139327,-0.0958048,9.14188,78.6901,231.234,227.609,272.781,283.297,1014.921,22.783,22.426,26.877,27.913,22.426
19,-0.0311588,0.155794,0.000757517,-0.0952462,9.14188,101.31,227.156,230.062,275.672,277.812,1010.702,22.475,22.763,27.275,27.487,22.475
20,-0.155794,0.0311589,0.0309112,-0.0644825,9.14188,168.69,226.484,243.328,274.391,260.188,1004.391,22.549,24.226,27.319,25.905,22.549
21,-0.155794,-0.0311588,0.0305347,-0.0490709,9.14188,191.31,229.484,246.656,269.344,255.938,1001.422,22.916,24.631,26.896,25.557,22.916
22,-0.0311589,-0.155794,0.000784265,-0.0200144,9.14188,258.69,242.438,245.672,252.797,255.25,996.157,24.337,24.662,25.377,25.623,24.337
23,0.0311589,-0.155794,-0.0142435,-0.0202176,9.14188,281.31,245.406,241.484,248.375,258.609,993.874,24.692,24.297,24.991,26.02,24.297
24,0.155794,-0.0311588,-0.043436,-0.0498024,9.14188,348.69,245.625,227.781,248.797,274.234,996.437,24.65,22.86,24.969,27.521,22.86
25,0.155794,0.0934767,-0.0439899,-0.0801816,10.468,30.9638,235.812,218.484,253.688,279.812,987.796,23.873,22.118,25.682,28.327,22.118
26,0.0934767,0.155794,-0.0295061,-0.0960095,10.468,59.0362,228.688,218.188,261.562,280.234,988.672,23.131,22.069,26.456,28.344,22.069
27,-0.0934766,0.155794,0.0164727,-0.0959909,10.468,120.964,218.562,228.188,274.141,267.484,988.375,22.113,23.087,27.737,27.063,22.113
28,-0.155794,0.0934768,0.0310451,-0.0801153,10.468,149.036,218.688,235.031,273.516,259.234,986.469,22.169,23.825,27.727,26.279,22.169
29,-0.155794,-0.0934767,0.0310478,-0.0344729,10.468,210.964,229.203,246.5,261.484,248.188,985.375,23.26,25.016,26.536,25.187,23.26
30,-0.0934767,-0.155794,0.0167108,-0.0202271,10.468,239.036,236.391,246.859,254.609,248.594,986.453,23.964,25.025,25.811,25.201,23.964
