Idx,X,Y,X_interp,Y_interp,azimuth,elevation,azimuth_interp,elevation_interp,x_light,y_light
1,-4.26295e-17,-0,-0.002,-0.0025,0,-2.44249e-15,231.34,0.183454,-0.0134781,-0.0059153
2,0,0,-0.002,-0.0025,60,0,231.34,0.183454,-0.0139992,-0.00574406
3,-0,0,0.0064,-0.0024,120,0,339.444,0.391671,-0.0149305,-0.00603174
4,-0,-0,0.0013,0.0014,180,0,47.1211,0.110143,-0.0150575,-0.00666482
5,-0,-0,0.0008,0.0009,240,0,48.3665,0.068528,-0.0150185,-0.00702504
6,0,-0,-0.0033,-0.0033,300,0,225,0.267611,-0.0135668,-0.00706698
7,0.0174524,1.08216e-18,0.0174,0.0011,3.55271e-15,1,3.61733,0.998972,-0.0182514,-0.00637956
8,0.0087262,0.0151142,0.0087,0.0178,60,1,63.9523,1.13522,-0.0162818,-0.00968353
9,-0.0087262,0.0151142,-0.0076,0.0095,120,1,128.66,0.697174,-0.0131675,-0.0093792
10,-0.0174524,-1.52574e-09,-0.016,0.0008,180,1,177.138,0.917919,-0.0110999,-0.00661727
11,-0.0087262,-0.0151142,-0.0074,-0.0159,240,1,245.042,1.00483,-0.0125853,-0.00332155
12,0.0087262,-0.0151142,0.0129,-0.0114,300,1,318.532,0.986356,-0.0170969,-0.00362661
13,0.0348995,2.164e-18,0.0298,-0.003,3.55271e-15,2,354.251,1.71635,-0.0222317,-0.00648489
14,0.0174497,0.0302239,0.017,0.0265,60,2,57.3194,1.80418,-0.0185615,-0.0130968
15,-0.0174497,0.0302239,-0.0124,0.0298,120,2,112.593,1.8497,-0.0104274,-0.0130871
16,-0.0348995,-3.05101e-09,-0.0368,-0.0036,180,2,185.587,2.11905,-0.0063857,-0.00608162
17,-0.0174497,-0.0302239,-0.0198,-0.029,240,2,235.676,2.01237,-0.010903,0.000535209
18,0.0174497,-0.0302239,0.014,-0.0286,300,2,296.082,1.82478,-0.0184964,0.000337413
19,0.052336,3.24517e-18,0.0472,-0.0024,3.55271e-15,3,357.089,2.70884,-0.0260056,-0.0062475
20,0.026168,0.0453243,0.0251,0.0437,60,3,60.1282,2.88866,-0.0203266,-0.0167622
21,-0.026168,0.0453243,-0.0242,0.0436,120,3,119.032,2.85828,-0.00850979,-0.0166056
22,-0.052336,-4.57535e-09,-0.0534,-0.0038,180,3,184.07,3.0688,-0.00225346,-0.00648445
23,-0.026168,-0.0453243,-0.0201,-0.0451,240,3,245.979,2.8302,-0.00874233,0.00383436
24,0.026168,-0.0453243,0.026,-0.0404,300,3,302.764,2.75371,-0.0206423,0.00392602
25,0.0697565,4.32536e-18,0.068,0.0021,3.55271e-15,4,1.76887,3.90099,-0.030666,-0.00646572
26,0.0348782,0.0604109,0.0296,0.0657,60,4,65.7469,4.13233,-0.0218646,-0.0209671
27,-0.0348782,0.0604109,-0.0321,0.0614,120,4,117.601,3.97291,-0.00676406,-0.020601
28,-0.0697565,-6.0983e-09,-0.0696,0.0053,180,4,175.645,4.00257,0.00189508,-0.00633233
29,-0.0348782,-0.0604109,-0.0375,-0.0617,240,4,238.71,4.14047,-0.00625019,0.00746974
30,0.0348782,-0.0604109,0.0327,-0.0569,300,4,299.886,3.76286,-0.0226644,0.00765608
31,0.0871557,5.40423e-18,0.0869,-0.0022,3.55271e-15,5,358.55,4.98688,-0.0348866,-0.00573311
32,0.0435779,0.0754791,0.0448,0.0729,60,5,58.4276,4.90856,-0.0250801,-0.0232722
33,-0.0435779,0.0754791,-0.0404,0.0775,120,5,117.533,5.01392,-0.00488762,-0.02453
34,-0.0871557,-7.6194e-09,-0.0907,0.0008,180,5,179.495,5.20409,0.00583019,-0.00675074
35,-0.0435779,-0.0754791,-0.0458,-0.0782,240,5,239.643,5.19957,-0.00417204,0.0113197
36,0.0435779,-0.0754791,0.046,-0.0781,300,5,300.498,5.20044,-0.0250968,0.0111216
37,0.104528,6.48145e-18,0.1065,-0.0014,3.55271e-15,6,359.247,6.11414,-0.0388909,-0.00582199
38,0.0522642,0.0905243,0.0512,0.0882,60,6,59.8649,5.8534,-0.0272478,-0.0268737
39,-0.0522642,0.0905243,-0.0483,0.0885,120,6,118.624,5.78652,-0.00256378,-0.0277013
40,-0.104528,-9.13817e-09,-0.1036,-0.0033,180,6,181.824,5.94953,0.010303,-0.00681251
41,-0.0522642,-0.0905243,-0.0544,-0.0871,240,6,238.012,5.89425,-0.00224436,0.0146344
42,0.0522642,-0.0905243,0.0506,-0.0908,300,6,299.13,5.96651,-0.0267451,0.015106
43,0.121869,7.5567e-18,0.1215,-0.0011,3.55271e-15,7,359.481,6.97896,-0.0432211,-0.00532947
44,0.0609347,0.105542,0.0594,0.1051,60,7,60.5259,6.9339,-0.0290686,-0.0309951
45,-0.0609347,0.105542,-0.0615,0.1088,120,7,119.478,7.17953,-0.000756301,-0.0312553
46,-0.121869,-1.06542e-08,-0.1208,-0.0027,180,7,181.28,6.94,0.0137724,-0.00666308
47,-0.0609347,-0.105542,-0.0631,-0.1035,240,7,238.631,6.96241,-0.000506314,0.0183347
48,0.0609347,-0.105542,0.0574,-0.1068,300,7,298.256,6.96413,-0.0290991,0.0180853
49,0.139173,8.62964e-18,0.1374,-0.0008,3.55271e-15,8,359.666,7.89757,-0.047262,-0.00550058
50,0.0695865,0.120527,0.0711,0.1171,60,8,58.735,7.874,-0.0309551,-0.0336643
51,-0.0695866,0.120527,-0.0652,0.1221,120,8,118.102,7.95628,0.00142015,-0.0346393
52,-0.139173,-1.21669e-08,-0.138,-0.0025,180,8,181.038,7.93343,0.0176349,-0.00682541
53,-0.0695865,-0.120527,-0.0752,-0.1158,240,8,237,7.93647,0.00211039,0.021643
