Idx,X,Y,x_light,y_light,elevation,azimuth,adc0,adc1,adc2,adc3,adcSum,adc0_percent,adc1_percent,adc2_percent,adc3_percent,min_adc
1,-0.0311584,-0.0311584,-0.00700794,-0.027731,2.52554,225.0,254.938,250.156,265.703,268.203,1039.0,24.537,24.077,25.573,25.814,24.077
2,0.0311593,0.0311593,-0.0202941,-0.0395818,2.52561,45.0,255.453,244.047,265.484,275.188,1040.172,24.559,23.462,25.523,26.456,23.462
3,-0.0311593,0.0311594,-0.00794301,-0.0406092,2.52561,135.0,254.062,248.891,271.188,274.344,1048.485,24.231,23.738,25.865,26.166,23.738
4,0.0311594,-0.0311593,-0.020288,-0.0271002,2.52561,315.0,261.5,249.516,265.078,274.406,1050.5,24.893,23.752,25.234,26.121,23.752
5,0.0934769,0.031159,-0.0340016,-0.0401102,5.65472,18.4349,259.656,241.219,262.844,279.891,1043.61,24.881,23.114,25.186,26.82,23.114
6,0.031159,0.0934769,-0.0203947,-0.0535773,5.65472,71.565,252.297,241.484,269.609,280.078,1043.468,24.179,23.142,25.838,26.841,23.142
7,-0.0311589,0.0934769,-0.00727776,-0.0537411,5.65472,108.435,248.109,243.531,272.25,275.234,1039.124,23.877,23.436,26.2,26.487,23.436
8,-0.0934769,0.031159,0.00576144,-0.0405701,5.65472,161.565,248.875,250.703,273.0,268.828,1041.406,23.898,24.074,26.215,25.814,23.898
9,-0.0934769,-0.0311589,0.00606551,-0.0277516,5.65472,198.435,252.641,254.531,270.281,265.844,1043.297,24.216,24.397,25.906,25.481,24.216
10,-0.0311589,-0.0934769,-0.00747321,-0.0135058,5.65472,251.565,259.312,254.266,262.453,265.188,1041.219,24.905,24.42,25.206,25.469,24.42
11,0.031159,-0.0934769,-0.0207691,-0.013039,5.65472,288.435,262.297,250.406,258.281,267.969,1038.953,25.246,24.102,24.86,25.792,24.102
12,0.0934769,-0.0311589,-0.0339118,-0.0266869,5.65472,341.565,261.938,243.25,258.188,274.703,1038.079,25.233,23.433,24.872,26.463,23.433
13,0.0934768,0.0934768,-0.0337433,-0.0536405,7.59652,45.0,252.5,235.016,262.75,280.031,1030.297,24.507,22.811,25.502,27.18,22.811
14,-0.0934768,0.0934769,0.0054036,-0.0537772,7.59652,135.0,242.078,243.578,272.453,268.406,1026.515,23.583,23.729,26.542,26.147,23.583
15,-0.0934768,-0.0934768,0.0057494,-0.0136282,7.59652,225.0,252.547,254.094,262.5,258.141,1027.282,24.584,24.735,25.553,25.129,24.584
16,0.0934768,-0.0934768,-0.0343527,-0.0136103,7.59652,315.0,262.891,243.859,252.234,268.5,1027.484,25.586,23.734,24.549,26.132,23.734
17,0.155794,0.0311589,-0.0472303,-0.0408334,9.14188,11.3099,258.406,233.594,255.125,278.766,1025.891,25.188,22.77,24.869,27.173,22.77
18,0.0311589,0.155794,-0.0206398,-0.0668924,9.14188,78.6901,244.25,233.625,267.938,278.453,1024.266,23.846,22.809,26.159,27.186,22.809
19,-0.0311588,0.155794,-0.00751284,-0.0668841,9.14188,101.31,241.422,236.953,271.859,275.094,1025.328,23.546,23.11,26.514,26.83,23.11
20,-0.155794,0.0311589,0.0188241,-0.0410708,9.14188,168.69,241.047,249.266,271.672,260.641,1022.626,23.571,24.375,26.566,25.487,23.571
21,-0.155794,-0.0311588,0.0190026,-0.0271793,9.14188,191.31,244.016,252.328,267.578,256.5,1020.422,23.913,24.728,26.222,25.137,23.913
